source,Ensembl_Gene_ID,default_panel
Wang 2016,ENSG00000126467,True
Wang 2016,ENSG00000126752,True
Wang 2016,ENSG00000126787,False
Wang 2016,ENSG00000126856,True
Wang 2016,ENSG00000127252,False
Wang 2016,ENSG00000127423,False
Wang 2016,ENSG00000127564,False
Wang 2016,ENSG00000128040,False
Wang 2016,ENSG00000128346,False
Wang 2016,ENSG00000128408,False
Wang 2016,ENSG00000128596,False
Wang 2016,ENSG00000128610,False
Wang 2016,ENSG00000129221,False
Wang 2016,ENSG00000129646,False
Wang 2016,ENSG00000129673,False
Wang 2016,ENSG00000129810,False
Wang 2016,ENSG00000129873,True
Wang 2016,ENSG00000130167,False
Wang 2016,ENSG00000130270,False
Wang 2016,ENSG00000130377,True
Wang 2016,ENSG00000130561,False
Wang 2016,ENSG00000130656,False
Wang 2016,ENSG00000130783,True
Wang 2016,ENSG00000130943,True
Wang 2016,ENSG00000130948,False
Wang 2016,ENSG00000131044,False
Wang 2016,ENSG00000131050,False
Wang 2016,ENSG00000131126,True
Wang 2016,ENSG00000131379,True
Wang 2016,ENSG00000131738,False
Wang 2016,ENSG00000131747,False
Wang 2016,ENSG00000131864,True
Wang 2016,ENSG00000131914,False
Wang 2016,ENSG00000132016,False
Wang 2016,ENSG00000132141,False
Wang 2016,ENSG00000132446,True
Wang 2016,ENSG00000132554,False
Wang 2016,ENSG00000132681,False
Wang 2016,ENSG00000132749,False
Wang 2016,ENSG00000132958,True
Wang 2016,ENSG00000132972,False
Wang 2016,ENSG00000133101,False
Wang 2016,ENSG00000133477,False
Wang 2016,ENSG00000133640,False
Wang 2016,ENSG00000133863,False
Wang 2016,ENSG00000133980,False
Wang 2016,ENSG00000134007,True
Wang 2016,ENSG00000134249,True
Wang 2016,ENSG00000134588,True
Wang 2016,ENSG00000134640,False
Wang 2016,ENSG00000134690,False
Wang 2016,ENSG00000134940,True
Wang 2016,ENSG00000135222,False
Wang 2016,ENSG00000135248,True
Wang 2016,ENSG00000135436,True
Wang 2016,ENSG00000135451,False
Wang 2016,ENSG00000135577,False
Wang 2016,ENSG00000135625,False
Wang 2016,ENSG00000135898,False
Wang 2016,ENSG00000135951,False
Wang 2016,ENSG00000136231,False
Wang 2016,ENSG00000136327,False
Wang 2016,ENSG00000136449,False
Wang 2016,ENSG00000136492,False
Wang 2016,ENSG00000136811,False
Wang 2016,ENSG00000136929,False
Wang 2016,ENSG00000137090,True
Wang 2016,ENSG00000137225,True
Wang 2016,ENSG00000137434,False
Wang 2016,ENSG00000137473,False
Wang 2016,ENSG00000137674,False
Wang 2016,ENSG00000137691,False
Wang 2016,ENSG00000137707,False
Wang 2016,ENSG00000137812,False
Wang 2016,ENSG00000137948,True
Wang 2016,ENSG00000138483,True
Wang 2016,ENSG00000138587,False
Wang 2016,ENSG00000138646,False
Wang 2016,ENSG00000138684,False
Wang 2016,ENSG00000138813,True
Wang 2016,ENSG00000139151,True
Wang 2016,ENSG00000139351,True
Wang 2016,ENSG00000139445,False
Wang 2016,ENSG00000139537,False
Wang 2016,ENSG00000139714,False
Wang 2016,ENSG00000139734,False
Wang 2016,ENSG00000139797,True
Wang 2016,ENSG00000139800,False
Wang 2016,ENSG00000140067,False
Wang 2016,ENSG00000140478,True
Wang 2016,ENSG00000140527,False
