Ensembl_Gene_ID,Symbol,paper_dois,source_tags,source_locations,default_panel,nomination_scope,legacy_retention_evidence_caveat,evidence_scope
ENSG00000168454,TXNDC2,10.1002/cam4.2223;10.1038/ncomms10499;10.1038/s41467-021-22695-y;10.18632/oncotarget.21715,Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,10.1002/cam4.2223: CAM4-8-3511-s002.xlsx / Suppl Table 2 / rows 549 | 10.1038/ncomms10499: ncomms10499-s4.xlsx / Supplementary Data 3A / rows 542 | 10.1038/s41467-021-22695-y: gong.xlsx / Data 5 - tissue-enriched PC / rows 930 | 10.18632/oncotarget.21715: oncotarget-08-92966-s002.xls / 1103 CTs predicted / rows 1052 | 10.18632/oncotarget.21715: oncotarget-08-92966-s003.xls / Sheet1 / rows 912,False,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000168491,CCDC110,10.1002/cam4.2223;10.1038/ncomms10499,Chang2019_TGCT;Wang2016_CT,10.1002/cam4.2223: CAM4-8-3511-s002.xlsx / Suppl Table 2 / rows 550 | 10.1038/ncomms10499: ncomms10499-s4.xlsx / Supplementary Data 3A / rows 543,False,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000168515,SCGB1D1,10.18632/oncotarget.21715,daSilva2017_CT;daSilva2017_testis_biased,10.18632/oncotarget.21715: oncotarget-08-92966-s002.xls / 1103 CTs predicted / rows 849 | 10.18632/oncotarget.21715: oncotarget-08-92966-s003.xls / Sheet1 / rows 742,False,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000168589,DYNLRB2,10.1002/1878-0261.12900;10.1002/cam4.2223;10.1038/ncomms10499,Chang2019_TGCT;Jamin2021_CT;Wang2016_CT,10.1002/1878-0261.12900: MOL2-15-3003-s007.xlsx / Expression data and classes / rows 58 | 10.1002/cam4.2223: CAM4-8-3511-s002.xlsx / Suppl Table 2 / rows 551 | 10.1038/ncomms10499: ncomms10499-s4.xlsx / Supplementary Data 3A / rows 544,False,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000168594,ADAM29,10.1002/cam4.2223;10.1038/ncomms10499;10.1038/s41467-021-22695-y;10.18632/oncotarget.21715,Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,10.1002/cam4.2223: CAM4-8-3511-s002.xlsx / Suppl Table 2 / rows 552 | 10.1038/ncomms10499: ncomms10499-s4.xlsx / Supplementary Data 3A / rows 545 | 10.1038/s41467-021-22695-y: gong.xlsx / Data 5 - tissue-enriched PC / rows 931 | 10.18632/oncotarget.21715: oncotarget-08-92966-s002.xls / 1103 CTs predicted / rows 17 | 10.18632/oncotarget.21715: oncotarget-08-92966-s003.xls / Sheet1 / rows 19,True,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000168619,ADAM18,10.1002/cam4.2223;10.1038/ncomms10499;10.1038/s41467-021-22695-y;10.18632/oncotarget.21715,Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,10.1002/cam4.2223: CAM4-8-3511-s002.xlsx / Suppl Table 2 / rows 553 | 10.1038/ncomms10499: ncomms10499-s4.xlsx / Supplementary Data 3A / rows 546 | 10.1038/s41467-021-22695-y: gong.xlsx / Data 5 - tissue-enriched PC / rows 932 | 10.18632/oncotarget.21715: oncotarget-08-92966-s002.xls / 1103 CTs predicted / rows 14 | 10.18632/oncotarget.21715: oncotarget-08-92966-s003.xls / Sheet1 / rows 16,True,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000168658,VWA3B,10.1038/s41467-021-22695-y,Gong2021_reproductive_PC,10.1038/s41467-021-22695-y: gong.xlsx / Data 5 - tissue-enriched PC / rows 933,False,normal_reproductive_expression_only,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000168676,KCTD19,10.1002/cam4.2223;10.1038/ncomms10499;10.1038/s41467-021-22695-y;10.1371/journal.pgen.1011734;10.18632/oncotarget.21715,Chang2019_TGCT;Gong2021_reproductive_PC;Loriot2025_S2;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,10.1002/cam4.2223: CAM4-8-3511-s002.xlsx / Suppl Table 2 / rows 554 | 10.1038/ncomms10499: ncomms10499-s4.xlsx / Supplementary Data 3A / rows 547 | 10.1038/s41467-021-22695-y: gong.xlsx / Data 5 - tissue-enriched PC / rows 934 | 10.1371/journal.pgen.1011734: loriot-s2.xlsx / List of 134 CG-Preferential gen / rows 89 | 10.18632/oncotarget.21715: oncotarget-08-92966-s002.xls / 1103 CTs predicted / rows 475 | 10.18632/oncotarget.21715: oncotarget-08-92966-s003.xls / Sheet1 / rows 409,False,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000168702,LRP1B,10.1038/s41388-018-0357-2,Bruggeman2018_GC,10.1038/s41388-018-0357-2: 41388_2018_357_MOESM4_ESM.xlsx / 1D / rows 104,False,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000168757,TSPY2,10.1002/cam4.2223;10.1038/ncomms10499;10.1038/s41467-021-22695-y;10.1371/journal.pgen.1011734;10.18632/oncotarget.21715,Chang2019_TGCT;Gong2021_reproductive_PC;Loriot2025_S1;Wang2016_CT;daSilva2017_testis_biased,10.1002/cam4.2223: CAM4-8-3511-s002.xlsx / Suppl Table 2 / rows 556 | 10.1038/ncomms10499: ncomms10499-s4.xlsx / Supplementary Data 3A / rows 548 | 10.1038/s41467-021-22695-y: gong.xlsx / Data 5 - tissue-enriched PC / rows 935 | 10.1371/journal.pgen.1011734: loriot-s1.xlsx / List of 146 CG genes / rows 139 | 10.18632/oncotarget.21715: oncotarget-08-92966-s002.xls / 1103 CTs predicted / rows 1038,True,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
