identity,Ensembl_Gene_ID,Symbol,biotype,source_databases,nominated,mapped,protein_coding,family_eligible,hpa_restriction,default_panel
ENSG00000170486,ENSG00000170486,KRT72,protein_coding,Chang2019_TGCT;Wang2016_CT,True,True,True,True,False,False
ENSG00000170498,ENSG00000170498,KISS1,protein_coding,Gong2021_placenta_PC;Gong2021_reproductive_PC,True,True,True,True,True,True
ENSG00000170516,ENSG00000170516,COX7B2,protein_coding,CTexploreR_CT;Carter2023_CT;Chang2019_TGCT;Gong2021_reproductive_PC;Loriot2025_S1;Wang2016_CT;daSilva2017;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,True,True
ENSG00000170613,ENSG00000170613,GARIN3,protein_coding,Chang2019_TGCT;Gong2021_reproductive_PC;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,True,True
ENSG00000170627,ENSG00000170627,GTSF1,protein_coding,Bruggeman2018_GC;Chang2019_TGCT;Gong2021_reproductive_PC;Loriot2025_S2;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,False,False
ENSG00000170703,ENSG00000170703,TTLL6,protein_coding,Chang2019_TGCT;Wang2016_CT,True,True,True,True,False,False
ENSG00000170734,ENSG00000170734,POLH,protein_coding,Jamin2021_CT,True,True,True,True,False,False
ENSG00000170748,ENSG00000170748,RBMXL2,protein_coding,Bruggeman2018_GC;Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017_CT;daSilva2017_protein;daSilva2017_testis_biased;daSilva2017_tumor_proteomics,True,True,True,True,True,True
ENSG00000170777,ENSG00000170777,TPD52L3,protein_coding,Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,True,True
ENSG00000170782,ENSG00000170782,OR10A4,protein_coding,daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,True,False
ENSG00000170788,ENSG00000170788,DYDC1,protein_coding,Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,False,False
ENSG00000170820,ENSG00000170820,FSHR,protein_coding,Chang2019_TGCT;Wang2016_CT,True,True,True,True,True,True
ENSG00000170848,ENSG00000170848,PSG6,protein_coding,Gong2021_placenta_PC;Gong2021_reproductive_PC;placental_antigen,True,True,True,True,True,True
ENSG00000170873,ENSG00000170873,MTSS1,protein_coding,Jamin2021_CT,True,True,True,True,False,False
ENSG00000170903,ENSG00000170903,MSANTD4,protein_coding,Jamin2021_CT,True,True,True,True,False,False
ENSG00000170925,ENSG00000170925,TEX13B,protein_coding,Gong2021_reproductive_PC;Wang2016_CT;daSilva2017_testis_biased,True,True,True,True,True,False
ENSG00000170946,ENSG00000170946,DNAJC24,protein_coding,Bruggeman2018_GC,True,True,True,True,False,False
ENSG00000170948,ENSG00000170948,MBD3L1,protein_coding,Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,False,False
ENSG00000170950,ENSG00000170950,PGK2,protein_coding,Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017_CT;daSilva2017_protein;daSilva2017_testis_biased;daSilva2017_tumor_proteomics,True,True,True,True,True,True
ENSG00000170953,ENSG00000170953,OR8B12,protein_coding,daSilva2017_testis_biased,True,True,True,True,True,False
ENSG00000170965,ENSG00000170965,PLAC1,protein_coding,Bradley2020_CPA;CTpedia;Gong2021_placenta_PC;Gong2021_reproductive_PC;Wang2016_CT,True,True,True,True,True,True
ENSG00000170967,ENSG00000170967,DDI1,protein_coding,Gong2021_reproductive_PC;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,True,True
ENSG00000170983,ENSG00000170983,LINC00208,lncRNA,Gong2021_reproductive_ncRNA,True,True,False,False,False,False
