source_tag,stage,remaining
10.1002/1878-0261.12900,published,605
10.1002/1878-0261.12900,mapped,498
10.1002/1878-0261.12900,protein_coding,481
10.1002/1878-0261.12900,family_eligible,481
10.1002/1878-0261.12900,hpa_restriction,56
10.1002/1878-0261.12900,default_panel,55
10.1002/cam4.2223,published,1036
10.1002/cam4.2223,mapped,1031
10.1002/cam4.2223,protein_coding,986
10.1002/cam4.2223,family_eligible,979
10.1002/cam4.2223,hpa_restriction,453
10.1002/cam4.2223,default_panel,449
10.1038/ncomms10499,published,1019
10.1038/ncomms10499,mapped,1018
10.1038/ncomms10499,protein_coding,994
10.1038/ncomms10499,family_eligible,987
10.1038/ncomms10499,hpa_restriction,449
10.1038/ncomms10499,default_panel,408
10.1038/s41388-018-0357-2,published,756
10.1038/s41388-018-0357-2,mapped,734
10.1038/s41388-018-0357-2,protein_coding,692
10.1038/s41388-018-0357-2,family_eligible,692
10.1038/s41388-018-0357-2,hpa_restriction,42
10.1038/s41388-018-0357-2,default_panel,40
10.1038/s41467-021-22695-y,published,1809
10.1038/s41467-021-22695-y,mapped,1704
10.1038/s41467-021-22695-y,protein_coding,733
10.1038/s41467-021-22695-y,family_eligible,727
10.1038/s41467-021-22695-y,hpa_restriction,532
10.1038/s41467-021-22695-y,default_panel,466
10.1136/jitc-2023-007935,published,103
10.1136/jitc-2023-007935,mapped,103
10.1136/jitc-2023-007935,protein_coding,103
10.1136/jitc-2023-007935,family_eligible,102
10.1136/jitc-2023-007935,hpa_restriction,86
10.1136/jitc-2023-007935,default_panel,86
10.1158/0008-5472.CAN-16-0225,published,1
10.1158/0008-5472.CAN-16-0225,mapped,1
10.1158/0008-5472.CAN-16-0225,protein_coding,1
10.1158/0008-5472.CAN-16-0225,family_eligible,1
10.1158/0008-5472.CAN-16-0225,hpa_restriction,1
10.1158/0008-5472.CAN-16-0225,default_panel,1
10.1186/s12967-024-04918-0,published,17
10.1186/s12967-024-04918-0,mapped,15
10.1186/s12967-024-04918-0,protein_coding,15
10.1186/s12967-024-04918-0,family_eligible,15
10.1186/s12967-024-04918-0,hpa_restriction,13
10.1186/s12967-024-04918-0,default_panel,13
10.1371/journal.pgen.1011734,published,280
10.1371/journal.pgen.1011734,mapped,280
10.1371/journal.pgen.1011734,protein_coding,215
10.1371/journal.pgen.1011734,family_eligible,213
10.1371/journal.pgen.1011734,hpa_restriction,139
10.1371/journal.pgen.1011734,default_panel,138
10.18632/oncotarget.21715,published,1104
10.18632/oncotarget.21715,mapped,1100
10.18632/oncotarget.21715,protein_coding,1066
10.18632/oncotarget.21715,family_eligible,1055
10.18632/oncotarget.21715,hpa_restriction,724
10.18632/oncotarget.21715,default_panel,515
