Symbol,Aliases,Full_Name,Function,Ensembl_Gene_ID,source_databases,protein_reproductive,protein_thymus,protein_reliability,rna_reproductive,rna_thymus,protein_strict_expression,rna_reproductive_frac,rna_reproductive_and_thymus_frac,rna_deflated_reproductive_frac,rna_deflated_reproductive_and_thymus_frac,Canonical_Transcript_ID,biotype,rna_80_pct_filter,rna_90_pct_filter,rna_95_pct_filter,rna_97_pct_filter,rna_98_pct_filter,rna_99_pct_filter,passes_filters,rna_max_ntpm,never_expressed,rna_testis_ntpm,rna_ovary_ntpm,rna_placenta_ntpm,rna_max_somatic_tissue,rna_max_somatic_ntpm,rna_somatic_detected_count,rna_brain_max_ntpm,rna_heart_max_ntpm,rna_lung_max_ntpm,rna_liver_max_ntpm,rna_pancreas_max_ntpm,protein_restriction,protein_testis,protein_ovary,protein_placenta,rna_restriction,rna_restriction_level,restriction,restriction_confidence,safety_flags,specificity_status,specificity_action,specificity_source_anchor,specificity_rationale
ZFAND4,,,,ENSG00000172671,Chang2019_TGCT;Jamin2021_CT;Wang2016_CT,False,False,Enhanced,False,True,duodenum; kidney; small intestine; stomach 1; testis,0.2545,0.2742,0.3452,0.3648,,protein_coding,False,False,False,False,False,False,False,36.3,False,36.3,2.4,1.2,cerebellum,6.6,37,6.6,2.4,2.2,3.8,2.4,SOMATIC,True,False,False,SOMATIC,LEAKY,SOMATIC,HIGH,brain,excluded_normal_expression,exclude_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
MOS,,,,ENSG00000172680,Wang2016_CT;daSilva2017_testis_biased,no data,no data,no data,True,False,no data,0.7,0.7,1.0,1.0,,protein_coding,True,True,True,True,True,True,True,0.7,True,0.7,0.0,0.0,amygdala,0.1,0,0.1,0.0,0.0,0.0,0.0,NO_DATA,,,,NO_DATA,STRICT,NO_DATA,NO_DATA,,canonical_low_expression,exclude_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
PURG,,,,ENSG00000172733,daSilva2017_CT;daSilva2017_testis_biased,False,False,Enhanced,False,False,caudate; cerebellum; cerebral cortex; colon; epididymis; hippocampus; kidney; lung; placenta; skeletal muscle; skin 2; soft tissue 1; testis,0.0542,0.0556,0.0349,0.0349,,protein_coding,False,False,False,False,False,False,False,11.5,False,2.5,1.1,0.2,cerebellum,11.5,12,11.5,0.4,0.2,0.0,0.0,SOMATIC,True,False,True,SOMATIC,LEAKY,SOMATIC,HIGH,brain,excluded_normal_expression,exclude_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
TMEM217,,,,ENSG00000172738,Bruggeman2018_GC;Chang2019_TGCT;Jamin2021_CT;Jamin2021_core;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,no data,no data,no data,False,False,no data,0.2304,0.2475,0.4936,0.4936,,protein_coding,False,False,False,False,False,False,False,8.7,False,8.7,0.4,0.3,adrenal gland,2.9,9,0.8,0.3,0.7,0.9,2.6,NO_DATA,,,,SOMATIC,LEAKY,SOMATIC,MODERATE,,excluded_normal_expression,exclude_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
EFCAB12,,,,ENSG00000172771,Jamin2021_CT,no data,no data,no data,False,False,no data,0.1097,0.1111,0.1264,0.1264,,protein_coding,False,False,False,False,False,False,False,19.0,False,6.7,1.0,0.1,choroid plexus,10.5,12,10.5,0.3,1.6,1.2,0.5,NO_DATA,,,,SOMATIC,LEAKY,SOMATIC,MODERATE,brain,excluded_normal_expression,exclude_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
ZNG1A,,,,ENSG00000172785,Bruggeman2018_GC,False,False,Approved,False,True,adrenal gland; appendix; bone marrow; breast; bronchus; caudate; cerebellum; cerebral cortex; colon; duodenum; endometrium 1; endometrium 2; epididymis; esophagus; fallopian tube; gallbladder; heart muscle; hippocampus; kidney; liver; lung; lymph node; nasopharynx; oral mucosa; pancreas; parathyroid gland; placenta; prostate; rectum; salivary gland; seminal vesicle; skeletal muscle; skin 1; skin 2; small intestine; smooth muscle; soft tissue 1; soft tissue 2; spleen; stomach 1; stomach 2; testis; thyroid gland; tonsil; urinary bladder,0.0573,0.0715,0.0571,0.071,,protein_coding,False,False,False,False,False,False,False,39.0,False,15.9,15.7,22.0,kidney,39.0,38,31.4,20.0,16.0,26.8,29.2,SOMATIC,True,False,True,SOMATIC,LEAKY,SOMATIC,MODERATE,brain;heart;lung;liver;pancreas,excluded_normal_expression,exclude_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
PDP2,,,,ENSG00000172840,Bruggeman2018_GC,False,False,Approved,False,True,adipose tissue; adrenal gland; appendix; bone marrow; breast; bronchus; caudate; cerebellum; cerebral cortex; cervix; colon; duodenum; endometrium 1; endometrium 2; epididymis; esophagus; fallopian tube; gallbladder; heart muscle; hippocampus; kidney; liver; lung; lymph node; nasopharynx; oral mucosa; ovary; pancreas; parathyroid gland; placenta; prostate; rectum; salivary gland; seminal vesicle; skeletal muscle; skin 1; skin 2; small intestine; smooth muscle; soft tissue 1; soft tissue 2; spleen; stomach 1; stomach 2; testis; thyroid gland; tonsil; urinary bladder; vagina,0.0726,0.0868,0.0777,0.0895,,protein_coding,False,False,False,False,False,False,False,9.0,False,3.7,5.3,3.8,thyroid gland,9.0,38,4.9,1.7,3.3,8.3,4.4,SOMATIC,True,True,True,SOMATIC,LEAKY,SOMATIC,MODERATE,liver,excluded_normal_expression,exclude_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
XKR3,,,,ENSG00000172967,Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,no data,no data,no data,True,False,no data,0.9753,0.9753,1.0,1.0,,protein_coding,True,True,True,True,True,True,True,7.9,False,7.9,0.0,0.0,cerebral cortex,0.1,0,0.1,0.0,0.0,0.0,0.0,NO_DATA,,,,TESTIS,STRICT,TESTIS,HIGH,,canonical_default,include_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
ADAMTS20,,,,ENSG00000173157,Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,no data,no data,no data,True,False,no data,0.5333,0.5333,1.0,1.0,,protein_coding,True,True,True,True,True,True,True,0.6,True,0.3,0.0,0.5,retina,0.6,0,0.6,0.0,0.0,0.0,0.0,NO_DATA,,,,NO_DATA,STRICT,NO_DATA,NO_DATA,,canonical_low_expression,exclude_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
TUBB8B,,,,ENSG00000173213,Chang2019_TGCT;Loriot2025_S2,False,False,Uncertain,True,False,adipose tissue; adrenal gland; appendix; bone marrow; breast; bronchus; caudate; cerebral cortex; cervix; colon; duodenum; endometrium 1; endometrium 2; epididymis; esophagus; fallopian tube; gallbladder; hippocampus; kidney; liver; lung; lymph node; nasopharynx; oral mucosa; ovary; pancreas; prostate; rectum; salivary gland; seminal vesicle; skin 1; skin 2; small intestine; soft tissue 1; soft tissue 2; spleen; stomach 1; stomach 2; testis; thyroid gland; tonsil; urinary bladder; vagina,1.0,1.0,1.0,1.0,,protein_coding,True,True,True,True,True,True,False,1.5,False,0.6,1.5,0.0,adipose tissue,0.0,0,0.0,0.0,0.0,0.0,0.0,SOMATIC,True,True,False,REPRODUCTIVE,STRICT,SOMATIC,LOW,,excluded_normal_expression,exclude_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
