Symbol,Aliases,Full_Name,Function,Ensembl_Gene_ID,source_databases,protein_reproductive,protein_thymus,protein_reliability,rna_reproductive,rna_thymus,protein_strict_expression,rna_reproductive_frac,rna_reproductive_and_thymus_frac,rna_deflated_reproductive_frac,rna_deflated_reproductive_and_thymus_frac,Canonical_Transcript_ID,biotype,rna_80_pct_filter,rna_90_pct_filter,rna_95_pct_filter,rna_97_pct_filter,rna_98_pct_filter,rna_99_pct_filter,passes_filters,rna_max_ntpm,never_expressed,rna_testis_ntpm,rna_ovary_ntpm,rna_placenta_ntpm,rna_max_somatic_tissue,rna_max_somatic_ntpm,rna_somatic_detected_count,rna_brain_max_ntpm,rna_heart_max_ntpm,rna_lung_max_ntpm,rna_liver_max_ntpm,rna_pancreas_max_ntpm,protein_restriction,protein_testis,protein_ovary,protein_placenta,rna_restriction,rna_restriction_level,restriction,restriction_confidence,safety_flags,specificity_status,specificity_action,specificity_source_anchor,specificity_rationale
SPANXN5,CT11.10;SPANX-N5,,cancer-testis antigen,ENSG00000204363,CTpedia;Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017;daSilva2017_testis_biased,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000375511,protein_coding,True,True,True,True,True,True,True,16.1,False,16.1,0.0,0.1,adipose tissue,0.0,0,0.0,0.0,0.0,0.0,0.0,NO_DATA,,,,TESTIS,STRICT,TESTIS,HIGH,,canonical_default,include_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
ODF1,CT133;HSPB10;ODF;ODF27;ODFP;ODFPG;ODFPGA;ODFPGB;RT7;SODF,,cancer-testis antigen,ENSG00000155087,CTpedia;Chang2019_TGCT;Gong2021_reproductive_PC;daSilva2017;daSilva2017_CT;daSilva2017_protein;daSilva2017_testis_biased;daSilva2017_tumor_proteomics,True,False,Approved,True,False,testis,0.9915,0.9915,1.0,1.0,ENST00000285402,protein_coding,True,True,True,True,True,True,True,386.0,False,386.0,0.0,0.0,basal ganglia,0.7,0,0.7,0.0,0.0,0.1,0.1,TESTIS,True,False,False,TESTIS,STRICT,TESTIS,HIGH,,canonical_default,include_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
ODF3,CIMAP1A;CT135;SHIPPO1;TISP50,,cancer-testis antigen,ENSG00000177947,CTpedia;Carter2023_CT;Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017;daSilva2017_CT;daSilva2017_testis_biased,True,False,Enhanced,True,False,testis,0.9579,0.9579,1.0,1.0,ENST00000325113,protein_coding,True,True,True,True,True,True,True,9.1,False,9.1,0.0,0.0,retina,0.4,0,0.4,0.0,0.0,0.0,0.0,TESTIS,True,False,False,TESTIS,STRICT,TESTIS,HIGH,,canonical_default,include_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
ODF4,CT134;CT136;OPPO1,,cancer-testis antigen,ENSG00000184650,CTpedia;Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017;daSilva2017_CT;daSilva2017_protein;daSilva2017_testis_biased;daSilva2017_tumor_proteomics,True,False,Enhanced,True,False,testis,1.0,1.0,1.0,1.0,ENST00000328248,protein_coding,True,True,True,True,True,True,True,12.7,False,12.7,0.0,0.0,adipose tissue,0.0,0,0.0,0.0,0.0,0.0,0.0,TESTIS,True,False,False,TESTIS,STRICT,TESTIS,HIGH,,canonical_default,include_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
SPAM1,HEL-S-96n;HYA1;HYAL5;PH-20;PH20;SPAG15,,cancer-testis antigen,ENSG00000106304,CTpedia;Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017;daSilva2017_CT;daSilva2017_testis_biased,True,False,Enhanced,True,False,testis,0.9444,0.9444,1.0,1.0,ENST00000340011,protein_coding,True,True,True,True,True,True,True,16.9,False,16.9,0.0,0.1,duodenum,0.4,0,0.0,0.0,0.0,0.0,0.0,TESTIS,True,False,False,TESTIS,STRICT,TESTIS,HIGH,,canonical_default,include_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
SPATA4,CFAP178;FAP178;SPEF1B;TSARG2,,cancer-testis antigen,ENSG00000150628,CTexploreR_CTP;CTpedia;Chang2019_TGCT;Gong2021_reproductive_PC;Loriot2025_S2;Wang2016_CT;daSilva2017;daSilva2017_CT;daSilva2017_testis_biased,True,False,Enhanced,False,False,testis,0.8028,0.8028,0.9057,0.9057,ENST00000280191,protein_coding,True,True,False,False,False,False,True,135.4,False,135.4,0.2,0.0,kidney,2.2,8,2.2,0.4,1.1,0.0,0.4,TESTIS,True,False,False,SOMATIC,PERMISSIVE,TESTIS,LOW,,canonical_default,include_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
SPATA12,SRG5,,cancer-testis antigen,ENSG00000186451,CTpedia;Carter2023_CT;Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017;daSilva2017_CT;daSilva2017_testis_biased,True,False,Enhanced,True,False,testis,0.9005,0.9005,1.0,1.0,ENST00000334325,protein_coding,True,True,True,True,True,True,True,19.9,False,19.9,0.0,0.0,adrenal gland,0.3,0,0.0,0.0,0.3,0.0,0.0,TESTIS,True,False,False,TESTIS,STRICT,TESTIS,HIGH,,canonical_default,include_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
SPATA16,NYD-SP12;SPGF6,,cancer-testis antigen,ENSG00000144962,CTpedia;Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017;daSilva2017_CT;daSilva2017_testis_biased,True,False,Enhanced,True,False,testis,1.0,1.0,1.0,1.0,ENST00000351008,protein_coding,True,True,True,True,True,True,True,57.8,False,57.8,0.0,0.0,adipose tissue,0.0,0,0.0,0.0,0.0,0.0,0.0,TESTIS,True,False,False,TESTIS,STRICT,TESTIS,HIGH,,canonical_default,include_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
SPATA19,CT132;SPAS1;spergen1,,cancer-testis antigen,ENSG00000166118,CTpedia;Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017;daSilva2017_CT;daSilva2017_testis_biased,True,False,Enhanced,True,False,testis,0.9909,0.9909,1.0,1.0,ENST00000299140,protein_coding,True,True,True,True,True,True,True,130.9,False,130.9,0.0,0.0,choroid plexus,0.2,0,0.2,0.2,0.0,0.0,0.0,TESTIS,True,False,False,TESTIS,STRICT,TESTIS,HIGH,,canonical_default,include_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
SPATA22,NYD-SP20;NYDSP20;POF25;SPGF96,,cancer-testis antigen,ENSG00000141255,CTexploreR_CTP;CTpedia;Chang2019_TGCT;Gong2021_reproductive_PC;Loriot2025_S2;Wang2016_CT;daSilva2017;daSilva2017_CT;daSilva2017_protein;daSilva2017_testis_biased;daSilva2017_tumor_proteomics,no data,no data,no data,False,False,no data,0.9213,0.9217,0.9921,0.9921,ENST00000541913,protein_coding,True,True,True,True,True,True,True,223.4,False,223.4,0.2,3.4,parathyroid gland,2.7,3,1.1,0.4,0.3,0.2,0.2,NO_DATA,,,,SOMATIC,MODERATE,SOMATIC,MODERATE,,canonical_default,include_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
