Ensembl_Gene_ID,Symbol,historical_tag,comparison_sources,status,effect
ENSG00000068985,PAGE1,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000234068,PAGE2,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000158639,PAGE5,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000204379,XAGE1A,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000204382,XAGE1B,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000171405,XAGE5,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000189064,GAGE2A,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000216649,GAGE12E,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000274274,GAGE13,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000198681,MAGEA1,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000268606,MAGEA2,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000147381,MAGEA4,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000197172,MAGEA6,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000221867,MAGEA3,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000123584,MAGEA9,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000267978,MAGEA9B,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000124260,MAGEA10,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000185247,MAGEA11,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000214107,MAGEB1,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000099399,MAGEB2,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000189023,MAGEB16,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000155495,MAGEC1,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000046774,MAGEC2,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000227234,SPANXB1,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000198573,SPANXC,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000196406,SPANXD,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000268651,CTAG1A,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000184033,CTAG1B,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000126752,SSX1,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000241476,SSX2,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000268447,SSX2B,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000258992,TSPY1,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000168757,TSPY2,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000228927,TSPY3,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000233803,TSPY4,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000238074,TSPY9,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000176988,FMR1NB,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000273696,CT45A7,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000236371,CT47A1,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000226929,CT47A11,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000226685,CT47A12,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000137090,DMRT1,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000181433,SAGE1,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000124092,CTCFL,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000184735,DDX53,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000163530,DPPA2,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000132446,FTHL17,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000198765,SYCP1,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000137948,BRDT,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000205777,GAGE1,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000213401,MAGEA12,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000156009,MAGEA8,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000162039,MEIOB,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000166049,PASD1,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000244588,RAD21L1,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000142698,C1orf94,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000215817,ZC3H11B,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000162843,WDR64,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000196604,POTEF,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000170516,COX7B2,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000151962,RBM46,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000179046,TRIML2,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000251258,RFPL4B,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000241149,ZNF722,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000176566,DCAF4L2,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000230601,TEX48,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000198033,TUBA3C,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
