cancer_code,status,qc_used,n_samples_pg,n_samples_on,n_samples_match,n_genes_pg,n_genes_on,n_genes_shared,n_genes_pg_only,n_genes_on_only,n_scored,rel_median,rel_p95,rel_max,n_divergent,n_on_missing_value
ACC,ok,artifact,77,77,True,34571,29636,29636,4935,0,12918,0.00044236882895889117,0.001349326270174632,0.003666204202176413,0,0
ACINIC,ok,artifact,3,2,False,58951,51380,51380,7571,0,13282,0.18298080789525661,1.284600687189895,13.609832456895987,2473,0
ADCC,ok,artifact,57,57,True,58951,51380,51380,7571,0,15151,0.0004220985203656164,0.0012619278795957907,0.001982234962768322,0,0
ATRT,ok,artifact,4,4,True,34571,29636,29636,4935,0,14342,0.00910798940576233,0.20663392625489438,0.8323017760647218,96,0
BCC,ok,artifact,25,25,True,15263,15107,15107,156,0,14173,0.00048283585667757136,0.0015515535218904473,0.0036998900534481187,0,0
BL,ok,artifact,184,182,False,60279,52545,52545,7734,0,20689,0.003527300476366324,0.021968435504981173,0.2327403672847106,0,0
BLCA,ok,artifact,407,407,True,34571,29636,29636,4935,0,13367,0.00044333420510299826,0.0013720866189741842,0.0038402048708280887,0,0
BRCA,ok,artifact,1099,1098,False,34571,29636,29636,4935,0,13959,0.0007258475835484289,0.0026164839273059115,0.015032521874867666,0,0
BRCA_Basal,ok,artifact,172,172,True,34571,29636,29636,4935,0,13742,0.00045108389857724014,0.0014037050988209689,0.0037259418643109565,0,0
BRCA_HER2,ok,artifact,77,77,True,34571,29636,29636,4935,0,13664,0.00045622375617755185,0.0013524200832073542,0.0038784027193978737,0,0
BRCA_LumA,ok,artifact,501,501,True,34571,29636,29636,4935,0,14120,0.00046359794913362526,0.0014105712712647225,0.0035319945950567687,0,0
BRCA_LumB,ok,artifact,199,199,True,34571,29636,29636,4935,0,13730,0.00046396175349638533,0.0013914914970564447,0.0030235305454371004,0,0
BRCA_Normal,ok,artifact,35,35,True,34571,29636,29636,4935,0,14376,0.0004554695759906239,0.0013267388017999292,0.0030626439979342082,0,0
B_ALL,ok,artifact,154,153,False,60279,52545,52545,7734,0,18258,0.004446466220714038,0.023678392987493736,0.3435105857086795,0,0
CESC,ok,artifact,306,306,True,34571,29636,29636,4935,0,13329,0.0004422626822103952,0.0013662659183657723,0.003175156086701717,0,0
CHOL,ok,artifact,36,36,True,34571,29636,29636,4935,0,13770,0.000553808070585786,0.0023802905691126947,0.1364272923765667,0,0
CLL,ok,artifact,708,708,True,52078,44997,44997,7081,0,14723,0.0004440758856012397,0.001419725510642718,0.0029288131524260255,0,0
CML,ok,artifact,5,5,True,19297,19168,19168,129,0,11249,0.0004592142081705234,0.001467814772782085,0.0038490396925775637,0,0
CMN,ok,artifact,12,12,True,13393,13214,13214,179,0,13214,0.0006307067599373203,0.001819022055159496,0.08061945382277759,0,0
COAD,ok,artifact,290,290,True,34571,29636,29636,4935,0,13574,0.0004625002268355328,0.0014161127236883956,0.0032148781029122777,0,0
COAD_MSI,ok,artifact,50,50,True,34571,29636,29636,4935,0,13510,0.0005078914314079798,0.0016808422019543954,0.4646362804951086,0,0
COAD_MSS,ok,artifact,226,226,True,34571,29636,29636,4935,0,13581,0.00045449267177166664,0.0013946246839564062,0.0037765905716713823,0,0
CRANIO,ok,artifact,29,29,True,56697,48965,48965,7732,0,17536,0.00043920247183208135,0.0012315334817387493,0.0037556829625170697,0,0
CTCL,ok,artifact,7,7,True,17004,16905,16905,99,0,11079,0.0004943097264040203,0.0015278842316446552,0.0037983679406029254,0,0
DIPG,ok,artifact,32,32,True,56697,48965,48965,7732,0,17216,0.0005173473421128269,0.0019589167453566976,0.644004801337059,1,0
DLBC,ok,artifact,47,47,True,34571,29636,29636,4935,0,12473,0.00043660163764146177,0.001406592044976702,0.003710730813757308,0,0
EPN,ok,artifact,11,11,True,21864,21374,21374,490,0,13800,0.0004688922664749913,0.0014189210772822675,0.003752583535998771,0,0
ESCA,ok,artifact,182,182,True,34571,29636,29636,4935,0,13990,0.00045828258745605327,0.001406859246170821,0.07229597344363149,0,0
FL,ok,artifact,6,6,True,51382,44399,44399,6983,0,15235,0.00112153981671295,0.024759207531616784,0.8036382710128457,9,0
GBC,ok,artifact,10,10,True,30708,28043,28043,2665,0,16497,0.0011331264890783225,0.024029228466342586,0.49715142349454733,0,0
GBM,ok,artifact,166,166,True,34571,29636,29636,4935,0,14392,0.0004587233639124349,0.0014092268316834697,0.041259843205167734,0,0
HEPB,ok,artifact,20,20,True,34571,29636,29636,4935,0,13099,0.0007501907233656871,0.008706260465410008,0.4541396448867556,0,0
HCL,ok,artifact,5,5,True,14798,14704,14704,94,0,10821,0.0005078114433397547,0.001558005250920275,0.003618860792266578,0,0
HL,ok,artifact,5,3,False,60464,52687,52687,7777,0,15316,0.1023479419079946,2.379841667460361,45.55131521059246,4032,0
HNSC,ok,artifact,520,520,True,34571,29636,29636,4935,0,13157,0.0004413800231683438,0.0013574947192043641,0.0037274700833198403,0,0
HNSC_HPVneg,ok,artifact,415,415,True,34571,29636,29636,4935,0,13081,0.0004477310153692566,0.0013044953873665617,0.003793374645845173,0,0
HNSC_HPVpos,ok,artifact,72,72,True,34571,29636,29636,4935,0,13492,0.0004800531485548974,0.0015348804321996434,0.06612906534235244,0,0
KICH,ok,artifact,66,66,True,34571,29636,29636,4935,0,13161,0.0004829746843921808,0.001583859616533394,0.03400223055034973,0,0
KIRC,ok,artifact,531,531,True,34571,29636,29636,4935,0,14074,0.00045879226774902073,0.0014007541179481852,0.003851014744506206,0,0
KIRP,ok,artifact,289,289,True,34571,29636,29636,4935,0,13645,0.0004545648372693179,0.0014065367088078283,0.0034904593454333863,0,0
LAML,ok,artifact,173,173,True,34571,29636,29636,4935,0,13777,0.00047515349679399784,0.0015229318590688618,0.0036031791265295483,0,0
LAML_APL,ok,artifact,20,19,False,60279,52545,52545,7734,0,15998,0.019160802351541016,0.10853982818678926,0.9998798505163722,7,0
LAML_ELNadv,ok,artifact,189,189,True,60279,52545,52545,7734,0,17116,0.0004039059600893021,0.0012811988930317142,0.0035929452012839944,0,0
LAML_ELNfav,ok,artifact,238,238,True,60279,52545,52545,7734,0,17281,0.00040617778566091726,0.0012661630547699434,0.2134087937040371,0,0
LAML_ELNint,ok,artifact,154,154,True,60279,52545,52545,7734,0,16992,0.0004112462023020889,0.001323177573507696,0.005928477774086294,0,0
LGG,ok,artifact,523,522,False,34571,29636,29636,4935,0,14455,0.0009469467569976425,0.0042907586783976995,0.055755567021423834,0,0
LIHC,ok,artifact,368,368,True,34571,29636,29636,4935,0,11998,0.00040974936571257144,0.001178026088081468,0.0038433126433714657,0,0
LUAD,ok,artifact,515,515,True,34571,29636,29636,4935,0,14054,0.0004416243717228842,0.001316167906640988,0.0037751279055835978,0,0
LUAD_EGFR,ok,artifact,67,67,True,34571,29636,29636,4935,0,14361,0.00044332232096214505,0.0013246333152685458,0.002661863468886284,0,0
LUAD_KRAS,ok,artifact,153,153,True,34571,29636,29636,4935,0,13956,0.0004423738025011179,0.0013243151916371323,0.003888971806423231,0,0
LUAD_STK11,ok,artifact,142,142,True,34571,29636,29636,4935,0,13845,0.0004525108267698169,0.0013707445709462518,0.013733858642943051,0,0
LUSC,ok,artifact,498,498,True,34571,29636,29636,4935,0,13927,0.00044504208332794463,0.0013309980198160892,0.0038916014447875117,0,0
MBL,ok,artifact,125,125,True,34571,29636,29636,4935,0,14716,0.0004669356661231582,0.0014392685975788701,0.003656073004753897,0,0
MBL_G3,ok,artifact,44,44,True,34571,29636,29636,4935,0,14633,0.0005644932440530117,0.0023335336988088676,0.10183847710011407,0,0
MBL_G4,ok,artifact,39,39,True,34571,29636,29636,4935,0,14960,0.0004679574447145904,0.001457231843298002,0.003760490646120757,0,0
MBL_SHH,ok,artifact,25,25,True,34571,29636,29636,4935,0,14367,0.0004699707896024,0.0014277764013545687,0.0033376160607867184,0,0
MBL_WNT,ok,artifact,17,17,True,34571,29636,29636,4935,0,15221,0.0004974559962834829,0.0014782981854395238,0.0038508723155305648,0,0
MCL,ok,artifact,51,51,True,25727,25122,25122,605,0,14057,0.00044952966742051116,0.001394283814090496,0.003701498024057814,0,0
MDS,ok,artifact,82,81,False,60464,52687,52687,7777,0,17074,0.004813233229384472,0.026351439377539868,0.35930617906114404,0,0
MESO,ok,artifact,87,87,True,34571,29636,29636,4935,0,13592,0.0004351414593591462,0.0013197672585663176,0.0033106383315893253,0,0
MM,ok,artifact,764,81,False,60279,52545,52545,7734,0,11200,0.9716112496625042,1.3911523040679077,24.981420921127153,10692,0
MPN,ok,artifact,45,45,True,38077,32578,32578,5499,0,13356,0.0004017111097214502,0.001323704329836518,0.0037874149245782944,0,0
MTC,ok,artifact,52,52,True,18967,18862,18862,105,0,18840,0.0005357924735173202,0.0012568376825813762,0.11997467438091348,0,0
NBL,ok,artifact,155,155,True,60279,52545,52545,7734,0,19657,0.00042201451006309936,0.0012579712425101143,0.003771917002937455,0,0
NBL_MYCNamp,ok,artifact,33,33,True,60279,52545,52545,7734,0,19287,0.00041568509933598394,0.001296502154700479,0.003850878067039771,0,0
NBL_MYCNnonamp,ok,artifact,122,122,True,60279,52545,52545,7734,0,19778,0.00042699102013616383,0.0013413438343976175,0.016723894431230648,0,0
NEC_LUNG_LARGECELL,ok,artifact,69,69,True,59178,51445,51445,7733,0,18641,0.00038550532772930736,0.0010815421741983268,0.003385987317090504,0,0
