cohort,PRAME,XAGE1A,XAGE1B,MAGEA3,PHF7,MAGEA6,EGFL6,MAGEA12,YBX2,MAGEA4,H1-6,MAGEA2,MAGEC1,SYCE2,SYCP3,TULP2,SMC1B,CTCFL,MAGEA9B,TEX14,C12orf42,LRRC36,STKLD1,C1orf94,DPEP3,RNF148,HORMAD1,WDR64,PIWIL1,FATE1
Prostate Adenocarcinoma [PRAD] (n=496),0.103788,0.0,0.0,0.0,6.222152,0.0,0.148919,0.0,0.58977,0.0,0.071648,0.0,0.0,0.750537,0.225713,0.068757,0.055086,0.0,0.0,0.469279,0.047358,0.228716,2.326457,0.0,0.045541,0.193749,0.011005,0.012062,0.011816,0.067616
Skin Cutaneous Melanoma [SKCM] (n=469),334.936937,0.459516,0.367084,27.08277,5.805048,17.702277,0.605909,14.337848,0.537737,0.032153,0.0,7.4233,0.269383,0.933355,0.17486,0.035698,0.184201,0.026323,0.013726,0.393223,0.062693,0.506998,2.369483,0.0,0.059601,0.084615,0.159619,0.053737,0.0,0.269043
Ovarian Serous Cystadenocarcinoma [OV] (n=426),56.131966,0.0,0.0,0.0,2.759015,0.0,11.472592,0.0,7.54642,0.204443,0.072033,0.023481,0.071243,3.306457,0.377944,0.067557,0.528891,5.345169,0.013192,0.231236,0.056698,0.662813,1.589558,0.013545,0.146202,0.037196,0.077559,0.015505,0.219878,0.108656
Head and Neck Squamous Cell Carcinoma — HPV- HNSC [HNSC_HPV_neg] (n=415),1.675524,0.0,0.0,0.863269,3.318348,0.519358,4.676446,0.022035,0.469661,0.830772,0.032767,0.0532,0.0,0.368882,0.085438,0.021753,0.032407,0.0,0.068688,0.113899,0.070113,0.08429,0.388729,0.0,0.021703,0.03295,3.210763,0.011825,0.011607,0.11435
Stomach Adenocarcinoma [STAD] (n=414),0.972597,0.0,0.0,0.120537,3.760834,0.067164,2.189175,0.03064,9.034684,0.012356,0.025385,0.048289,0.0,0.824656,1.601241,0.085515,0.075484,0.024701,0.024356,0.18839,0.183583,0.566264,0.609922,0.011805,0.077176,0.179045,0.192074,0.03582,0.321492,0.17602
Bladder Urothelial Carcinoma [BLCA] (n=407),0.116946,0.0,0.0,0.616246,4.281255,0.312057,4.04714,0.023738,0.394188,0.12364,0.0,0.03293,0.0,0.841583,0.302806,0.036637,0.303541,0.0,0.944731,0.227935,0.099274,0.133531,1.012421,0.0,0.026124,0.059358,0.181149,0.011164,0.011383,0.143077
Liver Hepatocellular Carcinoma [LIHC] (n=368),0.047087,0.153093,0.17433,0.044,4.039327,0.018111,0.07137,0.011738,1.084566,0.0,0.0,0.0,0.010763,0.709334,0.349082,0.01131,0.057557,0.02288,0.0,0.221657,0.04418,0.05638,1.096876,0.0,0.026073,0.068647,0.0371,0.012802,0.011085,0.363904
Cervical Squamous / Adenocarcinoma [CESC] (n=306),0.18739,0.0,0.0,0.0,3.310533,0.0,3.082951,0.0,11.898056,0.0,0.048906,0.0,0.0,4.276908,0.296436,0.021822,5.544713,0.01165,0.0,0.178213,0.034426,0.281771,0.7856,0.0,0.022811,0.084455,1.46453,0.011512,0.011392,0.106162
Colon Adenocarcinoma [COAD] (n=290),0.431621,0.0,0.0,0.0,4.182361,0.0,1.537934,0.0,12.771923,0.0,0.0,0.0,0.0,0.627023,0.108602,0.024178,0.02774,0.0,0.0,0.142635,0.046699,2.216099,0.415703,0.0,0.021521,0.084166,0.106972,0.0,0.544236,0.15887
Kidney Renal Papillary [KIRP] (n=289),10.788787,0.0,0.0,0.0,6.458331,0.0,0.023889,0.0,2.213088,0.0,0.0,0.0,0.0,0.605245,0.266284,0.026981,0.024448,0.0,0.0,0.247274,0.045571,3.869213,1.522947,0.0,0.092254,0.097976,0.048277,0.016578,0.0,0.181456
T-cell Acute Lymphoblastic Leukemia [T_ALL] (n=264),0.141998,0.0,0.0,0.0,14.481696,0.0,0.0,0.0,0.192979,0.0,7.907818,0.0,0.0,5.893081,2.50951,6.314166,0.72454,0.019858,0.0,3.896504,0.84243,0.44093,1.668938,0.0,0.392089,0.0,0.729958,0.079357,0.016529,0.0
Osteosarcoma [OS] (n=262),3.651541,0.472923,0.740111,2.255029,5.365918,1.668148,6.702004,0.331367,0.146358,0.0,0.048451,0.424004,0.046555,1.242919,0.270397,0.046095,0.29185,0.029668,0.022424,0.695044,0.0,0.566072,1.455389,0.0,0.059869,0.132838,0.380069,0.023011,0.023187,0.356018
Acute Myeloid Leukemia — AML ELN2017 Favorable [LAML_ELN_Fav] (n=238),1.195636,0.0,0.0,0.0,26.926097,0.0,0.0,0.0,0.058032,0.0,0.181389,0.0,0.0,6.615229,1.141716,0.919592,0.742731,0.0,0.0,0.61524,0.206486,0.477263,1.3617,0.0,2.094719,0.0,1.446202,0.067488,0.0,0.0
Breast Invasive Carcinoma — Luminal B [BRCA_LumB] (n=199),0.436801,0.0,0.0,0.0,6.270771,0.0,1.261291,0.0,9.479495,0.0,0.070403,0.0,0.011715,2.142126,0.16848,0.023744,0.208857,0.0,0.0,0.974754,0.06529,0.46082,1.638976,0.0,0.024951,0.14383,0.07737,0.034252,0.012391,0.131526
Acute Myeloid Leukemia — AML ELN2017 Adverse [LAML_ELN_Adv] (n=189),1.298253,0.0,0.0,0.0,20.176234,0.0,0.030341,0.0,0.138553,0.0,0.216447,0.0,0.0,5.441931,0.985253,0.962989,0.921017,0.0,0.0,0.521412,0.224307,0.352527,1.371099,0.0,1.623104,0.0,1.614526,0.053602,0.0,0.0
Burkitt Lymphoma [BL] (n=184),0.239154,0.0,0.0,0.0,10.044338,0.0,1.115325,0.0,0.071113,0.0,1.639359,0.0,0.0,4.427487,2.822541,0.315839,1.536641,0.099895,0.0,0.449892,0.160803,0.106299,3.644992,0.0,0.119008,0.079397,1.704437,0.02152,0.017556,0.073893
Esophageal Carcinoma [ESCA] (n=182),5.249982,0.0,0.0,0.313492,4.197306,0.190035,6.268671,0.018059,4.769681,0.065521,0.070884,0.062882,0.0,0.873221,0.939516,0.049001,0.121407,0.013518,0.065251,0.177947,0.16512,0.278876,0.644441,0.011432,0.030619,0.107965,3.009236,0.02566,0.111001,0.10082
Pheochromocytoma and Paraganglioma [PCPG] (n=182),0.0,0.0,0.0,0.0,5.684548,0.0,0.036501,0.0,0.178878,0.0,0.0,0.0,0.0,0.928511,0.183574,0.02476,0.022801,0.0,0.0,0.211851,0.121536,0.833928,1.541022,0.013115,0.066164,0.101035,0.0,0.070048,0.045331,0.682469
Uterine Corpus Endometrial Carcinoma [UCEC] (n=181),139.735334,0.0,0.0,0.0,2.993244,0.0,3.55384,0.0,5.139233,0.0,0.0,0.006394,0.0,1.856592,0.289279,0.022569,0.107466,0.032165,0.0392,0.238003,0.021414,0.700535,1.507906,0.0,0.02188,0.06325,0.129789,0.0,0.078409,0.125811
Pancreatic Adenocarcinoma [PAAD] (n=179),0.098436,0.0,0.074853,0.0,3.776639,0.0,1.83383,0.0,0.356596,0.0,0.0,0.0,0.0,0.600523,0.195653,0.047766,0.035144,0.0,0.0,0.294883,0.071668,2.169894,0.75061,0.03317,0.073966,0.101239,0.148011,0.037766,0.146002,0.134348
