Ensembl_Gene_ID,Symbol,n_9mers,n_specific_9mers
ENSG00000175820,CCDC168,7062,7061
ENSG00000121101,TEX14,1489,1487
ENSG00000177992,SPATA31E1,1437,1437
ENSG00000215529,EFCAB8,1280,1280
ENSG00000077935,SMC1B,1227,1196
ENSG00000095627,TDRD1,1181,1181
ENSG00000184507,NUTM1,1152,1119
ENSG00000162843,WDR64,1083,1083
ENSG00000198765,SYCP1,968,967
ENSG00000114487,MORC1,976,952
ENSG00000276040,SPATA31A7,1339,948
ENSG00000180336,MEIOC,944,944
ENSG00000204849,SPATA31A1,1339,938
ENSG00000275969,SPATA31A3,1339,935
ENSG00000155495,MAGEC1,928,901
ENSG00000137948,BRDT,939,892
ENSG00000181433,SAGE1,890,879
ENSG00000147081,AKAP4,846,845
ENSG00000125207,PIWIL1,853,832
ENSG00000164304,CAGE1,831,831
ENSG00000162641,AKNAD1,828,828
ENSG00000174898,CATSPERD,790,790
ENSG00000168594,ADAM29,795,763
ENSG00000166049,PASD1,762,760
ENSG00000159708,LRRC36,746,746
ENSG00000104755,ADAM2,727,718
ENSG00000205359,SLCO6A1,711,710
ENSG00000152670,DDX4,716,685
ENSG00000198870,STKLD1,672,670
ENSG00000124092,CTCFL,692,633
ENSG00000140478,GOLGA6D,685,632
ENSG00000159289,GOLGA6A,685,623
ENSG00000142698,C1orf94,590,589
ENSG00000184735,DDX53,623,584
ENSG00000126467,TSKS,579,577
ENSG00000164113,ADAD1,568,568
ENSG00000178997,EXD1,564,564
ENSG00000162771,GARIN4,586,561
ENSG00000144962,SPATA16,561,561
ENSG00000007350,TKTL1,588,556
ENSG00000198759,EGFL6,546,545
ENSG00000226650,KIF4B,1226,514
ENSG00000104804,TULP2,512,510
ENSG00000244588,RAD21L1,548,510
ENSG00000106304,SPAM1,503,502
ENSG00000185686,PRAME,501,486
ENSG00000151962,RBM46,525,480
ENSG00000186788,SPATA31D3,909,475
ENSG00000188782,CATSPER4,475,475
ENSG00000189357,SPATA31D4,909,475
ENSG00000153060,TEKT5,477,470
ENSG00000162039,MEIOB,463,463
ENSG00000189186,DCAF8L2,610,448
ENSG00000261649,GOLGA6L7,482,447
ENSG00000174015,CBY2,440,440
ENSG00000177294,FBXO39,434,434
ENSG00000187003,ACTL7A,427,426
ENSG00000179046,TRIML2,429,424
ENSG00000215115,CXorf49,506,421
ENSG00000215113,CXorf49B,506,421
ENSG00000141096,DPEP3,504,417
ENSG00000175809,CBLL2,417,417
ENSG00000172717,GARIN2,414,414
ENSG00000148156,ACTL7B,407,407
ENSG00000142025,DMRTC2,410,404
ENSG00000212710,CTAGE1,737,398
ENSG00000054796,SPO11,388,388
ENSG00000145309,CABS1,387,387
ENSG00000177673,TEX44,387,387
ENSG00000103023,PRSS54,387,387
ENSG00000143452,HORMAD1,386,386
ENSG00000184361,SPATA32,376,375
ENSG00000269058,CALR3,376,372
ENSG00000010318,PHF7,373,371
ENSG00000176746,MAGEB6,372,370
ENSG00000176566,DCAF4L2,387,362
ENSG00000178021,TSPYL6,402,359
ENSG00000268629,TEX13A,401,356
ENSG00000117148,ACTL8,358,355
ENSG00000141255,SPATA22,355,355
ENSG00000183434,TFDP3,397,352
ENSG00000179088,C12orf42,352,352
