cancer_code,n_samples,normalization,n_any_gt25,n_unknown_gt25,n_any_gt50,n_unknown_gt50,n_any_p90,n_unknown_p90,n_any_p95,n_unknown_p95,n_any_gt25_nomage,n_unknown_gt25_nomage,n_any_gt50_nomage,n_unknown_gt50_nomage,n_any_p90_nomage,n_unknown_p90_nomage,n_any_p95_nomage,n_unknown_p95_nomage
SARC_LMS,151,tpm_clean,48,103,29,122,33,118,21,130,46,105,28,123,31,120,21,130
SARC_LPS_UNSPEC,92,tpm_clean,43,49,29,63,35,57,20,72,43,49,29,63,35,57,20,72
SARC_MPNST,13,tpm_clean,10,3,7,6,8,5,5,8,10,3,7,6,8,5,5,8
SARC_MYXFIB,41,tpm_clean,21,20,16,25,17,24,16,25,20,21,16,25,16,25,16,25
SARC_OS,262,tpm_clean,196,66,167,95,180,82,142,120,192,70,162,100,176,86,141,121
SARC_RMS_ARMS,73,tpm_clean,58,15,44,29,49,24,35,38,57,16,43,30,46,27,35,38
SARC_RMS_ERMS,95,tpm_clean,77,18,74,21,75,20,71,24,77,18,74,21,75,20,70,25
SARC_RMS_PRMS,6,tpm_clean,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2
SARC_RMS_SSRMS,8,tpm_clean,7,1,6,2,7,1,5,3,7,1,6,2,7,1,5,3
SARC_SYN,50,tpm_clean,50,0,49,1,49,1,46,4,50,0,49,1,49,1,46,4
SARC_UPS,110,tpm_clean,71,39,58,52,61,49,41,69,68,42,51,59,57,53,40,70
SARC_WDLPS,5,tpm_clean,2,3,0,5,2,3,0,5,2,3,0,5,2,3,0,5
SKCM,469,tpm_clean,456,13,443,26,447,22,429,40,455,14,438,31,444,25,425,44
STAD,414,tpm_clean,262,152,172,242,207,207,116,298,233,181,142,272,172,242,89,325
STAD_CIN,221,tpm_clean,154,67,105,116,123,98,76,145,134,87,81,140,99,122,52,169
STAD_EBV,30,tpm_clean,11,19,5,25,7,23,3,27,9,21,4,26,5,25,3,27
STAD_GS,50,tpm_clean,21,29,14,36,15,35,10,40,20,30,13,37,14,36,9,41
STAD_MSI,73,tpm_clean,52,21,32,41,42,31,13,60,47,26,28,45,35,38,13,60
TGCT,154,tpm_clean,148,6,135,19,140,14,126,28,147,7,133,21,139,15,126,28
THCA,512,tpm_clean,110,402,53,459,68,444,32,480,110,402,53,459,68,444,32,480
THYM,119,tpm_clean,57,62,27,92,35,84,16,103,57,62,27,92,35,84,16,103
UCEC,181,tpm_clean,179,2,157,24,170,11,136,45,179,2,155,26,169,12,135,46
UCEC_CNH,85,tpm_clean,85,0,77,8,82,3,66,19,85,0,77,8,82,3,66,19
UCEC_CNL,30,tpm_clean,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0
UCEC_MSI,41,tpm_clean,39,2,29,12,35,6,25,16,39,2,28,13,35,6,24,17
UCEC_POLE,16,tpm_clean,16,0,13,3,15,1,11,5,16,0,13,3,15,1,11,5
UCS,57,tpm_clean,55,2,53,4,55,2,49,8,55,2,53,4,55,2,49,8
UVM,79,tpm_clean,42,37,35,44,40,39,29,50,42,37,35,44,40,39,29,50
CRC_MSI,52,tpm_clean,21,31,8,44,10,42,4,48,19,33,4,48,5,47,2,50
CRC_MSS,309,tpm_clean,98,211,42,267,48,261,26,283,79,230,23,286,29,280,11,298
CRC,383,tpm_clean,127,256,53,330,62,321,32,351,105,278,30,353,37,346,15,368
SARC_LPS,92,tpm_clean,43,49,29,63,35,57,20,72,43,49,29,63,35,57,20,72
SARC_RMS,182,tpm_clean,146,36,128,54,135,47,115,67,145,37,127,55,132,50,114,68
SARC,1087,tpm_clean,698,375,575,493,622,456,486,585,687,386,560,508,607,471,482,589
