cancer_code,n_samples,Ensembl_Gene_ID,Symbol,n_gt25,pct_gt25,n_gt50,pct_gt50,n_gt100,pct_gt100,n_gt200,pct_gt200
OV,426,PAGE5,PAGE5,4,0.94,3,0.7,3,0.7,1,0.23
OV,426,SSX1,SSX1,4,0.94,3,0.7,1,0.23,0,0.0
OV,426,DPPA2,DPPA2,3,0.7,2,0.47,0,0.0,0,0.0
OV,426,MAGEA12,MAGEA12,3,0.7,1,0.23,0,0.0,0,0.0
OV,426,SSX2,SSX2,3,0.7,2,0.47,0,0.0,0,0.0
OV,426,DAZL,DAZL,2,0.47,0,0.0,0,0.0,0,0.0
OV,426,MAGEA8,MAGEA8,2,0.47,1,0.23,0,0.0,0,0.0
OV,426,SSX5,SSX5,2,0.47,1,0.23,0,0.0,0,0.0
OV,426,SYCE2,SYCE2,2,0.47,0,0.0,0,0.0,0,0.0
OV,426,VCX,VCX,2,0.47,1,0.23,1,0.23,0,0.0
OV,426,C1orf94,C1orf94,1,0.23,0,0.0,0,0.0,0,0.0
OV,426,CATSPERD,CATSPERD,1,0.23,0,0.0,0,0.0,0,0.0
OV,426,CT55,CT55,1,0.23,0,0.0,0,0.0,0,0.0
OV,426,FTHL17,FTHL17,1,0.23,0,0.0,0,0.0,0,0.0
OV,426,LDHC,LDHC,1,0.23,0,0.0,0,0.0,0,0.0
OV,426,MAGEA2,MAGEA2,1,0.23,0,0.0,0,0.0,0,0.0
OV,426,PASD1,PASD1,1,0.23,0,0.0,0,0.0,0,0.0
OV,426,SPANXA1,SPANXA1,1,0.23,0,0.0,0,0.0,0,0.0
OV,426,TEKT5,TEKT5,1,0.23,0,0.0,0,0.0,0,0.0
PAAD,179,CGB8,CGB8,19,10.61,9,5.03,3,1.68,2,1.12
PAAD,179,DAZ1,DAZ1,10,5.59,3,1.68,1,0.56,0,0.0
PAAD,179,CXorf49,CXorf49,3,1.68,1,0.56,0,0.0,0,0.0
PAAD,179,MAGEA3,MAGEA3,3,1.68,1,0.56,1,0.56,0,0.0
PAAD,179,ACTL8,ACTL8,1,0.56,0,0.0,0,0.0,0,0.0
PAAD,179,GAGE1,GAGE1,1,0.56,1,0.56,1,0.56,0,0.0
PAAD,179,MAGEA4,MAGEA4,1,0.56,0,0.0,0,0.0,0,0.0
PAAD,179,PAGE2,PAGE2,1,0.56,1,0.56,0,0.0,0,0.0
PAAD,179,XAGE2,XAGE2,1,0.56,1,0.56,1,0.56,0,0.0
PCPG,182,NY-ESO-1,NY-ESO-1,3,1.65,3,1.65,1,0.55,0,0.0
PCPG,182,MAGEA3,MAGEA3,2,1.1,2,1.1,0,0.0,0,0.0
PCPG,182,EGFL6,EGFL6,1,0.55,0,0.0,0,0.0,0,0.0
PCPG,182,MAGEA4,MAGEA4,1,0.55,1,0.55,0,0.0,0,0.0
PCPG,182,MAGEA9,MAGEA9,1,0.55,1,0.55,1,0.55,0,0.0
PCPG,182,PAGE2,PAGE2,1,0.55,1,0.55,1,0.55,0,0.0
PCPG,182,PAGE5,PAGE5,1,0.55,0,0.0,0,0.0,0,0.0
PCPG,182,PRAME,PRAME,1,0.55,0,0.0,0,0.0,0,0.0
PCPG,182,XAGE1,XAGE1,1,0.55,1,0.55,1,0.55,1,0.55
PRAD,496,XAGE1,XAGE1,14,2.82,12,2.42,10,2.02,5,1.01
PRAD,496,COX7B2,COX7B2,7,1.41,2,0.4,1,0.2,0,0.0
PRAD,496,NY-ESO-1,NY-ESO-1,6,1.21,4,0.81,1,0.2,1,0.2
PRAD,496,TDRD1,TDRD1,4,0.81,0,0.0,0,0.0,0,0.0
PRAD,496,ADAM2,ADAM2,3,0.6,1,0.2,0,0.0,0,0.0
PRAD,496,MAGEA3,MAGEA3,3,0.6,0,0.0,0,0.0,0,0.0
PRAD,496,CT45A1,CT45A1,2,0.4,1,0.2,0,0.0,0,0.0
PRAD,496,CT83,CT83,2,0.4,0,0.0,0,0.0,0,0.0
PRAD,496,DAZ1,DAZ1,2,0.4,0,0.0,0,0.0,0,0.0
PRAD,496,PRAME,PRAME,2,0.4,0,0.0,0,0.0,0,0.0
PRAD,496,CABS1,CABS1,1,0.2,0,0.0,0,0.0,0,0.0
PRAD,496,CATSPERD,CATSPERD,1,0.2,0,0.0,0,0.0,0,0.0
PRAD,496,GAGE1,GAGE1,1,0.2,1,0.2,1,0.2,1,0.2
PRAD,496,MAGEA1,MAGEA1,1,0.2,0,0.0,0,0.0,0,0.0
PRAD,496,MAGEA12,MAGEA12,1,0.2,0,0.0,0,0.0,0,0.0
PRAD,496,MAGEA4,MAGEA4,1,0.2,1,0.2,1,0.2,0,0.0
PRAD,496,MAGEA8,MAGEA8,1,0.2,0,0.0,0,0.0,0,0.0
PRAD,496,MAGEC2,MAGEC2,1,0.2,0,0.0,0,0.0,0,0.0
RB,15,PRAME,PRAME,3,20.0,0,0.0,0,0.0,0,0.0
RB,15,EGFL6,EGFL6,1,6.67,1,6.67,0,0.0,0,0.0
READ,93,MAGEA3,MAGEA3,13,13.98,10,10.75,8,8.6,5,5.38
READ,93,YBX2,YBX2,10,10.75,0,0.0,0,0.0,0,0.0
READ,93,MAGEA12,MAGEA12,8,8.6,4,4.3,0,0.0,0,0.0
READ,93,MAGEA2,MAGEA2,7,7.53,2,2.15,0,0.0,0,0.0
READ,93,MAGEC2,MAGEC2,3,3.23,1,1.08,0,0.0,0,0.0
READ,93,COX7B2,COX7B2,2,2.15,0,0.0,0,0.0,0,0.0
READ,93,CT83,CT83,2,2.15,1,1.08,1,1.08,0,0.0
READ,93,DAZ1,DAZ1,2,2.15,2,2.15,0,0.0,0,0.0
READ,93,MAGEA9,MAGEA9,2,2.15,1,1.08,0,0.0,0,0.0
READ,93,MAGEB2,MAGEB2,2,2.15,1,1.08,0,0.0,0,0.0
READ,93,PAGE2,PAGE2,2,2.15,1,1.08,0,0.0,0,0.0
READ,93,ACTL8,ACTL8,1,1.08,1,1.08,1,1.08,0,0.0
READ,93,CT45A1,CT45A1,1,1.08,1,1.08,0,0.0,0,0.0
READ,93,CTCFL,CTCFL,1,1.08,0,0.0,0,0.0,0,0.0
READ,93,GAGE1,GAGE1,1,1.08,0,0.0,0,0.0,0,0.0
READ,93,MAGEA1,MAGEA1,1,1.08,0,0.0,0,0.0,0,0.0
READ,93,MAGEA10,MAGEA10,1,1.08,0,0.0,0,0.0,0,0.0
READ,93,PAGE1,PAGE1,1,1.08,0,0.0,0,0.0,0,0.0
READ,93,TKTL1,TKTL1,1,1.08,0,0.0,0,0.0,0,0.0
READ,93,XAGE1,XAGE1,1,1.08,1,1.08,0,0.0,0,0.0
RMS_ARMS,73,XAGE1,XAGE1,28,38.36,24,32.88,19,26.03,14,19.18
RMS_ARMS,73,TEX14,TEX14,16,21.92,5,6.85,1,1.37,0,0.0
RMS_ARMS,73,PRAME,PRAME,14,19.18,11,15.07,9,12.33,4,5.48
RMS_ARMS,73,NY-ESO-1,NY-ESO-1,10,13.7,9,12.33,6,8.22,5,6.85
RMS_ARMS,73,MAGEA9,MAGEA9,9,12.33,1,1.37,0,0.0,0,0.0
RMS_ARMS,73,MAGEA3,MAGEA3,7,9.59,5,6.85,2,2.74,0,0.0
RMS_ARMS,73,MAGEA12,MAGEA12,4,5.48,1,1.37,0,0.0,0,0.0
RMS_ARMS,73,TKTL1,TKTL1,4,5.48,2,2.74,1,1.37,0,0.0
RMS_ARMS,73,MAGEA10,MAGEA10,3,4.11,1,1.37,0,0.0,0,0.0
RMS_ARMS,73,MAGEA2,MAGEA2,3,4.11,0,0.0,0,0.0,0,0.0
RMS_ARMS,73,MAGEA1,MAGEA1,2,2.74,0,0.0,0,0.0,0,0.0
RMS_ARMS,73,PAGE2,PAGE2,2,2.74,0,0.0,0,0.0,0,0.0
RMS_ARMS,73,PSG11,PSG11,2,2.74,1,1.37,1,1.37,0,0.0
RMS_ARMS,73,TSPY1,TSPY1,2,2.74,2,2.74,0,0.0,0,0.0
RMS_ARMS,73,CT45A1,CT45A1,1,1.37,0,0.0,0,0.0,0,0.0
RMS_ARMS,73,GAGE1,GAGE1,1,1.37,1,1.37,1,1.37,0,0.0
RMS_ARMS,73,MAGEC2,MAGEC2,1,1.37,0,0.0,0,0.0,0,0.0
RMS_ARMS,73,MEIOB,MEIOB,1,1.37,1,1.37,0,0.0,0,0.0
RMS_ARMS,73,PAGE5,PAGE5,1,1.37,1,1.37,1,1.37,1,1.37
RMS_ARMS,73,PLAC1,PLAC1,1,1.37,1,1.37,0,0.0,0,0.0
RMS_ARMS,73,PSG1,PSG1,1,1.37,0,0.0,0,0.0,0,0.0
RMS_ARMS,73,SSX2,SSX2,1,1.37,1,1.37,1,1.37,1,1.37
RMS_ARMS,73,VCY,VCY,1,1.37,1,1.37,1,1.37,1,1.37
RMS_ERMS,95,PRAME,PRAME,76,80.0,70,73.68,59,62.11,26,27.37
RMS_ERMS,95,MAGEA3,MAGEA3,23,24.21,14,14.74,7,7.37,0,0.0
RMS_ERMS,95,MAGEA2,MAGEA2,15,15.79,4,4.21,0,0.0,0,0.0
RMS_ERMS,95,MAGEA12,MAGEA12,13,13.68,5,5.26,0,0.0,0,0.0
RMS_ERMS,95,GAGE1,GAGE1,7,7.37,4,4.21,4,4.21,3,3.16
RMS_ERMS,95,XAGE1,XAGE1,7,7.37,6,6.32,5,5.26,4,4.21
RMS_ERMS,95,MAGEA9,MAGEA9,6,6.32,4,4.21,1,1.05,0,0.0
RMS_ERMS,95,EGFL6,EGFL6,5,5.26,0,0.0,0,0.0,0,0.0
RMS_ERMS,95,MAGEA10,MAGEA10,5,5.26,2,2.11,0,0.0,0,0.0
RMS_ERMS,95,CT45A1,CT45A1,4,4.21,1,1.05,0,0.0,0,0.0
RMS_ERMS,95,CTCFL,CTCFL,4,4.21,1,1.05,0,0.0,0,0.0
RMS_ERMS,95,DAZ1,DAZ1,3,3.16,1,1.05,0,0.0,0,0.0
RMS_ERMS,95,TKTL1,TKTL1,3,3.16,2,2.11,0,0.0,0,0.0
RMS_ERMS,95,MAGEA1,MAGEA1,2,2.11,1,1.05,0,0.0,0,0.0
RMS_ERMS,95,MAGEA4,MAGEA4,2,2.11,1,1.05,1,1.05,0,0.0
RMS_ERMS,95,TSPY1,TSPY1,2,2.11,1,1.05,1,1.05,0,0.0
RMS_ERMS,95,BRDT,BRDT,1,1.05,0,0.0,0,0.0,0,0.0
RMS_ERMS,95,DPEP3,DPEP3,1,1.05,1,1.05,0,0.0,0,0.0
RMS_ERMS,95,MAGEB2,MAGEB2,1,1.05,1,1.05,0,0.0,0,0.0
RMS_ERMS,95,MAGEC2,MAGEC2,1,1.05,0,0.0,0,0.0,0,0.0
RMS_ERMS,95,PLAC1,PLAC1,1,1.05,1,1.05,0,0.0,0,0.0
RMS_ERMS,95,SSX2,SSX2,1,1.05,1,1.05,1,1.05,1,1.05
RMS_ERMS,95,VCX,VCX,1,1.05,1,1.05,0,0.0,0,0.0
RMS_ERMS,95,VCX3B,VCX3B,1,1.05,0,0.0,0,0.0,0,0.0
RMS_ERMS,95,VCY,VCY,1,1.05,1,1.05,1,1.05,1,1.05
RMS_PRMS,6,MAGEA3,MAGEA3,3,50.0,2,33.33,0,0.0,0,0.0
RMS_PRMS,6,MAGEA12,MAGEA12,2,33.33,0,0.0,0,0.0,0,0.0
RMS_PRMS,6,NY-ESO-1,NY-ESO-1,2,33.33,2,33.33,2,33.33,0,0.0
RMS_PRMS,6,PRAME,PRAME,2,33.33,2,33.33,1,16.67,0,0.0
RMS_PRMS,6,PSG1,PSG1,2,33.33,0,0.0,0,0.0,0,0.0
RMS_PRMS,6,MAGEA2,MAGEA2,1,16.67,0,0.0,0,0.0,0,0.0
RMS_PRMS,6,MAGEC1,MAGEC1,1,16.67,0,0.0,0,0.0,0,0.0
RMS_PRMS,6,PAGE2,PAGE2,1,16.67,0,0.0,0,0.0,0,0.0
RMS_PRMS,6,PAGE5,PAGE5,1,16.67,1,16.67,0,0.0,0,0.0
RMS_PRMS,6,PSG11,PSG11,1,16.67,1,16.67,0,0.0,0,0.0
RMS_PRMS,6,SPANXB1,SPANXB1,1,16.67,1,16.67,1,16.67,0,0.0
RMS_SSRMS,8,PRAME,PRAME,7,87.5,5,62.5,4,50.0,2,25.0
RMS_SSRMS,8,MAGEA12,MAGEA12,1,12.5,1,12.5,0,0.0,0,0.0
RMS_SSRMS,8,MAGEA2,MAGEA2,1,12.5,1,12.5,0,0.0,0,0.0
RMS_SSRMS,8,MAGEA3,MAGEA3,1,12.5,1,12.5,1,12.5,0,0.0
RMS_SSRMS,8,NY-ESO-1,NY-ESO-1,1,12.5,1,12.5,1,12.5,1,12.5
SARC,100,PAGE5,PAGE5,9,9.0,7,7.0,6,6.0,5,5.0
SARC,100,XAGE1,XAGE1,7,7.0,7,7.0,6,6.0,3,3.0
SARC,100,MAGEA3,MAGEA3,6,6.0,5,5.0,3,3.0,0,0.0
SARC,100,PAGE2,PAGE2,6,6.0,6,6.0,6,6.0,5,5.0
SARC,100,PRAME,PRAME,5,5.0,5,5.0,2,2.0,0,0.0
SARC,100,EGFL6,EGFL6,4,4.0,2,2.0,1,1.0,0,0.0
SARC,100,GAGE1,GAGE1,4,4.0,4,4.0,4,4.0,3,3.0
SARC,100,CGB8,CGB8,3,3.0,1,1.0,1,1.0,1,1.0
SARC,100,MAGEA12,MAGEA12,3,3.0,1,1.0,0,0.0,0,0.0
SARC,100,PSG5,PSG5,3,3.0,0,0.0,0,0.0,0,0.0
SARC,100,SPANXA1,SPANXA1,3,3.0,2,2.0,1,1.0,0,0.0
SARC,100,SSX1,SSX1,3,3.0,1,1.0,0,0.0,0,0.0
SARC,100,SSX2,SSX2,3,3.0,2,2.0,0,0.0,0,0.0
SARC,100,MAGEA2,MAGEA2,2,2.0,0,0.0,0,0.0,0,0.0
SARC,100,MAGEB2,MAGEB2,2,2.0,0,0.0,0,0.0,0,0.0
SARC,100,NY-ESO-1,NY-ESO-1,2,2.0,2,2.0,1,1.0,0,0.0
SARC,100,SPANXB1,SPANXB1,2,2.0,2,2.0,1,1.0,0,0.0
SARC,100,VCX,VCX,2,2.0,1,1.0,0,0.0,0,0.0
SARC,100,COX7B2,COX7B2,1,1.0,1,1.0,0,0.0,0,0.0
SARC,100,CXorf49,CXorf49,1,1.0,0,0.0,0,0.0,0,0.0
SARC,100,DAZL,DAZL,1,1.0,0,0.0,0,0.0,0,0.0
SARC,100,FMR1NB,FMR1NB,1,1.0,1,1.0,0,0.0,0,0.0
SARC,100,FTHL17,FTHL17,1,1.0,0,0.0,0,0.0,0,0.0
SARC,100,MAGEA9,MAGEA9,1,1.0,0,0.0,0,0.0,0,0.0
SARC,100,MAGEB1,MAGEB1,1,1.0,0,0.0,0,0.0,0,0.0
SARC,100,MAGEC2,MAGEC2,1,1.0,0,0.0,0,0.0,0,0.0
SARC,100,PAGE1,PAGE1,1,1.0,0,0.0,0,0.0,0,0.0
SARC,100,PLAC1,PLAC1,1,1.0,1,1.0,0,0.0,0,0.0
SARC,100,TEKT5,TEKT5,1,1.0,0,0.0,0,0.0,0,0.0
SARC,100,TSPY1,TSPY1,1,1.0,1,1.0,0,0.0,0,0.0
SARC,100,TUBA3C,TUBA3C,1,1.0,1,1.0,0,0.0,0,0.0
SARC,100,VCX3B,VCX3B,1,1.0,0,0.0,0,0.0,0,0.0
SARC,100,XAGE2,XAGE2,1,1.0,1,1.0,0,0.0,0,0.0
SARC,100,XAGE3,XAGE3,1,1.0,0,0.0,0,0.0,0,0.0
SARC,100,XAGE5,XAGE5,1,1.0,1,1.0,0,0.0,0,0.0
SARC_LMS,151,PAGE5,PAGE5,15,9.93,13,8.61,10,6.62,9,5.96
SARC_LMS,151,MAGEA3,MAGEA3,13,8.61,10,6.62,3,1.99,0,0.0
SARC_LMS,151,PAGE2,PAGE2,11,7.28,11,7.28,11,7.28,8,5.3
SARC_LMS,151,XAGE1,XAGE1,11,7.28,11,7.28,9,5.96,5,3.31
SARC_LMS,151,GAGE1,GAGE1,10,6.62,9,5.96,9,5.96,5,3.31
SARC_LMS,151,PRAME,PRAME,10,6.62,8,5.3,4,2.65,1,0.66
SARC_LMS,151,EGFL6,EGFL6,7,4.64,3,1.99,1,0.66,0,0.0
SARC_LMS,151,MAGEA12,MAGEA12,6,3.97,1,0.66,0,0.0,0,0.0
SARC_LMS,151,NY-ESO-1,NY-ESO-1,6,3.97,5,3.31,2,1.32,0,0.0
SARC_LMS,151,SSX1,SSX1,6,3.97,3,1.99,0,0.0,0,0.0
SARC_LMS,151,SSX2,SSX2,6,3.97,3,1.99,1,0.66,0,0.0
SARC_LMS,151,MAGEA2,MAGEA2,4,2.65,0,0.0,0,0.0,0,0.0
SARC_LMS,151,MAGEB2,MAGEB2,4,2.65,0,0.0,0,0.0,0,0.0
SARC_LMS,151,SPANXB1,SPANXB1,4,2.65,2,1.32,1,0.66,0,0.0
SARC_LMS,151,VCX,VCX,4,2.65,2,1.32,1,0.66,0,0.0
SARC_LMS,151,CGB8,CGB8,3,1.99,1,0.66,1,0.66,1,0.66
SARC_LMS,151,COX7B2,COX7B2,3,1.99,1,0.66,0,0.0,0,0.0
SARC_LMS,151,PHF7,PHF7,3,1.99,0,0.0,0,0.0,0,0.0
SARC_LMS,151,PSG5,PSG5,3,1.99,0,0.0,0,0.0,0,0.0
SARC_LMS,151,SPANXA1,SPANXA1,3,1.99,2,1.32,1,0.66,0,0.0
SARC_LMS,151,VCX3B,VCX3B,3,1.99,0,0.0,0,0.0,0,0.0
SARC_LMS,151,FMR1NB,FMR1NB,2,1.32,1,0.66,0,0.0,0,0.0
SARC_LMS,151,PAGE1,PAGE1,2,1.32,1,0.66,0,0.0,0,0.0
SARC_LMS,151,TUBA3C,TUBA3C,2,1.32,1,0.66,0,0.0,0,0.0
SARC_LMS,151,C1orf94,C1orf94,1,0.66,1,0.66,0,0.0,0,0.0
SARC_LMS,151,CXorf49,CXorf49,1,0.66,0,0.0,0,0.0,0,0.0
SARC_LMS,151,DAZL,DAZL,1,0.66,0,0.0,0,0.0,0,0.0
SARC_LMS,151,FTHL17,FTHL17,1,0.66,0,0.0,0,0.0,0,0.0
SARC_LMS,151,MAGEA1,MAGEA1,1,0.66,0,0.0,0,0.0,0,0.0
SARC_LMS,151,MAGEA9,MAGEA9,1,0.66,0,0.0,0,0.0,0,0.0
SARC_LMS,151,MAGEB1,MAGEB1,1,0.66,0,0.0,0,0.0,0,0.0
SARC_LMS,151,MAGEC2,MAGEC2,1,0.66,0,0.0,0,0.0,0,0.0
SARC_LMS,151,PLAC1,PLAC1,1,0.66,1,0.66,0,0.0,0,0.0
SARC_LMS,151,SYCE2,SYCE2,1,0.66,0,0.0,0,0.0,0,0.0
SARC_LMS,151,TEKT5,TEKT5,1,0.66,0,0.0,0,0.0,0,0.0
SARC_LMS,151,TSKS,TSKS,1,0.66,1,0.66,1,0.66,0,0.0
SARC_LMS,151,TSPY1,TSPY1,1,0.66,1,0.66,0,0.0,0,0.0
SARC_LMS,151,VCY,VCY,1,0.66,0,0.0,0,0.0,0,0.0
SARC_LMS,151,XAGE2,XAGE2,1,0.66,1,0.66,0,0.0,0,0.0
SARC_LMS,151,XAGE3,XAGE3,1,0.66,0,0.0,0,0.0,0,0.0
SARC_LMS,151,XAGE5,XAGE5,1,0.66,1,0.66,0,0.0,0,0.0
SARC_LMS,151,YBX2,YBX2,1,0.66,0,0.0,0,0.0,0,0.0
SARC_LPS_UNSPEC,92,EGFL6,EGFL6,13,14.13,9,9.78,5,5.43,1,1.09
SARC_LPS_UNSPEC,92,PLAC1,PLAC1,11,11.96,0,0.0,0,0.0,0,0.0
SARC_LPS_UNSPEC,92,PRAME,PRAME,6,6.52,5,5.43,4,4.35,1,1.09
SARC_LPS_UNSPEC,92,PSG5,PSG5,6,6.52,3,3.26,0,0.0,0,0.0
SARC_LPS_UNSPEC,92,NY-ESO-1,NY-ESO-1,5,5.43,5,5.43,4,4.35,2,2.17
SARC_LPS_UNSPEC,92,PAGE2,PAGE2,5,5.43,4,4.35,3,3.26,1,1.09
SARC_LPS_UNSPEC,92,PAGE5,PAGE5,5,5.43,5,5.43,3,3.26,1,1.09
SARC_LPS_UNSPEC,92,MAGEA3,MAGEA3,4,4.35,1,1.09,0,0.0,0,0.0
SARC_LPS_UNSPEC,92,SSX1,SSX1,3,3.26,0,0.0,0,0.0,0,0.0
SARC_LPS_UNSPEC,92,SSX2,SSX2,3,3.26,1,1.09,0,0.0,0,0.0
SARC_LPS_UNSPEC,92,XAGE1,XAGE1,3,3.26,2,2.17,2,2.17,0,0.0
SARC_LPS_UNSPEC,92,CGB8,CGB8,2,2.17,2,2.17,0,0.0,0,0.0
SARC_LPS_UNSPEC,92,GAGE1,GAGE1,2,2.17,2,2.17,1,1.09,0,0.0
SARC_LPS_UNSPEC,92,COX7B2,COX7B2,1,1.09,0,0.0,0,0.0,0,0.0
SARC_LPS_UNSPEC,92,MAGEA9,MAGEA9,1,1.09,0,0.0,0,0.0,0,0.0
SARC_LPS_UNSPEC,92,MAGEC1,MAGEC1,1,1.09,0,0.0,0,0.0,0,0.0
SARC_LPS_UNSPEC,92,PSG1,PSG1,1,1.09,0,0.0,0,0.0,0,0.0
SARC_LPS_UNSPEC,92,PSG11,PSG11,1,1.09,1,1.09,0,0.0,0,0.0
SARC_LPS_UNSPEC,92,SYCP3,SYCP3,1,1.09,1,1.09,0,0.0,0,0.0
SARC_LPS_UNSPEC,92,TSPY1,TSPY1,1,1.09,0,0.0,0,0.0,0,0.0
SARC_LPS_UNSPEC,92,UTF1,UTF1,1,1.09,0,0.0,0,0.0,0,0.0
SARC_LPS_UNSPEC,92,VCX,VCX,1,1.09,1,1.09,1,1.09,0,0.0
SARC_LPS_UNSPEC,92,VCY,VCY,1,1.09,1,1.09,1,1.09,1,1.09
SARC_LPS_UNSPEC,92,XAGE2,XAGE2,1,1.09,0,0.0,0,0.0,0,0.0
SARC_MYXFIB,41,MAGEA3,MAGEA3,10,24.39,6,14.63,2,4.88,0,0.0
SARC_MYXFIB,41,PAGE2,PAGE2,10,24.39,9,21.95,9,21.95,8,19.51
SARC_MYXFIB,41,PAGE5,PAGE5,10,24.39,8,19.51,8,19.51,4,9.76
SARC_MYXFIB,41,GAGE1,GAGE1,6,14.63,5,12.2,5,12.2,4,9.76
SARC_MYXFIB,41,SSX1,SSX1,6,14.63,5,12.2,2,4.88,0,0.0
SARC_MYXFIB,41,SSX2,SSX2,6,14.63,6,14.63,2,4.88,0,0.0
SARC_MYXFIB,41,XAGE1,XAGE1,6,14.63,6,14.63,5,12.2,5,12.2
SARC_MYXFIB,41,MAGEC2,MAGEC2,5,12.2,2,4.88,0,0.0,0,0.0
SARC_MYXFIB,41,MAGEA12,MAGEA12,3,7.32,0,0.0,0,0.0,0,0.0
SARC_MYXFIB,41,PRAME,PRAME,3,7.32,1,2.44,1,2.44,0,0.0
SARC_MYXFIB,41,TSPY1,TSPY1,3,7.32,0,0.0,0,0.0,0,0.0
SARC_MYXFIB,41,EGFL6,EGFL6,2,4.88,2,4.88,1,2.44,1,2.44
SARC_MYXFIB,41,MAGEA2,MAGEA2,2,4.88,2,4.88,0,0.0,0,0.0
SARC_MYXFIB,41,MAGEC1,MAGEC1,2,4.88,0,0.0,0,0.0,0,0.0
SARC_MYXFIB,41,NY-ESO-1,NY-ESO-1,2,4.88,2,4.88,2,4.88,0,0.0
SARC_MYXFIB,41,PSG5,PSG5,2,4.88,2,4.88,2,4.88,0,0.0
SARC_MYXFIB,41,PSG9,PSG9,2,4.88,1,2.44,0,0.0,0,0.0
SARC_MYXFIB,41,VCX,VCX,2,4.88,1,2.44,0,0.0,0,0.0
SARC_MYXFIB,41,COX7B2,COX7B2,1,2.44,1,2.44,0,0.0,0,0.0
SARC_MYXFIB,41,MAGEA4,MAGEA4,1,2.44,1,2.44,0,0.0,0,0.0
SARC_MYXFIB,41,MAGEB2,MAGEB2,1,2.44,0,0.0,0,0.0,0,0.0
SARC_MYXFIB,41,PAGE1,PAGE1,1,2.44,0,0.0,0,0.0,0,0.0
SARC_MYXFIB,41,PLAC1,PLAC1,1,2.44,0,0.0,0,0.0,0,0.0
SARC_MYXFIB,41,PSG1,PSG1,1,2.44,1,2.44,1,2.44,0,0.0
SARC_MYXFIB,41,SPACA3,SPACA3,1,2.44,0,0.0,0,0.0,0,0.0
SARC_MYXFIB,41,SPANXA1,SPANXA1,1,2.44,0,0.0,0,0.0,0,0.0
SARC_MYXFIB,41,SPANXB1,SPANXB1,1,2.44,1,2.44,0,0.0,0,0.0
SARC_MYXFIB,41,TSKS,TSKS,1,2.44,0,0.0,0,0.0,0,0.0
SARC_MYXFIB,41,VCX3B,VCX3B,1,2.44,0,0.0,0,0.0,0,0.0
SARC_MYXFIB,41,VCY,VCY,1,2.44,0,0.0,0,0.0,0,0.0
SARC_MYXFIB,41,XAGE2,XAGE2,1,2.44,1,2.44,0,0.0,0,0.0
SARC_SYN,50,PRAME,PRAME,47,94.0,46,92.0,38,76.0,20,40.0
SARC_SYN,50,NY-ESO-1,NY-ESO-1,32,64.0,27,54.0,22,44.0,16,32.0
SARC_SYN,50,SSX1,SSX1,30,60.0,20,40.0,2,4.0,0,0.0
SARC_SYN,50,MAGEA4,MAGEA4,15,30.0,8,16.0,5,10.0,2,4.0
SARC_SYN,50,SSX2,SSX2,13,26.0,6,12.0,0,0.0,0,0.0
SARC_SYN,50,MAGEA9,MAGEA9,8,16.0,5,10.0,2,4.0,1,2.0
SARC_SYN,50,YBX2,YBX2,8,16.0,1,2.0,0,0.0,0,0.0
SARC_SYN,50,DAZ1,DAZ1,7,14.0,7,14.0,4,8.0,1,2.0
SARC_SYN,50,CXorf49,CXorf49,6,12.0,2,4.0,0,0.0,0,0.0
SARC_SYN,50,XAGE1,XAGE1,4,8.0,3,6.0,1,2.0,1,2.0
SARC_SYN,50,BRDT,BRDT,2,4.0,0,0.0,0,0.0,0,0.0
SARC_SYN,50,MAGEA10,MAGEA10,2,4.0,0,0.0,0,0.0,0,0.0
SARC_SYN,50,CT45A1,CT45A1,1,2.0,0,0.0,0,0.0,0,0.0
SARC_SYN,50,DAZ3,DAZ3,1,2.0,0,0.0,0,0.0,0,0.0
SARC_SYN,50,EGFL6,EGFL6,1,2.0,0,0.0,0,0.0,0,0.0
SARC_SYN,50,GAGE1,GAGE1,1,2.0,1,2.0,1,2.0,1,2.0
SARC_SYN,50,HORMAD1,HORMAD1,1,2.0,0,0.0,0,0.0,0,0.0
SARC_SYN,50,MEIOB,MEIOB,1,2.0,0,0.0,0,0.0,0,0.0
SARC_SYN,50,NAA11,NAA11,1,2.0,0,0.0,0,0.0,0,0.0
SARC_SYN,50,RBMY1A1,RBMY1A1,1,2.0,1,2.0,0,0.0,0,0.0
SARC_SYN,50,TKTL1,TKTL1,1,2.0,1,2.0,1,2.0,0,0.0
SARC_UPS,110,MAGEA3,MAGEA3,30,27.27,20,18.18,7,6.36,0,0.0
SARC_UPS,110,PAGE5,PAGE5,27,24.55,25,22.73,17,15.45,11,10.0
SARC_UPS,110,PAGE2,PAGE2,21,19.09,15,13.64,13,11.82,10,9.09
SARC_UPS,110,PRAME,PRAME,13,11.82,6,5.45,4,3.64,1,0.91
SARC_UPS,110,XAGE1,XAGE1,13,11.82,12,10.91,9,8.18,6,5.45
SARC_UPS,110,GAGE1,GAGE1,12,10.91,9,8.18,5,4.55,4,3.64
SARC_UPS,110,EGFL6,EGFL6,11,10.0,8,7.27,5,4.55,3,2.73
SARC_UPS,110,SSX1,SSX1,10,9.09,6,5.45,3,2.73,0,0.0
SARC_UPS,110,SPANXB1,SPANXB1,8,7.27,2,1.82,0,0.0,0,0.0
