cancer_code,n_samples,Ensembl_Gene_ID,Symbol,n_gt25,pct_gt25,n_gt50,pct_gt50,n_gt100,pct_gt100,n_gt200,pct_gt200
LIHC,368,XAGE5,XAGE5,8,2.17,0,0.0,0,0.0,0,0.0
LIHC,368,SSX4,SSX4,6,1.63,4,1.09,0,0.0,0,0.0
LIHC,368,YBX2,YBX2,6,1.63,3,0.82,1,0.27,1,0.27
LIHC,368,MAGEA2,MAGEA2,5,1.36,1,0.27,0,0.0,0,0.0
LIHC,368,ACTL8,ACTL8,4,1.09,2,0.54,1,0.27,0,0.0
LIHC,368,MAGEA4,MAGEA4,4,1.09,3,0.82,1,0.27,0,0.0
LIHC,368,MAGEC1,MAGEC1,4,1.09,1,0.27,0,0.0,0,0.0
LIHC,368,MAGEA8,MAGEA8,3,0.82,1,0.27,0,0.0,0,0.0
LIHC,368,TKTL1,TKTL1,3,0.82,2,0.54,1,0.27,1,0.27
LIHC,368,MAGEA9,MAGEA9,2,0.54,1,0.27,1,0.27,0,0.0
LIHC,368,MEIOB,MEIOB,2,0.54,0,0.0,0,0.0,0,0.0
LIHC,368,VCX3B,VCX3B,2,0.54,1,0.27,0,0.0,0,0.0
LIHC,368,BRDT,BRDT,1,0.27,0,0.0,0,0.0,0,0.0
LIHC,368,CRISP2,CRISP2,1,0.27,1,0.27,0,0.0,0,0.0
LIHC,368,CXorf49,CXorf49,1,0.27,0,0.0,0,0.0,0,0.0
LIHC,368,DMRTB1,DMRTB1,1,0.27,0,0.0,0,0.0,0,0.0
LIHC,368,FTHL17,FTHL17,1,0.27,0,0.0,0,0.0,0,0.0
LIHC,368,LIN28B,LIN28B,1,0.27,0,0.0,0,0.0,0,0.0
LIHC,368,MAGEA10,MAGEA10,1,0.27,0,0.0,0,0.0,0,0.0
LIHC,368,NAA11,NAA11,1,0.27,0,0.0,0,0.0,0,0.0
LIHC,368,OOEP,OOEP,1,0.27,0,0.0,0,0.0,0,0.0
LIHC,368,XAGE2,XAGE2,1,0.27,1,0.27,1,0.27,0,0.0
LUAD,515,XAGE1,XAGE1,348,67.57,329,63.88,310,60.19,278,53.98
LUAD,515,MAGEA3,MAGEA3,93,18.06,74,14.37,50,9.71,15,2.91
LUAD,515,CT83,CT83,91,17.67,29,5.63,2,0.39,0,0.0
LUAD,515,PRAME,PRAME,77,14.95,43,8.35,17,3.3,5,0.97
LUAD,515,MAGEA12,MAGEA12,40,7.77,9,1.75,0,0.0,0,0.0
LUAD,515,MAGEA2,MAGEA2,37,7.18,6,1.17,0,0.0,0,0.0
LUAD,515,PAGE2,PAGE2,35,6.8,30,5.83,25,4.85,13,2.52
LUAD,515,NY-ESO-1,NY-ESO-1,33,6.41,28,5.44,14,2.72,4,0.78
LUAD,515,XAGE2,XAGE2,32,6.21,20,3.88,9,1.75,2,0.39
LUAD,515,GAGE1,GAGE1,29,5.63,27,5.24,21,4.08,17,3.3
LUAD,515,MAGEA4,MAGEA4,27,5.24,23,4.47,14,2.72,12,2.33
LUAD,515,MAGEA1,MAGEA1,23,4.47,11,2.14,0,0.0,0,0.0
LUAD,515,MAGEA9,MAGEA9,23,4.47,10,1.94,3,0.58,0,0.0
LUAD,515,HORMAD1,HORMAD1,16,3.11,4,0.78,0,0.0,0,0.0
LUAD,515,MAGEC2,MAGEC2,16,3.11,7,1.36,1,0.19,0,0.0
LUAD,515,BRDT,BRDT,14,2.72,4,0.78,1,0.19,0,0.0
LUAD,515,LRRC36,LRRC36,14,2.72,2,0.39,1,0.19,0,0.0
LUAD,515,MAGEA10,MAGEA10,14,2.72,8,1.55,1,0.19,1,0.19
LUAD,515,MAGEB2,MAGEB2,14,2.72,3,0.58,0,0.0,0,0.0
LUAD,515,COX7B2,COX7B2,13,2.52,4,0.78,0,0.0,0,0.0
LUAD,515,VCX,VCX,12,2.33,7,1.36,6,1.17,4,0.78
LUAD,515,PAGE5,PAGE5,11,2.14,11,2.14,8,1.55,2,0.39
LUAD,515,YBX2,YBX2,11,2.14,0,0.0,0,0.0,0,0.0
LUAD,515,CXorf49,CXorf49,10,1.94,5,0.97,1,0.19,0,0.0
LUAD,515,PAGE1,PAGE1,8,1.55,5,0.97,3,0.58,0,0.0
LUAD,515,SPANXB1,SPANXB1,8,1.55,6,1.17,4,0.78,2,0.39
LUAD,515,TUBA3C,TUBA3C,8,1.55,5,0.97,1,0.19,0,0.0
LUAD,515,MAGEA8,MAGEA8,7,1.36,4,0.78,0,0.0,0,0.0
LUAD,515,SPANXA1,SPANXA1,7,1.36,5,0.97,2,0.39,1,0.19
LUAD,515,TSPY1,TSPY1,7,1.36,4,0.78,4,0.78,1,0.19
LUAD,515,EGFL6,EGFL6,6,1.17,2,0.39,0,0.0,0,0.0
LUAD,515,FTHL17,FTHL17,6,1.17,2,0.39,1,0.19,0,0.0
LUAD,515,TKTL1,TKTL1,6,1.17,4,0.78,3,0.58,1,0.19
LUAD,515,CT45A1,CT45A1,5,0.97,3,0.58,0,0.0,0,0.0
LUAD,515,SSX1,SSX1,5,0.97,1,0.19,0,0.0,0,0.0
LUAD,515,CATSPERD,CATSPERD,4,0.78,1,0.19,0,0.0,0,0.0
LUAD,515,FMR1NB,FMR1NB,4,0.78,0,0.0,0,0.0,0,0.0
LUAD,515,MAGEC1,MAGEC1,4,0.78,1,0.19,0,0.0,0,0.0
LUAD,515,MEIOB,MEIOB,4,0.78,0,0.0,0,0.0,0,0.0
LUAD,515,SSX2,SSX2,4,0.78,0,0.0,0,0.0,0,0.0
LUAD,515,VCX3B,VCX3B,4,0.78,3,0.58,1,0.19,0,0.0
LUAD,515,CGB8,CGB8,3,0.58,1,0.19,1,0.19,1,0.19
LUAD,515,PASD1,PASD1,3,0.58,0,0.0,0,0.0,0,0.0
LUAD,515,PSG1,PSG1,3,0.58,2,0.39,2,0.39,2,0.39
LUAD,515,TEX19,TEX19,3,0.58,1,0.19,0,0.0,0,0.0
LUAD,515,VCY,VCY,3,0.58,3,0.58,1,0.19,1,0.19
LUAD,515,CTCFL,CTCFL,2,0.39,1,0.19,0,0.0,0,0.0
LUAD,515,DAZ1,DAZ1,2,0.39,2,0.39,1,0.19,0,0.0
LUAD,515,PSG5,PSG5,2,0.39,2,0.39,2,0.39,1,0.19
LUAD,515,SSX5,SSX5,2,0.39,0,0.0,0,0.0,0,0.0
LUAD,515,XAGE3,XAGE3,2,0.39,2,0.39,1,0.19,1,0.19
LUAD,515,ACTL8,ACTL8,1,0.19,1,0.19,0,0.0,0,0.0
LUAD,515,DCAF4L2,DCAF4L2,1,0.19,0,0.0,0,0.0,0,0.0
LUAD,515,DMRTC2,DMRTC2,1,0.19,0,0.0,0,0.0,0,0.0
LUAD,515,DPEP3,DPEP3,1,0.19,0,0.0,0,0.0,0,0.0
LUAD,515,DPPA5,DPPA5,1,0.19,0,0.0,0,0.0,0,0.0
LUAD,515,MAGEB16,MAGEB16,1,0.19,0,0.0,0,0.0,0,0.0
LUAD,515,PSG11,PSG11,1,0.19,1,0.19,1,0.19,1,0.19
LUAD,515,RBM46,RBM46,1,0.19,1,0.19,0,0.0,0,0.0
LUAD,515,SPACA3,SPACA3,1,0.19,0,0.0,0,0.0,0,0.0
LUAD,515,SSX4,SSX4,1,0.19,0,0.0,0,0.0,0,0.0
LUSC,498,PRAME,PRAME,257,51.61,140,28.11,54,10.84,11,2.21
