cohort,PRAME,RGPD4,TUBA3C,CTAG1A,CTAG1B,DPPA5,SPATA4,CT47B1,TRIML2,ZPBP,GOLGA6L6,LRRC36,CTAGE9,RNF148,DPEP3,ODF4,CTAGE1,TEX35,SPACA3,DCAF4L2,C12orf42,ACTL8,SPATA32,DMRTB1,GOLGA6A,EGFL6,PHF7,TEX14,YBX2,ZC3H11B
Embryonal Rhabdomyosarcoma [SARC_RMS_ERMS] (n=95),55.97739,0.012952,0.0,0.0,0.0,0.0,0.027736,0.0,0.0,0.0,0.0,0.236579,0.0,0.0,0.023461,0.0,0.0,0.0,0.0,0.0,0.029604,0.0,0.015207,0.0,0.048498,0.400673,3.014069,0.922661,0.254291,0.072725
Neuroblastoma MYCN-amplified [NBL_MYCNamp] (n=33),62.715442,0.331901,0.0,0.0,0.0,0.0,0.124298,0.0,0.0,0.0,0.0,0.640002,0.0,0.0,0.072627,0.0,0.018336,0.0,0.047537,0.0,0.02433,0.156521,0.235228,0.0,0.0,0.703405,4.470287,0.867337,0.052262,0.48427
Angiosarcoma [SARC_ANGIO] (n=20),92.220689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.236114,0.0,0.0,0.208876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092128,1.027084,5.634638,0.161367,0.332297,0.0
Uterine Corpus Endometrial Carcinoma [UCEC] (n=181),64.116219,0.0,0.0,0.0,0.0,0.0,0.027524,0.0,0.0,0.0,0.0,0.386642,0.0,0.020047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.070462,0.037574,0.0,0.0,1.383496,2.011292,0.116362,1.133943,0.011283
Neuroblastoma [NBL] (n=155),35.963048,0.369915,0.0,0.0,0.0,0.0,0.270955,0.0,0.0,0.0,0.0,1.623879,0.0,0.0,0.164667,0.0,0.014062,0.0,0.044209,0.01823,0.060385,0.090688,0.283835,0.0,0.006447,0.76114,4.782162,1.691651,0.080262,0.3607
Uterine Carcinosarcoma [UCS] (n=57),118.077826,0.0,0.0,0.0,0.0,0.0,0.052579,0.0,0.0,0.0,0.0,0.397428,0.0,0.0,0.0,0.0,0.0,0.0,0.034571,0.0,0.022817,0.192533,0.021668,0.0,0.0,4.504196,1.362342,0.390608,3.879714,0.022549
Adenoid Cystic Carcinoma [ADCC] (n=123),22.475021,0.0,0.0,0.0,0.0,0.0,0.055912,0.0,0.0,0.008743,0.0,0.100004,0.0,0.01253,0.020479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015565,0.0,0.006335,0.299547,3.123316,0.193482,1.480112,0.051486
Skin Cutaneous Melanoma [SKCM] (n=469),164.614445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.244694,0.0,0.022708,0.012544,0.0,0.0,0.0,0.025151,0.0,0.021881,0.009927,0.0,0.0,0.0,0.238977,3.660011,0.161254,0.194729,0.044306
Rhabdoid Tumor [RT] (n=63),41.992045,0.106126,0.0,0.0,0.0,0.0,0.07618,0.0,0.0,0.0,0.0,0.072939,0.0,0.0,0.068716,0.0,0.017582,0.0,0.0,0.0,0.007918,0.069648,0.074294,0.0,0.0,0.942876,2.109238,0.166992,2.940758,0.369274
Neuroblastoma MYCN-non-amplified [NBL_MYCNnonamp] (n=122),35.006311,0.380336,0.0,0.0,0.0,0.0,0.319415,0.0,0.0,0.0,0.0,2.233059,0.0,0.0,0.190435,0.0,0.01336,0.0,0.044137,0.01882,0.075823,0.084259,0.306241,0.0,0.016251,0.788958,5.140649,2.102901,0.094171,0.335734
Wilms Tumor / Nephroblastoma [WILMS] (n=125),34.03847,0.260719,0.0,0.0,0.0,0.0,0.269129,0.0,0.0,0.034924,0.0,0.544904,0.083948,0.0,0.030837,0.0,0.013165,0.0,0.139049,0.0,0.042119,0.070641,0.123247,0.077802,0.0,1.923754,2.114717,0.327471,4.452037,0.598485
Ovarian Serous Cystadenocarcinoma [OV] (n=426),24.695706,0.0,0.0,0.0,0.0,0.0,0.047874,0.0,0.0,0.0,0.0,0.391372,0.0,0.0,0.032557,0.0,0.0,0.0,0.0,0.0,0.0,0.058319,0.067224,0.0,0.026179,5.651277,1.867778,0.126988,3.7078,0.030556
Small Cell Lung Cancer — SCLC POU2F3-dominant [SCLC_POU2F3] (n=10),107.866703,0.067641,0.0,0.0,,0.0,0.026892,0.0,0.0,0.0,0.0,0.728086,0.0,0.0,0.033141,0.0,0.0,,0.0,0.0,0.078048,0.004157,,0.0,0.0,5.869503,3.624695,0.311935,0.787552,
Uveal Melanoma [UVM] (n=79),0.539569,0.0,0.0,0.0,0.0,0.0,0.116853,0.0,0.0,0.0,0.0,0.036175,0.0,0.0,0.017495,0.0,0.0,0.0,0.0,0.0,0.0,0.015847,0.0,0.0,0.0,0.0,2.613127,0.14765,0.528589,0.0
Alveolar Rhabdomyosarcoma [SARC_RMS_ARMS] (n=73),0.188215,0.0,0.0,0.0,0.0,0.0,0.041557,0.0,0.0,0.0,0.0,0.421005,0.0,0.0,0.02802,0.0,0.0,0.0,0.0,0.0,0.144814,0.0,0.025272,0.0,0.042605,0.193289,3.501859,6.437443,0.041728,0.047783
Breast Invasive Carcinoma — HER2-enriched [BRCA_HER2] (n=77),0.145752,0.0,0.0,0.0,0.0,0.0,0.019454,0.0,0.0,0.0,0.0,0.208172,0.0,0.15828,0.010561,0.0,0.0,0.0,0.0,0.0,0.0,0.055662,0.04714,0.0,0.0,1.470806,2.728019,0.144042,3.857506,0.039317
Adrenocortical Carcinoma [ACC] (n=77),0.021746,0.0,0.0,0.0,0.0,0.0,0.026584,0.0,0.0,0.0,0.0,0.17333,0.0,0.055308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.518707,0.098878,0.103438,0.023102
Medulloblastoma SHH [MBL_SHH] (n=25),0.161643,0.0,0.0,0.0,0.0,0.0,0.009271,0.0,0.0,0.0,0.0,0.027628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009146,0.0,0.239899,0.00956,0.0,0.00927
Mesothelioma [MESO] (n=87),0.011431,0.0,0.0,0.0,0.0,0.0,0.054806,0.0,0.024551,0.0,0.0,0.309636,0.0,0.070923,0.026688,0.0,0.009966,0.0,0.135589,0.0,0.011265,0.0,0.030011,0.0,0.023299,1.472941,1.350955,0.146074,0.204724,0.021099
Liposarcoma (Unspecified / Aggregate) [SARC_LPS_UNSPEC] (n=92),0.0102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32241,0.0,0.031057,0.029921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79617,2.875423,0.102147,0.065202,0.034804
