cohort,MAGEA3,MAGEA6,PRAME,XAGE1B,MAGEA4,XAGE1A,MAGEA12,EGFL6,MAGEC2,MAGEA9B,PAGE2B,PHF7,MAGEA2,PAGE5,COX7B2,MAGEC1,CTCFL,YBX2,CT83,PAGE2,TULP2,H1-6,SYCP3,ADAM29,CGB8,PIWIL1,SYCE2,MAGEA1,SMC1B,LIN28B
Cervical Squamous / Adenocarcinoma [CESC] (n=306),0.16401,0.108009,9.383736,0.0,0.787397,0.0,0.01161,7.072867,0.010563,0.030079,0.347127,4.242391,0.02154,0.097917,0.0,0.0,7.910729,21.410422,0.198978,0.093203,0.052885,0.116499,0.531429,0.009882,0.712288,0.099473,8.038316,0.0285,8.400353,0.0
Colon Adenocarcinoma [COAD] (n=290),0.058024,0.038526,2.3905,0.052895,0.006359,0.0,0.022414,2.798031,0.0,0.023392,0.17334,5.804606,0.024345,0.145544,0.0,0.0,0.021583,20.32412,0.0,0.00967,0.061871,0.0,0.308297,0.011032,0.089577,1.927759,1.002517,0.0,0.053939,0.0
Kidney Renal Papillary [KIRP] (n=289),0.0,0.0,17.87274,0.0,0.0,0.0,0.0,0.071593,0.0,0.0,0.184328,7.640959,0.0,0.178681,0.0,0.0,0.011196,4.5365,0.0,0.0,0.068674,0.0,0.779583,0.011837,0.0,0.020106,0.882941,0.0,0.04182,0.0
T-cell Acute Lymphoblastic Leukemia [T_ALL] (n=264),0.0,0.0,0.279281,0.0,0.0,0.0,0.0,0.03946,0.0,0.0,0.534449,15.42104,0.0,0.282574,0.0,0.0,0.035334,0.48868,0.0,0.0,11.447555,11.397488,4.764167,0.0,0.0,0.030332,6.255157,0.0,1.059814,0.028894
Osteosarcoma [SARC_OS] (n=262),39.445267,30.482913,45.690278,36.146195,0.276288,16.530775,13.229255,40.268151,1.961977,0.198017,32.884222,6.860177,11.214122,24.503777,0.185852,0.341445,0.136687,0.379357,0.0,12.285762,0.15142,0.202168,0.4617,0.421503,0.044188,0.074496,2.805858,1.604345,0.853507,0.043604
Acute Myeloid Leukemia — AML ELN2017 Favorable [LAML_ELNfav] (n=238),0.0,0.0,7.139939,0.0,0.0,0.0,0.0,0.049276,0.0,0.0,1.040403,30.041771,0.0,0.0,0.0,0.0,0.009526,0.126764,0.0,0.101897,1.721579,0.482096,1.583767,0.0,0.0,0.0,8.960421,0.0,1.064224,0.0
Breast Invasive Carcinoma — Luminal B [BRCA_LumB] (n=199),0.080706,0.08191,25.667355,0.100936,0.033528,0.059544,0.05336,2.951719,0.061806,0.040749,0.250376,9.126437,0.01066,0.153095,0.0,0.074397,0.010425,16.817213,0.0,0.149567,0.061948,0.205762,0.309116,0.079303,0.0,0.046049,2.888521,0.430859,0.669892,0.0
Acute Myeloid Leukemia — AML ELN2017 Adverse [LAML_ELNadv] (n=189),0.0,0.0,7.532652,0.0,0.0,0.0,0.0,0.086099,0.0,0.0,1.068721,23.197399,0.0,0.245749,0.0,0.0,0.011699,0.349272,0.0,0.123395,1.617864,0.417783,1.206067,0.012275,0.0,0.006915,6.625805,0.0,2.119111,0.0
Burkitt Lymphoma [BL] (n=184),0.0,0.0,0.575995,0.0,0.0,0.0,0.0,2.561047,0.0,0.0,0.109329,10.091351,0.0,0.0,0.0,0.0,1.226582,0.177574,0.0,0.0,0.706532,3.313587,5.253758,1.575269,0.0,0.047363,5.854786,0.0,2.369056,8.078606
Esophageal Carcinoma [ESCA] (n=182),41.315004,33.824809,17.717226,0.060941,10.838133,0.038176,2.941645,9.553927,0.035087,1.393963,0.136094,5.253173,7.846537,0.076096,0.049666,0.050517,0.061701,10.063805,14.994749,0.066827,0.113665,0.165508,1.618702,0.011622,0.640824,1.0732,1.352119,1.413394,0.574646,0.061276
Pheochromocytoma and Paraganglioma [PCPG] (n=182),0.021657,0.034451,0.032104,0.056376,0.0,0.0,0.015318,0.140254,0.032242,0.0,0.207681,6.871729,0.0,0.0,0.0,0.0,0.020555,0.339597,0.0,0.071313,0.059448,0.0,0.65574,0.189992,0.0,0.080643,1.400921,0.063366,0.037944,0.735962
Uterine Corpus Endometrial Carcinoma [UCEC] (n=181),0.065134,0.066105,234.599967,0.065787,0.203261,0.0231,0.030957,10.634285,0.058588,0.378443,0.373437,4.537088,0.07844,0.10615,0.0,0.023246,0.753678,13.035705,0.0,0.293364,0.08593,0.117328,0.536093,0.011425,0.105443,0.278243,3.254782,0.033842,0.511142,0.812888
Pancreatic Adenocarcinoma [PAAD] (n=179),0.0,0.0,0.793839,0.200097,0.0,0.114023,0.023646,2.770307,0.0,0.0,0.193136,4.285963,0.0,0.142445,0.0,0.0,0.011057,0.823368,0.447103,0.061937,0.119491,0.093651,0.479681,0.055617,9.350776,0.537163,0.85428,0.0,0.065818,0.0
