cancer_code,n_samples,Ensembl_Gene_ID,Symbol,n_gt25,pct_gt25,n_gt50,pct_gt50,n_p90,pct_p90,n_p95,pct_p95
THYM,119,ENSG00000123584,MAGEA9/MAGEA9B,1,0.84,1,0.84,1,0.84,1,0.84
THYM,119,ENSG00000124260,MAGEA10,1,0.84,0,0.0,1,0.84,0,0.0
THYM,119,ENSG00000131126,TEX101,1,0.84,0,0.0,1,0.84,0,0.0
THYM,119,ENSG00000162039,MEIOB,1,0.84,1,0.84,1,0.84,1,0.84
THYM,119,ENSG00000189064,GAGE2A,1,0.84,0,0.0,1,0.84,1,0.84
THYM,119,ENSG00000198681,MAGEA1,1,0.84,0,0.0,1,0.84,0,0.0
THYM,119,ENSG00000233056,ERVH48-1,1,0.84,0,0.0,2,1.68,0,0.0
THYM,119,ENSG00000269586,CT45A10,1,0.84,0,0.0,1,0.84,1,0.84
THYM,119,ENSG00000274274,GAGE13,1,0.84,1,0.84,1,0.84,1,0.84
THYM,119,ENSG00000161860,SYCE2,0,0.0,0,0.0,1,0.84,0,0.0
UCEC,181,ENSG00000185686,PRAME,169,93.37,141,77.9,175,96.69,153,84.53
UCEC,181,ENSG00000198759,EGFL6,19,10.5,6,3.31,26,14.36,7,3.87
UCEC,181,ENSG00000123584,MAGEA9/MAGEA9B,14,7.73,8,4.42,18,9.94,11,6.08
UCEC,181,ENSG00000006047,YBX2,13,7.18,3,1.66,28,15.47,3,1.66
UCEC,181,ENSG00000147381,MAGEA4,10,5.52,6,3.31,12,6.63,8,4.42
UCEC,181,ENSG00000155622,XAGE2,9,4.97,2,1.1,17,9.39,2,1.1
UCEC,181,ENSG00000197172,MAGEA6,9,4.97,4,2.21,14,7.73,6,3.31
UCEC,181,ENSG00000204379,XAGE1A/B,9,4.97,9,4.97,9,4.97,9,4.97
UCEC,181,ENSG00000124092,CTCFL,8,4.42,3,1.66,14,7.73,3,1.66
UCEC,181,ENSG00000184033,CTAG1A/B,8,4.42,8,4.42,9,4.97,8,4.42
UCEC,181,ENSG00000189064,GAGE2A,8,4.42,7,3.87,10,5.52,7,3.87
UCEC,181,ENSG00000234068,PAGE2,8,4.42,7,3.87,10,5.52,8,4.42
UCEC,181,ENSG00000007350,TKTL1,7,3.87,4,2.21,9,4.97,4,2.21
UCEC,181,ENSG00000198681,MAGEA1,7,3.87,1,0.55,8,4.42,1,0.55
UCEC,181,ENSG00000221867,MAGEA3,7,3.87,4,2.21,10,5.52,6,3.31
UCEC,181,ENSG00000269586,CT45A10,7,3.87,1,0.55,8,4.42,4,2.21
UCEC,181,ENSG00000117148,ACTL8,6,3.31,3,1.66,8,4.42,4,2.21
UCEC,181,ENSG00000238269,PAGE2B,6,3.31,2,1.1,6,3.31,4,2.21
UCEC,181,ENSG00000174898,CATSPERD,5,2.76,2,1.1,8,4.42,2,1.1
UCEC,181,ENSG00000205777,GAGE1,5,2.76,5,2.76,8,4.42,5,2.76
UCEC,181,ENSG00000274274,GAGE13,5,2.76,5,2.76,7,3.87,6,3.31
UCEC,181,ENSG00000156009,MAGEA8,4,2.21,3,1.66,6,3.31,2,1.1
UCEC,181,ENSG00000224659,GAGE12J,4,2.21,2,1.1,5,2.76,3,1.66
UCEC,181,ENSG00000268009,SSX4/SSX4B,4,2.21,3,1.66,6,3.31,3,1.66
UCEC,181,ENSG00000158639,PAGE5,3,1.66,2,1.1,4,2.21,2,1.1
UCEC,181,ENSG00000159708,LRRC36,3,1.66,0,0.0,4,2.21,1,0.55
UCEC,181,ENSG00000170516,COX7B2,3,1.66,0,0.0,4,2.21,1,0.55
UCEC,181,ENSG00000183305,MAGEA2/MAGEA2B,3,1.66,1,0.55,5,2.76,1,0.55
UCEC,181,ENSG00000215113,CXorf49/CXorf49B,3,1.66,1,0.55,4,2.21,1,0.55
UCEC,181,ENSG00000099399,MAGEB2,2,1.1,1,0.55,4,2.21,1,0.55
UCEC,181,ENSG00000124260,MAGEA10,2,1.1,0,0.0,3,1.66,0,0.0
UCEC,181,ENSG00000163530,DPPA2,2,1.1,1,0.55,6,3.31,1,0.55
UCEC,181,ENSG00000166049,PASD1,2,1.1,0,0.0,2,1.1,0,0.0
UCEC,181,ENSG00000169059,VCX3A,2,1.1,2,1.1,2,1.1,2,1.1
UCEC,181,ENSG00000170965,PLAC1,2,1.1,0,0.0,3,1.66,0,0.0
UCEC,181,ENSG00000171402,XAGE3,2,1.1,1,0.55,2,1.1,1,0.55
UCEC,181,ENSG00000182583,VCX,2,1.1,2,1.1,2,1.1,2,1.1
UCEC,181,ENSG00000213401,MAGEA12,2,1.1,0,0.0,3,1.66,0,0.0
UCEC,181,ENSG00000216649,GAGE12C/D/E,2,1.1,2,1.1,3,1.66,2,1.1
UCEC,181,ENSG00000224902,GAGE12H,2,1.1,2,1.1,2,1.1,2,1.1
UCEC,181,ENSG00000241476,SSX2/SSX2B,2,1.1,2,1.1,2,1.1,2,1.1
UCEC,181,ENSG00000046774,MAGEC2,1,0.55,1,0.55,2,1.1,1,0.55
UCEC,181,ENSG00000124490,CRISP2,1,0.55,0,0.0,1,0.55,0,0.0
UCEC,181,ENSG00000132446,FTHL17,1,0.55,0,0.0,1,0.55,0,0.0
UCEC,181,ENSG00000141096,DPEP3,1,0.55,1,0.55,1,0.55,1,0.55
UCEC,181,ENSG00000155495,MAGEC1,1,0.55,0,0.0,2,1.1,0,0.0
UCEC,181,ENSG00000161860,SYCE2,1,0.55,0,0.0,2,1.1,0,0.0
UCEC,181,ENSG00000183668,PSG9,1,0.55,1,0.55,1,0.55,1,0.55
UCEC,181,ENSG00000205642,VCX3B,1,0.55,0,0.0,1,0.55,1,0.55
UCEC,181,ENSG00000006659,LGALS14,0,0.0,0,0.0,1,0.55,0,0.0
UCEC,181,ENSG00000068985,PAGE1,0,0.0,0,0.0,1,0.55,0,0.0
UCEC,181,ENSG00000126467,TSKS,0,0.0,0,0.0,1,0.55,1,0.55
UCEC,181,ENSG00000143452,HORMAD1,0,0.0,0,0.0,1,0.55,0,0.0
UCEC,181,ENSG00000156269,NAA11,0,0.0,0,0.0,1,0.55,0,0.0
UCEC,181,ENSG00000162039,MEIOB,0,0.0,0,0.0,1,0.55,0,0.0
UCEC,181,ENSG00000169551,CT55,0,0.0,0,0.0,1,0.55,0,0.0
UCEC,181,ENSG00000171794,UTF1,0,0.0,0,0.0,1,0.55,0,0.0
UCEC,181,ENSG00000181433,SAGE1,0,0.0,0,0.0,1,0.55,0,0.0
UCEC,181,ENSG00000198870,STKLD1,0,0.0,0,0.0,1,0.55,0,0.0
UCEC_CNH,85,ENSG00000185686,PRAME,81,95.29,67,78.82,84,98.82,75,88.24
UCEC_CNH,85,ENSG00000198759,EGFL6,16,18.82,4,4.71,23,27.06,5,5.88
UCEC_CNH,85,ENSG00000006047,YBX2,12,14.12,3,3.53,22,25.88,3,3.53
UCEC_CNH,85,ENSG00000123584,MAGEA9/MAGEA9B,11,12.94,6,7.06,15,17.65,9,10.59
UCEC_CNH,85,ENSG00000147381,MAGEA4,8,9.41,4,4.71,10,11.76,6,7.06
UCEC_CNH,85,ENSG00000155622,XAGE2,7,8.24,2,2.35,14,16.47,2,2.35
