cancer_code,cohort,n_samples,cta,q1,median,q3
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,EGFL6,2.370625,4.233627,7.387386
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,FATE1,0.061423,0.148491,0.282905
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,HORMAD1,0.039492,0.187965,2.562846
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,LIN28B,0.0,0.012453,0.171956
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,LRRC36,0.068732,0.13804,0.290359
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,MAGEA1,0.0,0.022927,0.701859
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,MAGEA12,0.0,0.0246,6.990229
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,MAGEA2,0.0,0.034408,6.027952
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,MAGEA3,0.012091,0.636386,51.732419
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,MAGEA4,0.0,0.128957,9.39764
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,MAGEA6,0.0,0.326318,42.604673
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,MAGEA9B,0.015432,0.984735,26.491009
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,MAGEC1,0.0,0.0,0.044983
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,MAGEC2,0.0,0.0,0.210764
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,PAGE2,0.0,0.0,0.171154
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,PAGE2B,0.0,0.111449,0.346027
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,PAGE5,0.0,0.255833,0.782394
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,PHF7,3.035466,4.433453,6.342905
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,PIWIL1,0.0,0.011867,0.050688
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,PRAME,0.013231,0.120715,5.441397
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,RNF148,0.023665,0.061808,0.121427
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,SMC1B,0.070406,0.316664,0.891965
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,SPATA32,0.056725,0.126994,0.244245
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,SPATA4,0.0,0.01224,0.065415
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,SSX1,0.0,0.0,0.036433
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,STKLD1,0.586556,1.053297,1.944328
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,SYCE2,0.466623,0.875774,1.553646
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,SYCP3,0.122102,0.314879,0.673016
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,TEX14,0.107229,0.236351,0.431617
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,TMEM210,0.0,0.0,0.0
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,TSPYL6,0.0,0.0,0.012163
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,TULP2,0.0,0.038024,0.098027
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,WDR64,0.0,0.011597,0.047392
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,XAGE1A,0.0,0.0,0.1061
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,XAGE1B,0.0,0.0,0.152804
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,YBX2,0.147353,0.408732,1.45997
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,ZC3H11B,0.011539,0.036218,0.068332
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,ADAM29,0.0,0.022306,0.086869
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,AKNAD1,0.159299,0.328282,0.585439
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,ANKRD7,0.048633,0.117729,0.29681
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,C12orf42,0.0,0.068426,0.174172
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,C1orf94,0.0,0.0,0.012111
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,CAGE1,0.0,0.022576,0.049651
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,CGB8,0.0,0.0,0.0
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,COX7B2,0.0,0.0,0.0
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,CTCFL,0.0,0.0,0.012046
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,DPEP3,0.011934,0.036849,0.08394
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,EGFL6,0.897412,1.778569,3.823505
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,FATE1,0.058376,0.128852,0.249818
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,HORMAD1,0.040847,0.110055,0.317189
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,LIN28B,0.0,0.0,0.0
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,LRRC36,0.283669,0.519118,0.91611
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,MAGEA1,0.0,0.0,0.118319
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,MAGEA12,0.0,0.0,0.026075
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,MAGEA2,0.0,0.0,0.00397
