cohort,DPPA5,PRAME,CTAG1B,CTAG1A,XAGE1A,XAGE1B,PAGE5,EGFL6,FKBP6,MAGEA3,MAGEA6,OOEP,RGPD4,MAGEA4,CT47B1,TRIML2,UTF1,SPATA4,GOLGA6L6,SSX1,MAGEA2,MAGEA12,MAGEA10,LRRC36,CTAGE9,MAGEB2,SYCP3,RIMBP3,ZPBP,DPPA2
Testicular Germ Cell Tumors [TGCT] (n=154),854.854457,172.645875,0.964757,0.768141,37.609932,23.272659,4.326825,6.434774,2.022692,0.938779,0.712195,52.198582,0.02331,6.880189,0.045811,94.713764,94.22164,0.269866,0.03442,0.235461,0.559611,0.292299,0.477086,1.645757,0.0,60.336895,53.553696,0.332498,0.252621,50.838759
Small Cell Lung Cancer — SCLC POU2F3-dominant [SCLC_POU2F3] (n=10),0.067906,712.097901,,0.0,,,0.086775,27.000002,0.29588,8.726367,3.860629,0.63903,0.154023,0.521959,0.0,0.0,0.043263,0.132394,0.007161,0.0,0.0,0.696715,0.067338,1.566989,0.022621,0.02945,2.765684,0.054672,0.040262,0.018873
Neuroblastoma MYCN-amplified [NBL_MYCN_amp] (n=33),0.0,605.421205,0.0,0.0,0.0,0.043159,98.418799,4.173855,0.09948,1.484308,1.587812,0.193461,0.870817,1.164799,0.0,0.031,0.152092,0.538451,0.0,0.065257,0.077145,2.463367,1.430025,2.804276,0.0,0.144002,0.604388,0.959589,0.026109,0.044042
Neuroblastoma [NBL] (n=155),0.114309,575.295125,0.032267,0.105829,0.125454,0.144449,240.770828,3.960926,0.13115,1.523716,1.655933,0.558516,1.189227,2.462039,0.0,0.04473,0.241836,0.867995,0.004526,0.148113,0.052718,1.664584,44.113803,5.943781,0.044875,0.236943,0.707853,0.772719,0.095781,0.043868
Neuroblastoma MYCN-non-amplified [NBL_MYCN_nonamp] (n=122),0.122939,569.424137,0.067737,0.171211,0.162507,0.194503,306.929606,3.814952,0.151681,1.500276,1.660214,0.669668,1.275377,5.053853,0.0,0.054506,0.269877,0.970555,0.017748,0.205847,0.046989,1.51893,73.633882,6.414719,0.052509,0.412169,0.750178,0.744936,0.116441,0.043495
Myxoid Liposarcoma [SARC_MYXLPS] (n=28),,236.69713,551.809658,551.809658,36.770285,36.770285,,295.06919,14.321405,6.99034,6.99034,,108.199964,3.199837,,,5.009255,,,14.71433,3.165199,4.532933,9.71464,47.611666,29.290198,5.065968,,,8.404098,
Lung Adenocarcinoma — EGFR-mutant LUAD [LUAD_EGFR] (n=67),0.0,17.025723,0.057172,0.034057,551.009936,320.392706,0.255315,10.991237,0.172678,0.524781,0.357948,0.253966,0.033974,0.048115,0.0,0.033839,0.045037,0.618582,0.0,0.022661,0.041711,0.08593,0.089341,11.004752,0.136446,0.03472,0.422035,0.943464,0.05519,0.0
Lung Adenocarcinoma — KRAS-mutant LUAD [LUAD_KRAS] (n=153),0.0,12.052591,0.011543,0.011235,549.640942,440.892628,0.15447,11.948667,0.126703,0.095582,0.055078,0.513232,0.012841,0.034181,0.0,0.022323,0.045123,0.477968,0.0,0.0,0.0249,0.035444,0.01191,2.083613,0.094323,0.014242,0.349956,0.490091,0.023092,0.0
Skin Cutaneous Melanoma [SKCM] (n=469),0.0,518.297345,0.344438,0.344438,105.071458,48.029484,20.143559,1.282795,0.129936,80.931285,70.091311,0.246665,0.011844,0.814048,0.0,0.211981,0.028347,0.136415,0.0,4.718928,29.326911,45.137852,3.255925,1.034412,0.0,0.279389,0.44817,0.620848,0.0,0.0
Lung Adenocarcinoma [LUAD] (n=515),0.0,16.898578,0.034778,0.024961,508.668151,390.81577,0.183806,12.375423,0.144507,1.917969,1.086945,0.595992,0.01379,0.068718,0.0,0.033684,0.044303,0.516201,0.0,0.017254,0.158103,0.126794,0.057294,3.022976,0.08391,0.047395,0.387158,0.539108,0.024112,0.0
Wilms Tumor / Nephroblastoma [WILMS] (n=125),0.244864,469.660297,0.0,0.0,0.0,0.0,0.093694,14.32118,0.114662,0.0,0.0,0.099635,0.651969,0.0,0.0,0.057725,2.059318,0.837267,0.011864,0.087998,0.0,0.031369,0.022575,1.200706,0.335143,0.032876,0.631133,0.433263,0.235033,2.463377
