,ORR,TMB,logTMB,CTA,viral,indel,exclusion,antigen,pred,resid
BLCA,28.6,7.1,0.8512583487190752,0,0.0,0.0,-0.020402946189013813,-0.2908716635226686,19.073784094405323,9.526215905594679
BRCA_Basal,5.0,1.8,0.25527250510330607,3,0.0,0.0,0.41585178993996263,-0.1793420103755881,5.767942318697166,-0.7679423186971661
CESC,15.0,5.0,0.6989700043360189,2,1.0,0.0,-0.24891298081046198,0.7488706646694827,24.388904160655187,-9.388904160655187
CHOL,6.0,2.0,0.3010299956639812,0,0.0,0.0,0.3471656178422353,-0.5937362389925426,6.583939460543311,-0.583939460543311
COAD,5.0,3.1,0.4913616938342727,1,0.0,0.0,0.3097187785034168,-0.34244423057947615,9.918635596269985,-4.918635596269985
COAD_MSI,45.0,46.0,1.662757831681574,2,0.0,2.0,-0.24825832774167356,1.1551018496972216,47.18175064995839,-2.1817506499583885
COAD_MSS,0.0,3.1,0.4913616938342727,1,0.0,0.0,0.4479934680719366,-0.34244423057947615,8.015074395275873,-8.015074395275873
ESCA,18.0,4.0,0.6020599913279624,1,0.0,0.0,0.2781083917993,-0.28151208724387605,11.848553956840778,6.151446043159222
GBM,8.0,2.2,0.3424226808222063,0,0.0,0.0,0.27204307247135767,-0.5709522840247608,8.177038717613723,-0.1770387176137227
HL,71.0,2.0,0.3010299956639812,0,0.5,0.0,-2.7791982963280293,-0.17847961585082422,51.48678148932848,19.51321851067152
HNSC,19.0,3.9,0.5910646070264992,0,0.0,0.0,-0.31995909473966333,-0.43409123168939584,19.684247063586085,-0.6842470635860849
HNSC_HPVneg,16.0,4.6,0.6627578316815741,0,0.0,0.0,-0.2950700214730822,-0.39462881953149054,20.309681039204975,-4.309681039204975
HNSC_HPVpos,24.0,2.8,0.4471580313422192,2,1.0,0.0,-0.5526570965628202,0.6102647097499584,25.17019944881558,-1.1701994488155805
KICH,10.0,0.7,-0.1549019599857432,3,0.0,0.0,-0.28573186558150904,-0.4051161177039663,9.887742861994216,0.11225713800578418
KIRC,25.0,1.9,0.2787536009528289,0,0.0,2.0,0.11267559605940052,0.10024459182250739,23.026520645380312,1.9734793546196876
KIRP,25.0,1.3,0.11394335230683679,2,0.0,2.0,-0.7273264815968873,0.3025811877340696,32.86329028113969,-7.86329028113969
LIHC,17.0,4.0,0.6020599913279624,0,0.5,0.0,-1.1694212630754162,-0.012782371544439383,33.39054706477565,-16.390547064775653
LUAD,19.0,8.1,0.9084850188786497,3,0.0,0.0,0.2744159047729794,0.18020858271493112,16.535316804417043,2.464683195582957
LUAD_STK11,10.0,8.1,0.9084850188786497,4,0.0,0.0,0.032133888351923684,0.32673549015721276,20.119841357662196,-10.119841357662196
LUSC,20.0,9.9,0.9956351945975499,3,0.0,0.0,0.042782405754337366,0.2281790313926036,20.900888163194494,-0.9008881631944945
MESO,10.0,1.8,0.25527250510330607,0,0.0,0.0,0.4694714339522168,-0.6189227327024333,4.282353049447972,5.717646950552028
NPC,25.0,0.95,-0.022276394711152253,1,1.0,0.0,-0.04241301348033325,0.20534497800448698,11.558021240572938,13.441978759427062
OV,8.0,1.7,0.2304489213782739,4,0.0,0.0,0.20107726823734262,-0.04647885563666804,8.638592850473593,-0.6385928504735929
PAAD,1.0,2.1,0.3222192947339193,0,0.0,0.0,1.1574276120671148,-0.5820729213323593,-4.284430024453341,5.284430024453341
PRAD,4.0,0.7,-0.1549019599857432,1,0.0,0.0,1.1439117276539645,-0.6981699325885298,-10.291762378088803,14.291762378088803
READ,5.0,3.1,0.4913616938342727,1,0.0,0.0,0.5879821290835425,-0.34244423057947615,6.087917773103442,-1.0879177731034417
READ_MSI,45.0,46.0,1.662757831681574,7,0.0,2.0,0.3479074159424671,1.8877363869086303,40.22034568439467,4.7796543156053275
READ_MSS,0.0,3.1,0.4913616938342727,1,0.0,0.0,0.6160926652184029,-0.34244423057947615,5.700933531139571,-5.700933531139571
SCLC,13.0,8.6,0.9344984512435677,3,0.0,0.0,1.1582735760770926,0.19452726895850658,4.718931021904583,8.281068978095417
SKCM,42.0,12.9,1.110589710299249,6,0.0,0.0,-0.577174973734391,0.7310346656774189,31.73520172433387,10.26479827566613
STAD,12.0,5.0,0.6989700043360189,1,0.5,1.0,0.3427600930975934,0.5402083957041597,20.888421745808465,-8.888421745808465
UVM,4.0,0.34,-0.46852108295774486,1,0.0,0.0,-0.5611405221681464,-0.8707966647639231,8.946089835076323,-4.946089835076323
UCEC_MSI,50.0,18.0,1.255272505103306,1,0.0,2.0,-0.3088058664918594,0.7842810290839972,42.263881866222754,7.736118133777246
UCEC_CNL,6.0,2.5,0.3979400086720376,1,0.0,0.0,-0.07759843092225079,-0.39386673336262057,13.989177327103809,-7.989177327103809
UCEC_CNH,6.0,2.8,0.4471580313422192,3,0.0,0.0,-0.34372165400105303,-0.07372162909119664,18.815645183201887,-12.815645183201887
