category,n_samples,n_available,normalization,Ensembl_Gene_ID,Symbol,n_gt25,pct_gt25,n_gt50,pct_gt50,n_p90,n_available_p90,pct_p90,n_p95,n_available_p95,pct_p95,source_cancer_codes
adrenal,259,259,tpm_clean,ENSG00000006047,YBX2,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000006659,LGALS14,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000007350,TKTL1,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000010318,PHF7,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000042813,ZPBP,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000046774,MAGEC2,6,2.32,4,1.54,4,259,1.54,2,259,0.77,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000054796,SPO11,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000068985,PAGE1,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000077800,FKBP6,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000077935,SMC1B,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000092345,DAZL,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000095627,TDRD1,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000099399,MAGEB2,5,1.93,4,1.54,4,259,1.54,2,259,0.77,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000102021,LUZP4,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000103023,PRSS54,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000104755,ADAM2,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000104804,TULP2,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000104818,CGB2,1,0.39,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000104901,DKKL1,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000105198,LGALS13,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000106013,ANKRD7,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000106304,SPAM1,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000114487,MORC1,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000117148,ACTL8,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000118434,SPACA1,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000118491,ZC2HC1B,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000121101,TEX14,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000122304,PRM2,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000123576,ESX1,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000123584,MAGEA9/MAGEA9B,2,0.77,2,0.77,2,259,0.77,1,259,0.39,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000124092,CTCFL,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000124227,ANKRD60,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000124260,MAGEA10,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000124467,PSG8,1,0.39,0,0.0,1,259,0.39,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000124490,CRISP2,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000125207,PIWIL1,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000125823,CSTL1,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000126467,TSKS,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000126752,SSX1,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000126856,PRDM7,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000129862,VCY/VCY1B,1,0.39,1,0.39,1,259,0.39,1,259,0.39,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000130950,NUTM2F,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
adrenal,259,259,tpm_clean,ENSG00000131126,TEX101,0,0.0,0,0.0,0,259,0.0,0,259,0.0,ACC;PCPG
