cohort,PRAME,XAGE1A,XAGE1B,PHF7,EGFL6,MAGEA3,MAGEA6,CTAG1A,CTAG1B,PAGE5,TUBA3C,DPPA5,RGPD4,MAGEA4,UTF1,MAGEA12,MAGEA10,LRRC36,SYCP3,CT47B1,TRIML2,SPATA4,GOLGA6L6,MAGEA2,SSX1,CTAGE9,MAGEB2,RIMBP3,PRM3,ZPBP
Large-Cell Neuroendocrine Carcinoma Lung [NEC_LUNG_LC] (n=69),0.0,11.022216,4.30882,3.05945,2.836712,265.536269,232.650948,36.844528,37.79157,0.0,0.164032,0.0,1.162192,7.18558,0.0,74.790696,13.374957,0.39439,1.22609,0.0,0.0,0.503961,0.047024,77.517965,0.215898,19.81747,1.472263,2.81893,0.0,0.0012
Lung Adenocarcinoma — STK11/KEAP1 LUAD [LUAD_STK11] (n=142),25.950218,334.423661,249.672647,4.367216,11.561254,20.720871,10.715025,0.055011,0.073455,0.195271,0.0,0.0,0.011887,0.354598,0.027041,1.397546,0.098158,2.208052,0.340589,0.0,0.043678,0.353194,0.011037,4.593979,0.032702,0.047192,0.094176,0.336301,0.0,0.0
Medullary Thyroid Carcinoma [MTC] (n=52),4.16481,4.595379,,32.281893,45.775433,,3.780949,17.38568,,23.40074,35.159801,32.656686,,6.896277,42.46972,4.31108,4.964043,68.570737,30.61933,117.14076,5.706138,90.837131,80.517149,,23.427673,60.974248,8.11814,51.817419,51.782904,51.622876
Ovarian Serous Cystadenocarcinoma [OV] (n=426),89.221469,0.020499,0.051716,4.338889,21.277159,0.041932,0.036523,0.108251,0.14059,0.073045,0.0,0.0,0.022976,6.918451,0.243828,0.024037,0.092353,1.222881,0.722924,0.0,0.013012,0.44301,0.0,0.07243,0.145911,0.028659,0.014483,0.168922,0.0,0.128979
Adenoid Cystic Carcinoma [ADCC] (n=123),97.943225,0.261591,0.070259,7.910016,5.773304,0.211847,0.561717,9.524648,0.897952,0.076918,0.0,0.0,0.023096,7.156079,0.023005,0.020982,0.014109,0.751336,0.091764,0.0,0.040205,0.322657,0.0,0.230802,0.012024,0.084764,0.0,0.275116,0.0,0.111291
Acute Myeloid Leukemia — Acute Promyelocytic Leukemia [LAML_APL] (n=20),59.818016,0.03261,0.021647,33.771291,0.038039,0.0,0.0,0.0,0.0,0.693449,0.010056,0.0,0.769009,0.0,0.388059,0.0,0.0,0.372923,1.465233,0.0,0.0,0.029422,0.0,0.0,0.0,0.046542,0.0,2.39852,0.0,0.005815
Lung Squamous Cell Carcinoma [LUSC] (n=498),60.017147,2.361701,3.728178,5.015738,23.754385,54.274658,51.05636,0.220917,0.241474,0.189851,0.011225,0.0,0.021652,121.397472,0.022553,2.759213,4.328098,1.008372,0.266856,0.0,0.100375,0.251879,0.032399,10.578002,0.034418,0.021647,1.960513,0.43337,0.0,0.032525
Acute Myeloid Leukemia — AML ELN2017 Favorable [LAML_ELNfav] (n=238),8.791346,0.0,0.0,35.678417,0.055505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.941267,0.0,1.52019,0.0,0.0,1.010007,1.847035,0.0,0.0,0.047611,0.012796,0.0,0.0,0.097404,0.0,1.906071,0.0,0.105307
Acute Myeloid Leukemia [LAML] (n=173),9.583402,0.0,0.042362,33.555876,0.032871,0.0,0.0,0.0,0.036715,0.0,0.0,0.0,0.025832,0.0,0.359032,0.0,0.0,0.94573,5.029963,0.0,0.0,0.0,0.0,0.0,0.0,0.211597,0.0,2.855817,0.0,0.073672
Medulloblastoma Group 3 [MBL_G3] (n=44),186.722507,0.0,0.015373,9.569348,0.205475,5.439398,5.547827,0.025738,0.167552,0.00294,0.0,0.012018,0.085535,0.0,0.0,0.614523,0.088208,2.628262,0.786017,0.0,0.274021,0.28142,0.0,6.007038,0.054893,0.012222,0.0,0.443603,0.0,0.061061
Acute Myeloid Leukemia — AML ELN2017 Intermediate [LAML_ELNint] (n=154),3.10566,0.0,0.0,33.493236,0.046326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.876526,0.0,2.180557,0.0,0.0,0.667964,1.695324,0.0,0.0,0.045705,0.0,0.0,0.0,0.065454,0.0,1.331865,0.0,0.050945
Breast Invasive Carcinoma — Basal-like [BRCA_Basal] (n=172),52.432943,0.034705,0.109322,5.578067,7.715221,4.367589,3.722342,0.089626,0.118531,0.173564,0.0,0.0,0.011813,1.633784,0.022181,0.032458,0.024399,0.476825,0.427009,0.0,0.450354,0.123457,0.0,0.123027,0.011221,0.031794,0.012241,0.240779,0.0,0.055132
