cohort,PRAME,XAGE1A,XAGE1B,CTAG1A,RGPD4,TUBA3C,CTAG1B,DPPA5,MAGEA3,EGFL6,MAGEA6,TRIML2,UTF1,SSX1,CT47B1,SPATA4,SYCP3,GOLGA6L6,CTAGE9,ZPBP,CT47A11,LRRC36,PRM3,RIMBP3,DPEP3,SPACA3,PHF7,DKKL1,TEX14,YBX2
Myxoid Liposarcoma [SARC_MYXLPS] (n=28),177.829429,7.588331,7.588331,413.072051,88.302907,32.702593,413.072051,,5.60728,81.753322,5.60728,,4.052778,9.463527,,,,,23.518625,6.783011,,30.753357,,,4.12686,,15.891992,12.632427,5.670141,14.608029
Medullary Thyroid Carcinoma [MTC] (n=52),2.468034,2.258605,,6.404298,,20.184738,,22.698153,,25.9771,2.138068,3.284019,24.037373,14.58276,51.117741,46.055105,21.325332,36.16924,34.21048,31.743133,31.198449,26.538627,30.533865,29.222131,28.592932,28.495008,22.210011,21.244277,19.057991,8.250671
Testicular Germ Cell Tumors [TGCT] (n=154),26.671817,2.939072,2.657544,0.240278,0.011556,0.141304,0.313816,352.36317,0.156671,1.129157,0.098276,63.801575,53.366442,0.061948,0.0,0.11192,38.0535,0.011208,0.0,0.106438,0.0,0.969732,0.0,0.190521,3.652513,0.089683,8.634928,4.655208,0.885225,6.112733
Synovial Sarcoma [SARC_SYN] (n=50),230.434201,0.0,0.0,53.221265,0.0,0.0,14.733148,0.0,0.0,0.677899,0.0,0.0,1.021732,52.470842,0.0,0.106565,0.119807,0.0,0.0,0.0,0.0,0.845208,0.0,0.324119,0.033701,0.141388,6.038457,5.340353,0.320979,19.298307
Pleomorphic Liposarcoma [SARC_PLEOLPS] (n=20),6.812301,6.894995,6.894995,6.18102,90.335432,38.386817,6.18102,,5.593419,11.452531,5.593419,,3.919775,9.415936,,,,,17.869885,6.554424,,13.776399,,,3.875336,,15.686897,12.041892,5.045459,14.124185
Large-Cell Neuroendocrine Carcinoma Lung [NEC_LUNG_LARGECELL] (n=69),0.0,0.0,0.070377,0.99527,0.701754,0.0,0.921518,0.0,87.94008,1.50634,67.252257,0.0,0.0,0.0,0.0,0.170348,0.563332,0.015556,10.122155,0.0,0.0,0.162831,0.0,1.484721,0.0,0.0,2.119093,0.122213,0.049244,9.484095
Lung Adenocarcinoma — EGFR-mutant LUAD [LUAD_EGFR] (n=67),1.069408,175.885524,124.562568,0.0,0.0,0.0,0.0,0.0,0.029242,6.244573,0.0,0.0,0.019165,0.0,0.0,0.158915,0.187929,0.0,0.054366,0.0,0.0,1.922377,0.0,0.455884,0.050117,0.172216,3.589051,0.720599,0.413056,1.567078
Lung Adenocarcinoma [LUAD] (n=515),1.588943,162.022506,113.864562,0.0,0.0,0.0,0.0,0.0,0.030174,6.968008,0.0,0.0,0.0,0.0,0.0,0.196495,0.140625,0.0,0.0,0.0,0.0,1.14039,0.0,0.289847,0.051621,0.126504,3.294363,0.486259,0.366279,1.778923
Lung Adenocarcinoma — STK11/KEAP1 LUAD [LUAD_STK11] (n=142),4.339193,81.181489,65.340036,0.0,0.0,0.0,0.0,0.0,0.063289,7.15119,0.007913,0.0,0.0,0.0,0.0,0.176554,0.158501,0.0,0.0,0.0,0.0,0.927879,0.0,0.182587,0.051438,0.098848,3.227925,0.452987,0.325841,2.481366
Lung Adenocarcinoma — KRAS-mutant LUAD [LUAD_KRAS] (n=153),0.625429,201.44122,125.577074,0.0,0.0,0.0,0.0,0.0,0.0,6.996783,0.0,0.0,0.0,0.0,0.0,0.176079,0.134942,0.0,0.0,0.0,0.0,0.926454,0.0,0.270522,0.044588,0.126565,3.310391,0.415608,0.328341,1.038331
Embryonal Rhabdomyosarcoma [SARC_RMS_ERMS] (n=95),182.881666,0.01213,0.0755,0.0,0.048597,0.0,0.013667,0.0,0.0,1.56898,0.035788,0.012138,0.012138,0.0,0.0,0.087747,0.419216,0.0,0.0,0.0,0.0,0.389964,0.0,0.39427,0.082578,0.042646,4.454572,3.988904,2.508636,0.637186
Neuroblastoma MYCN-amplified [NBL_MYCNamp] (n=33),338.054231,0.0,0.0,0.0,0.644836,0.0,0.0,0.0,0.069867,1.338891,0.155586,0.0,0.0,0.0,0.0,0.297471,0.27631,0.0,0.0,0.0,0.0,1.255189,0.0,0.543749,0.213749,0.115293,6.480319,0.402047,2.660288,0.108362
