cohort,PRAME,XAGE1A,XAGE1B,EGFL6,MAGEA3,MAGEA6,CTAG1A,CTAG1B,PAGE5,DPPA5,RGPD4,MAGEA4,UTF1,MAGEA12,MAGEA10,FATE1,LRRC36,SYCP3,CT47B1,TRIML2,SPATA4,GOLGA6L6,MAGEA2,SSX1,CTAGE9,MAGEB2,RIMBP3,PRM3,ZPBP,YBX2
Medullary Thyroid Carcinoma [MTC] (n=52),4.16481,4.595379,,45.775433,,3.780949,17.38568,,23.40074,32.656686,,6.896277,42.46972,4.31108,4.964043,36.814811,68.570737,30.61933,117.14076,5.706138,90.837131,80.517149,,23.427673,60.974248,8.11814,51.817419,51.782904,51.622876,17.910148
Myxoid Liposarcoma [SARC_MYXLPS] (n=28),236.69713,36.770285,36.770285,295.06919,6.99034,6.99034,551.809658,551.809658,,,108.199964,3.199837,5.009255,4.532933,9.71464,,47.611666,,,,,,3.165199,14.71433,29.290198,5.065968,,,8.404098,18.372168
Testicular Germ Cell Tumors [TGCT] (n=154),166.595789,36.391812,22.528174,6.184383,0.905678,0.687202,0.746476,0.932564,4.177716,824.715395,0.022443,6.621269,90.880602,0.281974,0.462219,2.542994,1.590643,51.701545,0.044186,91.35091,0.260665,0.033274,0.539659,0.227221,0.0,58.307143,0.320258,0.0,0.243382,12.588443
Synovial Sarcoma [SARC_SYN] (n=50),308.907995,0.167553,0.280842,1.992447,0.0,0.031369,235.20868,70.979965,0.0,0.126769,0.013278,37.905594,2.059727,0.0,0.273503,0.427167,1.2869,0.4176,0.0,0.062705,0.180441,0.0,0.0,74.572304,0.008556,0.0,0.579474,0.0,0.029968,24.414886
Pleomorphic Liposarcoma [SARC_PLEOLPS] (n=20),8.654089,9.145587,9.145587,47.161224,7.075822,7.075822,8.880215,8.880215,,,127.378964,3.158412,4.865255,4.987263,8.899989,,17.512987,,,,,,3.16951,12.606118,26.948046,5.236182,,,8.260469,18.492222
Large-Cell Neuroendocrine Carcinoma Lung [NEC_LUNG_LC] (n=69),0.0,11.022216,4.30882,2.836712,265.536269,232.650948,36.844528,37.79157,0.0,0.0,1.162192,7.18558,0.0,74.790696,13.374957,0.773848,0.39439,1.22609,0.0,0.0,0.503961,0.047024,77.517965,0.215898,19.81747,1.472263,2.81893,0.0,0.0012,43.157197
Lung Adenocarcinoma — KRAS-mutant LUAD [LUAD_KRAS] (n=153),11.731203,529.313406,425.938492,11.590249,0.092218,0.053531,0.010811,0.011182,0.149263,0.0,0.01243,0.033196,0.043484,0.034219,0.011514,0.615955,2.018362,0.337908,0.0,0.021468,0.46329,0.0,0.023914,0.0,0.091064,0.013713,0.472658,0.0,0.022282,4.289483
Lung Adenocarcinoma — EGFR-mutant LUAD [LUAD_EGFR] (n=67),16.455405,533.299815,309.063805,10.594277,0.50565,0.344126,0.032876,0.055229,0.246663,0.0,0.032734,0.046413,0.043579,0.082743,0.086094,0.559425,10.632842,0.408239,0.0,0.032706,0.598091,0.0,0.040054,0.021825,0.131689,0.033584,0.911687,0.0,0.053067,4.928989
Lung Adenocarcinoma [LUAD] (n=515),16.372685,493.20347,376.141655,11.950476,1.84965,1.048691,0.024205,0.033535,0.177487,0.0,0.013345,0.066449,0.042877,0.122521,0.055594,0.616079,2.925491,0.374076,0.0,0.032369,0.499592,0.0,0.153336,0.016676,0.080592,0.045796,0.519992,0.0,0.023233,6.064751
Lung Adenocarcinoma — STK11/KEAP1 LUAD [LUAD_STK11] (n=142),25.950218,334.423661,249.672647,11.561254,20.720871,10.715025,0.055011,0.073455,0.195271,0.0,0.011887,0.354598,0.027041,1.397546,0.098158,0.671026,2.208052,0.340589,0.0,0.043678,0.353194,0.011037,4.593979,0.032702,0.047192,0.094176,0.336301,0.0,0.0,7.93064
Adenoid Cystic Carcinoma [ADCC] (n=123),97.943225,0.261591,0.070259,5.773304,0.211847,0.561717,9.524648,0.897952,0.076918,0.0,0.023096,7.156079,0.023005,0.020982,0.014109,0.341006,0.751336,0.091764,0.0,0.040205,0.322657,0.0,0.230802,0.012024,0.084764,0.0,0.275116,0.0,0.111291,5.526414
Angiosarcoma [SARC_ANGIO] (n=20),227.2683,0.0,0.0,6.466281,52.150146,44.815326,0.05706,0.05706,0.024234,0.0,0.0,0.444286,0.0,28.313888,0.0,0.20555,1.378406,1.028595,0.0,0.103464,0.0,0.0,29.304523,0.0,0.0,6.963467,0.152577,0.0,0.0,1.038499
