cohort,PRAME,RGPD4,TUBA3C,CTAG1A,CTAG1B,DPPA5,SPATA4,CT47B1,ZPBP,GOLGA6L6,CTAGE9,RNF148,DPEP3,ODF4,CTAGE1,TEX35,SPACA3,DCAF4L2,C12orf42,DMRTB1,GOLGA6A,SPATA32,TEX38,EGFL6,SPACA1,CT47A11,CTAGE6,PSG5,PHF7,ZC3H11B
Lung Adenocarcinoma — STK11/KEAP1 LUAD [LUAD_STK11] (n=142),0.196478,0.0,0.0,0.0,0.0,0.0,0.07492,0.0,0.0,0.0,0.0,0.156009,0.021871,0.0,0.0,0.0,0.0,0.0,0.111235,0.0,0.0,0.092144,0.032781,3.749236,0.0,0.0,0.0,0.0,2.397542,0.025186
Medullary Thyroid Carcinoma [MTC] (n=52),2.408856,,22.015181,6.350702,,27.092871,48.236136,44.890094,36.587332,36.575701,33.10749,33.052986,32.210726,32.151342,31.742379,31.638139,31.385407,31.217928,31.000793,30.398728,30.393308,30.353385,30.247865,29.90682,29.827993,29.770539,29.748561,29.671837,26.960561,
Ovarian Serous Cystadenocarcinoma [OV] (n=426),25.272257,0.0,0.0,0.0,0.0,0.0,0.04761,0.0,0.0,0.0,0.0,0.0,0.034495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023715,0.066949,0.096542,5.689929,0.0,0.0,0.0,0.0,1.816054,0.028855
Adenoid Cystic Carcinoma [ADCC] (n=123),23.577118,0.0,0.0,0.0,0.0,0.0,0.045473,0.0,0.009798,0.0,0.0,0.010191,0.01859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006592,0.016196,0.031441,0.232739,0.0,0.0,0.0,0.0,2.861568,0.045034
Acute Myeloid Leukemia — Acute Promyelocytic Leukemia [LAML_APL] (n=20),2.194639,0.167741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.218172,0.07372,0.05803,0.0,0.0,0.0,0.043705,0.0,0.0,0.631283,0.260734,0.0,0.0,0.0,0.0,0.0,20.86297,1.473644
Lung Squamous Cell Carcinoma [LUSC] (n=498),11.579619,0.0,0.0,0.0,0.0,0.0,0.021325,0.0,0.0,0.0,0.0,0.032323,0.021513,0.0,0.0,0.0,0.0,0.0,0.068786,0.0,0.010873,0.056807,0.021307,8.747458,0.0,0.0,0.0,0.0,2.628054,0.033701
Acute Myeloid Leukemia — AML ELN2017 Favorable [LAML_ELNfav] (n=238),0.225477,0.283864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12583,0.0,0.039119,0.0,0.0,0.0,0.082486,0.0,0.0,0.671317,0.330257,0.0,0.0,0.0,0.0,0.0,19.887838,1.915125
Acute Myeloid Leukemia [LAML] (n=173),0.174135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24971,0.0,0.0,0.0,0.0,0.0,0.169932,0.0,0.09293,0.37504,0.724708,0.0,0.0,0.0,0.0,0.0,19.547687,0.105666
Medulloblastoma Group 3 [MBL_G3] (n=44),2.167107,0.0,0.0,0.0,0.0,0.0,0.033527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023885,0.023933,0.020834,0.012103,0.0,0.0,0.0,0.0,1.468345,0.119107
Acute Myeloid Leukemia — AML ELN2017 Intermediate [LAML_ELNint] (n=154),0.071358,0.302244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.974892,0.0,0.028009,0.0,0.0,0.0,0.07011,0.0,0.024766,0.448769,0.264562,0.0,0.0,0.0,0.0,0.0,16.395134,1.916773
Breast Invasive Carcinoma — Basal-like [BRCA_Basal] (n=172),7.988057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035231,0.003998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011015,0.05956,0.04395,1.570172,0.0,0.0,0.0,0.0,2.357486,0.04561
