cohort,PRAME,PHF7,EGFL6,YBX2,SYCE2,SYCP3,H1-6,TULP2,XAGE1B,STKLD1,C12orf42,C1orf94,XAGE1A,DPEP3,ZC3H11B,LRRC36,SMC1B,RNF148,TEX14,FATE1,TMEM210,WDR64,SSX1,TSPYL6,ANKRD7,SPATA4,AKNAD1,MEIOC,SPATA32,DKKL1
Ovarian Serous Cystadenocarcinoma [OV] (n=426),24.695706,1.867778,5.651277,3.7078,2.102309,0.146603,0.0,0.017112,0.0,1.035615,0.0,0.0,0.0,0.032557,0.030556,0.391372,0.191828,0.0,0.126988,0.046246,0.0,0.0,0.0,0.011091,0.360724,0.047874,0.0,0.197761,0.067224,0.861027
Head and Neck Squamous Cell Carcinoma — HPV- HNSC [HNSC_HPVneg] (n=415),0.05676,2.165401,2.097543,0.112583,0.192303,0.030192,0.0,0.0,0.0,0.180394,0.02832,0.0,0.0,0.0,0.019636,0.029043,0.010051,0.0,0.041987,0.046333,0.0,0.0,0.0,0.0,0.0,0.0,0.201518,0.075244,0.019076,0.065401
Stomach Adenocarcinoma [STAD] (n=414),0.085155,2.383246,0.897764,2.424399,0.433072,0.674717,0.0,0.026461,0.0,0.328929,0.054509,0.0,0.0,0.020922,0.063761,0.268544,0.028188,0.08107,0.09055,0.070583,0.0,0.0,0.0,0.012599,0.0,0.0,0.055165,0.139815,0.076932,0.070606
Bladder Urothelial Carcinoma [BLCA] (n=407),0.013023,2.810024,2.142819,0.132809,0.428648,0.11011,0.0,0.0,0.0,0.535603,0.029854,0.0,0.0,0.0,0.011071,0.061348,0.066143,0.021798,0.102274,0.056026,0.0,0.0,0.0,0.0,0.0,0.0,0.01362,0.106413,0.054438,0.044597
Liver Hepatocellular Carcinoma [LIHC] (n=368),0.0,2.466849,0.020293,0.280657,0.331685,0.048783,0.0,0.0,0.0,0.595388,0.0,0.0,0.0,0.0,0.009052,0.009195,0.010464,0.030564,0.092349,0.111054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053286,0.0,0.053509
Cervical Squamous / Adenocarcinoma [CESC] (n=306),0.04245,2.030292,1.309884,4.11438,1.694637,0.133487,0.0,0.0,0.0,0.452679,0.0,0.0,0.0,0.0,0.020048,0.136917,1.541882,0.039699,0.082934,0.038752,0.0,0.0,0.0,0.0,0.0,0.0,0.0102,0.152977,0.042387,0.170221
Colon Adenocarcinoma [COAD] (n=290),0.076187,2.863669,0.887164,7.670054,0.420043,0.055022,0.0,0.0,0.0,0.255727,0.011557,0.0,0.0,0.0,0.023146,0.785574,0.01278,0.039021,0.068039,0.086243,0.0,0.0,0.0,0.0,0.0,0.0,0.199921,0.101484,0.070158,0.033073
Kidney Renal Papillary [KIRP] (n=289),1.984374,4.188411,0.0,0.614605,0.326665,0.093331,0.0,0.0,0.0,0.947117,0.0,0.0,0.0,0.025518,0.010527,1.555926,0.011012,0.042908,0.130596,0.078364,0.0,0.0,0.0,0.0,0.957694,0.920422,0.0,0.087048,0.050045,0.134043
T-cell Acute Lymphoblastic Leukemia [T_ALL] (n=264),0.046749,9.473631,0.0,0.06648,3.413939,0.950989,3.42881,2.794787,0.0,0.95077,0.358458,0.0,0.0,0.155349,0.718133,0.22548,0.325638,0.0,1.410682,0.0,0.0,0.029311,0.0,0.180205,0.134798,0.0,0.099691,0.878655,0.878589,0.0
Osteosarcoma [SARC_OS] (n=262),0.157141,3.086348,1.242522,0.033417,0.605484,0.110759,0.0,0.0,0.02498,0.824244,0.0,0.0,0.0,0.012011,0.045954,0.238092,0.077044,0.039971,0.283643,0.146789,0.0,0.0,0.020406,0.0,0.287991,0.024042,0.47837,0.140959,0.0,0.154419
Acute Myeloid Leukemia — AML ELN2017 Favorable [LAML_ELNfav] (n=238),0.188122,16.520263,0.0,0.017486,3.844798,0.564156,0.0,0.393022,0.0,0.755053,0.068549,0.0,0.0,0.937248,1.573087,0.205865,0.385814,0.0,0.252835,0.0,0.0,0.023005,0.0,0.032634,0.0,0.0,0.039031,0.24836,0.570245,0.0
Breast Invasive Carcinoma — Luminal B [BRCA_LumB] (n=199),0.061719,3.709901,0.692567,4.432442,1.230608,0.07841,0.0,0.0,0.0,1.096941,0.0,0.0,0.0,0.009615,0.060422,0.242569,0.055482,0.061987,0.357343,0.064082,0.208019,0.010176,0.0,0.0,0.034155,0.103663,0.132578,0.155296,0.062879,0.126848
Acute Myeloid Leukemia — AML ELN2017 Adverse [LAML_ELNadv] (n=189),0.081449,11.613783,0.0,0.039268,3.130166,0.494944,0.083679,0.449516,0.0,0.662541,0.069223,0.0,0.0,0.72177,1.550224,0.160259,0.388959,0.0,0.243812,0.0,0.0,0.018827,0.0,0.0,0.0,0.0,0.037189,0.254271,0.413837,0.0
Burkitt Lymphoma [BL] (n=184),0.093146,6.245276,0.285435,0.0239,2.455878,1.100087,0.475605,0.115431,0.0,2.09878,0.042599,0.0,0.0,0.036907,0.169186,0.041405,0.671102,0.0,0.213319,0.0,0.0,0.0,0.0,1.010976,0.26684,0.0,0.01228,0.611797,0.70715,0.114483
Esophageal Carcinoma [ESCA] (n=182),0.198108,2.729655,3.21804,1.246307,0.456416,0.372464,0.0,0.010766,0.0,0.345803,0.054037,0.0,0.0,0.009348,0.086168,0.104079,0.040508,0.040436,0.086021,0.032465,0.0,0.0,0.0,0.023185,0.0,0.0,0.097102,0.184323,0.075908,0.060043
Pheochromocytoma and Paraganglioma [PCPG] (n=182),0.0,3.403314,0.0,0.075363,0.500258,0.053299,0.0,0.0,0.0,0.904993,0.053433,0.0,0.0,0.015481,0.018009,0.413485,0.011175,0.045515,0.110099,0.297047,0.0,0.0,0.0,0.0,0.773845,0.116874,0.424513,0.160576,0.0,0.0
Uterine Corpus Endometrial Carcinoma [UCEC] (n=181),64.116219,2.011292,1.383496,1.133943,1.048243,0.135064,0.0,0.0,0.0,0.963987,0.0,0.0,0.0,0.0,0.011283,0.386642,0.031108,0.020047,0.116362,0.032931,0.0,0.0,0.0,0.0,0.0,0.027524,0.0,0.170104,0.037574,0.842674
Pancreatic Adenocarcinoma [PAAD] (n=179),0.026138,2.633997,0.956026,0.169773,0.349578,0.070123,0.0,0.01979,0.0,0.459522,0.005091,0.010457,0.0,0.023141,0.022249,1.117078,0.013868,0.050976,0.180675,0.054034,0.0,0.010584,0.0,0.0,0.082588,0.033263,0.063753,0.089443,0.061191,0.119022
