cohort,PRAME,XAGE1A,XAGE1B,MAGEA3,PHF7,MAGEA6,MAGEA12,EGFL6,YBX2,MAGEA4,MAGEA2,H1-6,SYCP3,SYCE2,MAGEC1,CTCFL,SMC1B,TULP2,MAGEA9B,C12orf42,LRRC36,STKLD1,DPEP3,CT83,TEX14,C1orf94,HORMAD1,PIWIL1,RNF148,SSX1
T-cell Acute Lymphoblastic Leukemia [T_ALL] (n=264),0.114541,0.0,0.0,0.0,11.704748,0.0,0.0,0.0,0.159692,0.0,0.0,6.440186,2.026714,4.847379,0.0,0.016324,0.591184,5.229389,0.0,0.697938,0.362924,1.392874,0.323282,0.0,3.14995,0.0,0.598312,0.013844,0.0,0.0
Osteosarcoma [SARC_OS] (n=262),3.269785,0.414707,0.647988,2.41105,5.010406,1.535529,0.327639,6.168969,0.135177,0.0,0.38699,0.047809,0.247076,1.190718,0.046809,0.027997,0.268592,0.045406,0.021145,0.0,0.52612,1.344895,0.053446,0.0,0.648089,0.0,0.334225,0.021404,0.130669,0.26513
Acute Myeloid Leukemia — AML ELN2017 Favorable [LAML_ELNfav] (n=238),0.993535,0.0,0.0,0.0,23.081343,0.0,0.0,0.0,0.049162,0.0,0.0,0.15806,0.978812,5.550218,0.0,0.0,0.615796,0.744407,0.0,0.174293,0.394812,1.173099,1.770748,0.0,0.542251,0.0,1.244156,0.0,0.0,0.0
Breast Invasive Carcinoma — Luminal B [BRCA_LumB] (n=199),0.394818,0.0,0.0,0.0,5.959813,0.0,0.0,1.15136,8.565533,0.0,0.0,0.069462,0.155716,1.920141,0.01093,0.0,0.195076,0.02404,0.0,0.059397,0.431697,1.502157,0.025224,0.0,0.886134,0.0,0.070674,0.011478,0.135344,0.0
Acute Myeloid Leukemia — AML ELN2017 Adverse [LAML_ELNadv] (n=189),1.151311,0.0,0.0,0.0,17.054928,0.0,0.0,0.024875,0.113686,0.0,0.0,0.173001,0.822278,4.601809,0.0,0.0,0.782778,0.810958,0.0,0.189609,0.296135,1.165035,1.310902,0.0,0.4364,0.0,1.364121,0.0,0.0,0.0
Burkitt Lymphoma [BL] (n=184),0.191207,0.0,0.0,0.0,8.129103,0.0,0.0,0.884572,0.057345,0.0,0.0,1.307608,2.264505,3.580567,0.0,0.078946,1.220587,0.253087,0.0,0.127745,0.086265,2.894426,0.095583,0.0,0.358845,0.0,1.385835,0.014037,0.063793,0.0
Esophageal Carcinoma [ESCA] (n=182),4.735226,0.0,0.0,0.287353,3.704612,0.158729,0.015303,5.637612,4.077839,0.061769,0.056915,0.06256,0.832232,0.76207,0.0,0.011878,0.103785,0.043769,0.057405,0.146774,0.246006,0.566161,0.028666,0.22326,0.154706,0.010177,2.763366,0.10094,0.096348,0.0
Pheochromocytoma and Paraganglioma [PCPG] (n=182),0.0,0.0,0.0,0.0,5.086368,0.0,0.0,0.031881,0.161492,0.0,0.0,0.0,0.160424,0.857487,0.0,0.0,0.020334,0.022302,0.0,0.107017,0.734107,1.417644,0.058617,0.0,0.189701,0.011743,0.0,0.04077,0.091131,0.0
Uterine Corpus Endometrial Carcinoma [UCEC] (n=181),145.329518,0.0,0.0,0.0,3.147613,0.0,0.0,3.620413,5.277266,0.0,0.005012,0.0,0.279156,1.859239,0.0,0.035226,0.10346,0.02337,0.038116,0.021177,0.674945,1.52404,0.021785,0.0,0.240915,0.0,0.135064,0.078766,0.061813,0.0
Pancreatic Adenocarcinoma [PAAD] (n=179),0.087578,0.0,0.063872,0.0,3.452565,0.0,0.0,1.72848,0.32586,0.0,0.0,0.0,0.180427,0.558734,0.0,0.0,0.032466,0.045257,0.0,0.063337,2.020244,0.678416,0.06682,0.0,0.277885,0.030473,0.133336,0.132914,0.095616,0.0
