Symbol,Aliases,Full_Name,Function,Ensembl_Gene_ID,source_databases,protein_reproductive,protein_thymus,protein_reliability,rna_reproductive,rna_thymus,protein_strict_expression,rna_reproductive_frac,rna_reproductive_and_thymus_frac,rna_deflated_reproductive_frac,rna_deflated_reproductive_and_thymus_frac,Canonical_Transcript_ID,rna_80_pct_filter,rna_90_pct_filter,rna_95_pct_filter,rna_99_pct_filter,filtered,biotype
NUTM1,,,cancer-testis antigen,ENSG00000184507,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,0.9648,0.9648,1.0,1.0,ENST00000333756,True,True,True,True,True,protein_coding
CAGE1,,,cancer-testis antigen,ENSG00000164304,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,0.9608,0.9608,1.0,1.0,ENST00000502583,True,True,True,True,True,protein_coding
PAGE1,,,cancer-testis antigen,ENSG00000068985,CTpedia;CTexploreR_CT;daSilva2017,True,False,Enhanced,True,False,testis,0.9941,0.9941,1.0,1.0,ENST00000376150,True,True,True,True,True,protein_coding
PAGE2,,,cancer-testis antigen,ENSG00000234068,CTpedia;CTexploreR_CT;daSilva2017,True,False,Supported,True,False,testis,0.9148,0.9153,1.0,1.0,ENST00000374968,True,True,True,True,True,protein_coding
PAGE2B,,,cancer-testis antigen,ENSG00000238269,CTpedia;CTexploreR_CTP;daSilva2017,True,False,Supported,False,False,testis,0.8164,0.817,0.9483,0.9483,ENST00000374971,True,True,False,False,True,protein_coding
PAGE3,,,cancer-testis antigen,ENSG00000204279,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000374951,True,True,True,True,True,protein_coding
PAGE5,,,cancer-testis antigen,ENSG00000158639,CTpedia;CTexploreR_CT;daSilva2017,True,False,Supported,False,False,testis,0.8805,0.881,1.0,1.0,ENST00000374955,True,True,True,True,True,protein_coding
XAGE1A,,,cancer-testis antigen,ENSG00000204379,CTpedia;CTexploreR_CT,no data,no data,no data,True,False,no data,0.9913,0.9913,1.0,1.0,ENST00000375602,True,True,True,True,True,protein_coding
XAGE1B,,,cancer-testis antigen,ENSG00000204382,CTpedia;CTexploreR_CT;daSilva2017,no data,no data,no data,False,False,no data,0.8806,0.8808,0.987,0.987,ENST00000518075,True,True,True,False,False,protein_coding
XAGE3,,,cancer-testis antigen,ENSG00000171402,CTpedia,True,False,Supported,False,False,placenta,0.9804,0.9804,0.9922,0.9922,ENST00000346279,True,True,True,True,True,protein_coding
XAGE5,,,cancer-testis antigen,ENSG00000171405,CTpedia;CTexploreR_CT;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000375501,True,True,True,True,True,protein_coding
GAGE2A,,,cancer-testis antigen,ENSG00000189064,CTpedia;CTexploreR_CT;daSilva2017,True,False,Supported,True,False,testis,0.9893,0.9893,1.0,1.0,ENST00000362097,True,True,True,True,True,protein_coding
GAGE12H,,,cancer-testis antigen,ENSG00000224902,CTpedia;CTexploreR_CTP;daSilva2017,True,False,Supported,True,False,testis,1.0,1.0,1.0,1.0,ENST00000381722,True,True,True,True,True,protein_coding
GAGE12J,,,cancer-testis antigen,ENSG00000224659,CTpedia;CTexploreR_CTP;daSilva2017,True,False,Supported,False,False,testis,0.8794,0.8794,0.9494,0.9494,ENST00000442437,True,True,False,False,True,protein_coding
GAGE12E,,,cancer-testis antigen,ENSG00000216649,CTpedia;CTexploreR_CT;daSilva2017,True,False,Supported,True,False,testis,1.0,1.0,1.0,1.0,ENST00000381698,True,True,True,True,True,protein_coding
GAGE13,,,cancer-testis antigen,ENSG00000274274,CTpedia;CTexploreR_CT;daSilva2017,True,False,Supported,False,False,testis,0.9729,0.9729,0.9926,0.9926,ENST00000612958,True,True,True,True,True,protein_coding
MAGEA1,,,cancer-testis antigen,ENSG00000198681,CTpedia;CTexploreR_CT;daSilva2017,True,False,Enhanced,True,False,testis,1.0,1.0,1.0,1.0,ENST00000356661,True,True,True,True,True,protein_coding
MAGEA2,,,cancer-testis antigen,ENSG00000268606,CTpedia;CTexploreR_CT;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000611557,True,True,True,True,True,protein_coding
MAGEA4,,,cancer-testis antigen,ENSG00000147381,CTpedia;CTexploreR_CT;daSilva2017,True,False,Enhanced,True,False,placenta; testis,0.9562,0.9562,1.0,1.0,ENST00000682265,True,True,True,True,True,protein_coding
MAGEA6,,,cancer-testis antigen,ENSG00000197172,CTpedia;CTexploreR_CT;daSilva2017,no data,no data,no data,True,False,no data,0.9091,0.9091,1.0,1.0,ENST00000616035,True,True,True,True,True,protein_coding
MAGEA3,,,cancer-testis antigen,ENSG00000221867,CTpedia;CTexploreR_CT;daSilva2017,no data,no data,no data,True,False,no data,0.9759,0.9759,1.0,1.0,ENST00000598245,True,True,True,True,True,protein_coding
MAGEA9,,,cancer-testis antigen,ENSG00000123584,CTpedia;CTexploreR_CT;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000243314,True,True,True,True,True,protein_coding
MAGEA9B,,,cancer-testis antigen,ENSG00000267978,CTpedia;CTexploreR_CT;daSilva2017,no data,no data,no data,True,False,no data,0.9346,0.9346,1.0,1.0,ENST00000595065,True,True,True,True,True,protein_coding
MAGEA10,,,cancer-testis antigen,ENSG00000124260,CTpedia;CTexploreR_CT,True,False,Approved,True,False,placenta; testis,0.8529,0.8529,1.0,1.0,ENST00000370323,True,True,True,True,True,protein_coding
MAGEA11,,,cancer-testis antigen,ENSG00000185247,CTpedia;CTexploreR_CT;daSilva2017,no data,no data,no data,False,False,no data,0.1938,0.1938,0.1807,0.1807,ENST00000333104,False,False,False,False,False,protein_coding
MAGEB1,,,cancer-testis antigen,ENSG00000214107,CTpedia;CTexploreR_CT;daSilva2017,True,False,Enhanced,True,False,testis,0.9677,0.9677,1.0,1.0,ENST00000378981,True,True,True,True,True,protein_coding
MAGEB2,,,cancer-testis antigen,ENSG00000099399,CTpedia;CTexploreR_CT;daSilva2017,True,False,Enhanced,True,False,testis,0.9932,0.9932,1.0,1.0,ENST00000378988,True,True,True,True,True,protein_coding
MAGEB3,,,cancer-testis antigen,ENSG00000198798,CTpedia;daSilva2017,False,False,Approved,False,False,epididymis; testis,0.2207,0.2207,0.2311,0.2311,ENST00000361644,False,False,False,False,False,protein_coding
MAGEB5,,,cancer-testis antigen,ENSG00000188408,CTpedia;daSilva2017,no data,no data,no data,False,False,no data,1.0,1.0,1.0,1.0,ENST00000602297,True,True,True,True,True,protein_coding
MAGEB6B,,,cancer-testis antigen,ENSG00000232030,CTpedia,no data,no data,no data,False,False,no data,1.0,1.0,1.0,1.0,ENST00000416929,True,True,True,True,True,protein_coding
MAGEB16,,,cancer-testis antigen,ENSG00000189023,CTpedia;CTexploreR_CT;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000399988,True,True,True,True,True,protein_coding
MAGEB18,,,cancer-testis antigen,ENSG00000176774,CTpedia;daSilva2017,True,False,Enhanced,False,False,testis,1.0,1.0,1.0,1.0,ENST00000325250,True,True,True,True,True,protein_coding
MAGEC1,,,cancer-testis antigen,ENSG00000155495,CTpedia;CTexploreR_CT;daSilva2017,True,False,Enhanced,True,False,testis,0.9861,0.9861,1.0,1.0,ENST00000285879,True,True,True,True,True,protein_coding
MAGEC2,,,cancer-testis antigen,ENSG00000046774,CTpedia;CTexploreR_CT;daSilva2017,True,False,Enhanced,True,False,testis,1.0,1.0,1.0,1.0,ENST00000247452,True,True,True,True,True,protein_coding
DAZ1,,,cancer-testis antigen,ENSG00000188120,CTpedia;daSilva2017,True,False,Supported,True,False,testis,0.9091,0.9091,1.0,1.0,ENST00000405239,True,True,True,True,True,protein_coding
DAZ3,,,cancer-testis antigen,ENSG00000187191,CTpedia;daSilva2017,True,False,Approved,True,False,testis,0.6087,0.6087,1.0,1.0,ENST00000446723,True,True,True,True,True,protein_coding
DAZL,,,cancer-testis antigen,ENSG00000092345,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,0.9664,0.9664,1.0,1.0,ENST00000454457,True,True,True,True,True,protein_coding
BSPH1,,,cancer-testis antigen,ENSG00000188334,CTpedia;daSilva2017,False,False,Enhanced,False,False,epididymis,0.0,0.0,0.0026,0.0026,ENST00000344839,False,False,False,False,False,protein_coding
SPAG11A,,,cancer-testis antigen,ENSG00000178287,CTpedia;daSilva2017,False,False,Supported,False,False,epididymis,0.0,0.0,0.0002,0.0002,ENST00000528033,False,False,False,False,False,protein_coding
