Symbol,Ensembl_Gene_ID,Full_Name,Category,Reference
SUMO2,ENSG00000188612,SUMO2,Core,PMID:25613900;PMID:23810203
ARF1,ENSG00000143761,ARF1,Core,PMID:25613900;PMID:23810203
HNRNPC,ENSG00000092199,HNRNPC,Core,PMID:25613900;PMID:23810203
HNRNPDL,ENSG00000152795,HNRNPDL,Core,PMID:25613900;PMID:23810203
RHOA,ENSG00000067560,RHOA,Core,PMID:25613900;PMID:23810203
EIF4G2,ENSG00000110321,EIF4G2,Core,PMID:25613900;PMID:23810203
NCL,ENSG00000115053,NCL,Core,PMID:25613900;PMID:23810203
PFDN5,ENSG00000123349,PFDN5,Core,PMID:25613900;PMID:23810203
HNRNPK,ENSG00000165119,HNRNPK,Core,PMID:25613900;PMID:23810203
MORF4L1,ENSG00000185787,MORF4L1,Core,PMID:25613900;PMID:23810203
CIRBP,ENSG00000099622,CIRBP,Core,PMID:25613900;PMID:23810203
SRP14,ENSG00000140319,SRP14,Core,PMID:25613900;PMID:23810203
GABARAP,ENSG00000170296,GABARAP,Core,PMID:25613900;PMID:23810203
PCBP2,ENSG00000197111,PCBP2,Core,PMID:25613900;PMID:23810203
MYL12B,ENSG00000118680,MYL12B,Core,PMID:25613900;PMID:23810203
CAPNS1,ENSG00000126247,CAPNS1,Core,PMID:25613900;PMID:23810203
RAN,ENSG00000132341,RAN,Core,PMID:25613900;PMID:23810203
HSP90AB1,ENSG00000096384,HSP90AB1,Core,PMID:25613900;PMID:23810203
SNRPD2,ENSG00000125743,SNRPD2,Core,PMID:25613900;PMID:23810203
PSAP,ENSG00000197746,PSAP,Core,PMID:25613900;PMID:23810203
UBL5,ENSG00000198258,UBL5,Core,PMID:25613900;PMID:23810203
BTF3,ENSG00000145741,BTF3,Core,PMID:25613900;PMID:23810203
MRFAP1,ENSG00000179010,MRFAP1,Core,PMID:25613900;PMID:23810203
UBB,ENSG00000170315,UBB,Core,PMID:25613900;PMID:23810203
ATF4,ENSG00000128272,ATF4,Core,PMID:25613900;PMID:23810203
EEF1A1,ENSG00000156508,EEF1A1,Core,PMID:25613900;PMID:23810203
CFL1,ENSG00000172757,CFL1,Core,PMID:25613900;PMID:23810203
PARK7,ENSG00000116288,PARK7,Core,PMID:25613900;PMID:23810203
HMGB1,ENSG00000189403,HMGB1,Core,PMID:25613900;PMID:23810203
COX7A2,ENSG00000112695,COX7A2,Core,PMID:25613900;PMID:23810203
