Symbol,Ensembl_Gene_ID
H1-0,ENSG00000189060
H1-1,ENSG00000124610
H1-10,ENSG00000184897
H1-10-AS1,ENSG00000206417
H1-12P,ENSG00000216331
H1-2,ENSG00000187837
H1-3,ENSG00000124575
H1-4,ENSG00000168298
H1-5,ENSG00000184357
H1-6,ENSG00000187475
H1-7,ENSG00000187166
H1-8,ENSG00000178804
H1-8P1,ENSG00000240265
H1-8P2,ENSG00000258566
H1-9P,ENSG00000188662
H2AC1,ENSG00000164508
H2AC10P,ENSG00000218690
H2AC11,ENSG00000196787
H2AC12,ENSG00000274997
H2AC13,ENSG00000196747
H2AC14,ENSG00000276368
H2AC15,ENSG00000275221
H2AC16,ENSG00000276903
H2AC17,ENSG00000278677
H2AC18,ENSG00000203812
H2AC18,ENSG00000288825
H2AC19,ENSG00000272196
H2AC19,ENSG00000288859
H2AC20,ENSG00000184260
H2AC21,ENSG00000184270
H2AC25,ENSG00000181218
H2AC2P,ENSG00000216436
H2AC3P,ENSG00000242387
H2AC4,ENSG00000278463
H2AC5P,ENSG00000234816
H2AC6,ENSG00000180573
H2AC7,ENSG00000196866
H2AC8,ENSG00000277075
H2AC9P,ENSG00000218281
H2ACP1,ENSG00000223383
H2ACP2,ENSG00000223951
H2BC1,ENSG00000146047
H2BC10,ENSG00000278588
H2BC11,ENSG00000124635
H2BC12,ENSG00000197903
H2BC12L,ENSG00000234289
H2BC13,ENSG00000185130
H2BC14,ENSG00000273703
H2BC15,ENSG00000233822
H2BC16P,ENSG00000217646
H2BC17,ENSG00000274641
H2BC18,ENSG00000203814
H2BC19P,ENSG00000220323
H2BC20P,ENSG00000261716
H2BC21,ENSG00000184678
H2BC26,ENSG00000196890
H2BC27P,ENSG00000181201
H2BC2P,ENSG00000178762
H2BC3,ENSG00000276410
H2BC4,ENSG00000180596
H2BC5,ENSG00000158373
H2BC6,ENSG00000274290
H2BC6-AS1,ENSG00000283064
H2BC7,ENSG00000277224
H2BC8,ENSG00000273802
H2BC9,ENSG00000275713
H3C1,ENSG00000275714
H3C10,ENSG00000278828
H3C11,ENSG00000275379
H3C12,ENSG00000197153
H3C13,ENSG00000183598
H3C14,ENSG00000203811
H3C15,ENSG00000203852
H3C2,ENSG00000286522
H3C3,ENSG00000287080
H3C4,ENSG00000197409
H3C5P,ENSG00000277720
H3C6,ENSG00000274750
H3C7,ENSG00000277775
H3C8,ENSG00000273983
H3C9P,ENSG00000220875
H4C1,ENSG00000278637
H4C10P,ENSG00000217862
H4C11,ENSG00000197238
H4C12,ENSG00000273542
H4C13,ENSG00000275126
H4C14,ENSG00000270882
H4C15,ENSG00000270276
H4C16,ENSG00000197837
H4C2,ENSG00000278705
H4C3,ENSG00000197061
H4C4,ENSG00000277157
H4C5,ENSG00000276966
H4C6,ENSG00000274618
H4C7,ENSG00000275663
H4C8,ENSG00000158406
H4C9,ENSG00000276180
HIST1H1A,ENSG00000124610
HIST1H1B,ENSG00000184357
HIST1H1C,ENSG00000187837
HIST1H1D,ENSG00000124575
HIST1H1E,ENSG00000168298
HIST1H1PS1,ENSG00000216331
HIST1H1PS2,ENSG00000224447
HIST1H1T,ENSG00000187475
HIST1H2AA,ENSG00000164508
HIST1H2AB,ENSG00000278463
HIST1H2AC,ENSG00000180573
HIST1H2AD,ENSG00000196866
HIST1H2AE,ENSG00000277075
HIST1H2AG,ENSG00000196787
HIST1H2AH,ENSG00000274997
HIST1H2AI,ENSG00000196747
HIST1H2AJ,ENSG00000276368
HIST1H2AK,ENSG00000275221
HIST1H2AL,ENSG00000276903
HIST1H2AM,ENSG00000278677
HIST1H2APS1,ENSG00000216436
HIST1H2APS2,ENSG00000242387
HIST1H2APS3,ENSG00000218281
HIST1H2APS4,ENSG00000218690
HIST1H2APS5,ENSG00000234816
HIST1H2APS6,ENSG00000223383
HIST1H2BA,ENSG00000146047
HIST1H2BB,ENSG00000276410
HIST1H2BC,ENSG00000180596
HIST1H2BD,ENSG00000158373
HIST1H2BE,ENSG00000274290
HIST1H2BF,ENSG00000277224
HIST1H2BG,ENSG00000273802
HIST1H2BH,ENSG00000275713
HIST1H2BI,ENSG00000278588
HIST1H2BJ,ENSG00000124635
HIST1H2BK,ENSG00000197903
HIST1H2BL,ENSG00000185130
HIST1H2BM,ENSG00000273703
HIST1H2BN,ENSG00000233822
HIST1H2BO,ENSG00000274641
HIST1H2BPS1,ENSG00000178762
HIST1H2BPS2,ENSG00000217646
HIST1H2BPS3,ENSG00000226908
HIST1H3A,ENSG00000275714
HIST1H3B,ENSG00000274267
HIST1H3B,ENSG00000286522
HIST1H3C,ENSG00000278272
HIST1H3C,ENSG00000287080
HIST1H3D,ENSG00000197409
HIST1H3E,ENSG00000274750
HIST1H3F,ENSG00000277775
HIST1H3G,ENSG00000273983
HIST1H3H,ENSG00000278828
HIST1H3I,ENSG00000275379
HIST1H3J,ENSG00000197153
HIST1H3PS1,ENSG00000220875
HIST1H4A,ENSG00000278637
HIST1H4B,ENSG00000278705
HIST1H4C,ENSG00000197061
HIST1H4D,ENSG00000277157
HIST1H4E,ENSG00000276966
HIST1H4F,ENSG00000274618
HIST1H4G,ENSG00000275663
HIST1H4H,ENSG00000158406
HIST1H4I,ENSG00000276180
HIST1H4J,ENSG00000197238
HIST1H4K,ENSG00000273542
HIST1H4L,ENSG00000275126
HIST1H4PS1,ENSG00000217862
HIST2H2AA3,ENSG00000203812
HIST2H2AA4,ENSG00000203812
HIST2H2AA4,ENSG00000272196
HIST2H2AB,ENSG00000184270
HIST2H2AC,ENSG00000184260
HIST2H2BA,ENSG00000223345
HIST2H2BB,ENSG00000240929
HIST2H2BC,ENSG00000203819
HIST2H2BC,ENSG00000261716
HIST2H2BD,ENSG00000220323
HIST2H2BE,ENSG00000184678
HIST2H2BF,ENSG00000203814
HIST2H3A,ENSG00000203852
HIST2H3C,ENSG00000203811
HIST2H3D,ENSG00000183598
HIST2H3DP1,ENSG00000213244
HIST2H3PS2,ENSG00000203818
HIST2H3PS2,ENSG00000273213
HIST2H4A,ENSG00000270882
HIST2H4B,ENSG00000270276
HIST3H2A,ENSG00000181218
HIST3H2BA,ENSG00000181201
HIST3H2BB,ENSG00000196890
HIST3H3,ENSG00000168148
HIST4H4,ENSG00000197837
