alt_haplotype_id,primary_contig_id,symbol,source
ENSG00000196661,ENSG00000284609,,ensembl_archive_replacement
ENSG00000204293,ENSG00000284609,,ensembl_archive_replacement
ENSG00000273547,ENSG00000284662,,ensembl_archive_replacement
ENSG00000244207,ENSG00000224389,C4B,ensembl_rest_lookup
ENSG00000227746,ENSG00000224389,C4B,ensembl_rest_lookup
ENSG00000206340,ENSG00000224389,C4B,ensembl_rest_lookup
ENSG00000228267,ENSG00000224389,C4B,ensembl_rest_lookup
ENSG00000236625,ENSG00000224389,C4B,ensembl_rest_lookup
ENSG00000228454,ENSG00000224389,C4B,ensembl_rest_lookup
ENSG00000224639,ENSG00000224389,C4B,ensembl_rest_lookup
ENSG00000198457,ENSG00000231852,CYP21A2,ensembl_rest_lookup
ENSG00000232414,ENSG00000231852,CYP21A2,ensembl_rest_lookup
ENSG00000206338,ENSG00000231852,CYP21A2,ensembl_rest_lookup
ENSG00000235134,ENSG00000231852,CYP21A2,ensembl_rest_lookup
ENSG00000233151,ENSG00000231852,CYP21A2,ensembl_rest_lookup
ENSG00000137332,ENSG00000204580,DDR1,ensembl_rest_lookup
ENSG00000229767,ENSG00000204580,DDR1,ensembl_rest_lookup
ENSG00000230456,ENSG00000204580,DDR1,ensembl_rest_lookup
ENSG00000223680,ENSG00000204580,DDR1,ensembl_rest_lookup
ENSG00000215522,ENSG00000204580,DDR1,ensembl_rest_lookup
ENSG00000234078,ENSG00000204580,DDR1,ensembl_rest_lookup
ENSG00000231834,ENSG00000206503,HLA-A,ensembl_rest_lookup
ENSG00000235657,ENSG00000206503,HLA-A,ensembl_rest_lookup
ENSG00000223980,ENSG00000206503,HLA-A,ensembl_rest_lookup
ENSG00000224320,ENSG00000206503,HLA-A,ensembl_rest_lookup
ENSG00000229215,ENSG00000206503,HLA-A,ensembl_rest_lookup
ENSG00000206505,ENSG00000206503,HLA-A,ensembl_rest_lookup
ENSG00000227715,ENSG00000206503,HLA-A,ensembl_rest_lookup
ENSG00000223532,ENSG00000234745,HLA-B,ensembl_rest_lookup
ENSG00000224608,ENSG00000234745,HLA-B,ensembl_rest_lookup
ENSG00000232126,ENSG00000234745,HLA-B,ensembl_rest_lookup
ENSG00000206450,ENSG00000234745,HLA-B,ensembl_rest_lookup
ENSG00000228964,ENSG00000234745,HLA-B,ensembl_rest_lookup
ENSG00000228299,ENSG00000204525,HLA-C,ensembl_rest_lookup
ENSG00000225691,ENSG00000204525,HLA-C,ensembl_rest_lookup
ENSG00000206435,ENSG00000204525,HLA-C,ensembl_rest_lookup
ENSG00000237022,ENSG00000204525,HLA-C,ensembl_rest_lookup
ENSG00000206452,ENSG00000204525,HLA-C,ensembl_rest_lookup
ENSG00000233841,ENSG00000204525,HLA-C,ensembl_rest_lookup
ENSG00000239463,ENSG00000204257,HLA-DMA,ensembl_rest_lookup
ENSG00000243215,ENSG00000204257,HLA-DMA,ensembl_rest_lookup
ENSG00000243189,ENSG00000204257,HLA-DMA,ensembl_rest_lookup
ENSG00000243719,ENSG00000204257,HLA-DMA,ensembl_rest_lookup
ENSG00000242685,ENSG00000204257,HLA-DMA,ensembl_rest_lookup
ENSG00000241394,ENSG00000204257,HLA-DMA,ensembl_rest_lookup
ENSG00000242361,ENSG00000204257,HLA-DMA,ensembl_rest_lookup
ENSG00000226264,ENSG00000242574,HLA-DMB,ensembl_rest_lookup
ENSG00000242386,ENSG00000242574,HLA-DMB,ensembl_rest_lookup
ENSG00000242092,ENSG00000242574,HLA-DMB,ensembl_rest_lookup
ENSG00000241674,ENSG00000242574,HLA-DMB,ensembl_rest_lookup
ENSG00000234154,ENSG00000242574,HLA-DMB,ensembl_rest_lookup
ENSG00000239329,ENSG00000242574,HLA-DMB,ensembl_rest_lookup
ENSG00000241296,ENSG00000242574,HLA-DMB,ensembl_rest_lookup
ENSG00000235744,ENSG00000204252,HLA-DOA,ensembl_rest_lookup
ENSG00000206292,ENSG00000204252,HLA-DOA,ensembl_rest_lookup
ENSG00000230141,ENSG00000204252,HLA-DOA,ensembl_rest_lookup
ENSG00000232957,ENSG00000204252,HLA-DOA,ensembl_rest_lookup
ENSG00000232962,ENSG00000204252,HLA-DOA,ensembl_rest_lookup
ENSG00000231558,ENSG00000204252,HLA-DOA,ensembl_rest_lookup
ENSG00000239457,ENSG00000241106,HLA-DOB,ensembl_rest_lookup
ENSG00000241386,ENSG00000241106,HLA-DOB,ensembl_rest_lookup
ENSG00000241910,ENSG00000241106,HLA-DOB,ensembl_rest_lookup
ENSG00000243612,ENSG00000241106,HLA-DOB,ensembl_rest_lookup
ENSG00000243496,ENSG00000241106,HLA-DOB,ensembl_rest_lookup
ENSG00000229685,ENSG00000231389,HLA-DPA1,ensembl_rest_lookup
ENSG00000235844,ENSG00000231389,HLA-DPA1,ensembl_rest_lookup
ENSG00000236177,ENSG00000231389,HLA-DPA1,ensembl_rest_lookup
ENSG00000168384,ENSG00000231389,HLA-DPA1,ensembl_rest_lookup
ENSG00000206291,ENSG00000231389,HLA-DPA1,ensembl_rest_lookup
ENSG00000224103,ENSG00000231389,HLA-DPA1,ensembl_rest_lookup
ENSG00000228163,ENSG00000231389,HLA-DPA1,ensembl_rest_lookup
ENSG00000215048,ENSG00000223865,HLA-DPB1,ensembl_rest_lookup
ENSG00000237710,ENSG00000223865,HLA-DPB1,ensembl_rest_lookup
ENSG00000226826,ENSG00000223865,HLA-DPB1,ensembl_rest_lookup
ENSG00000236693,ENSG00000223865,HLA-DPB1,ensembl_rest_lookup
ENSG00000229295,ENSG00000223865,HLA-DPB1,ensembl_rest_lookup
ENSG00000230763,ENSG00000223865,HLA-DPB1,ensembl_rest_lookup
ENSG00000230708,ENSG00000223865,HLA-DPB1,ensembl_rest_lookup
ENSG00000232062,ENSG00000237541,HLA-DQA1,ensembl_rest_lookup
ENSG00000228284,ENSG00000237541,HLA-DQA1,ensembl_rest_lookup
ENSG00000225890,ENSG00000237541,HLA-DQA1,ensembl_rest_lookup
ENSG00000236418,ENSG00000237541,HLA-DQA1,ensembl_rest_lookup
ENSG00000206305,ENSG00000237541,HLA-DQA1,ensembl_rest_lookup
ENSG00000223793,ENSG00000237541,HLA-DQA2,ensembl_rest_lookup
ENSG00000257473,ENSG00000237541,HLA-DQA2,ensembl_rest_lookup
ENSG00000225103,ENSG00000237541,HLA-DQA2,ensembl_rest_lookup
ENSG00000206301,ENSG00000237541,HLA-DQA2,ensembl_rest_lookup
ENSG00000231823,ENSG00000237541,HLA-DQA2,ensembl_rest_lookup
ENSG00000233192,ENSG00000237541,HLA-DQA2,ensembl_rest_lookup
ENSG00000231526,ENSG00000237541,HLA-DQA2,ensembl_rest_lookup
ENSG00000231939,ENSG00000179344,HLA-DQB1,ensembl_rest_lookup
ENSG00000233209,ENSG00000179344,HLA-DQB1,ensembl_rest_lookup
ENSG00000231286,ENSG00000179344,HLA-DQB1,ensembl_rest_lookup
ENSG00000206302,ENSG00000179344,HLA-DQB1,ensembl_rest_lookup
ENSG00000206237,ENSG00000179344,HLA-DQB1,ensembl_rest_lookup
ENSG00000225824,ENSG00000179344,HLA-DQB1,ensembl_rest_lookup
ENSG00000228813,ENSG00000232629,HLA-DQB2,ensembl_rest_lookup
ENSG00000226165,ENSG00000232629,HLA-DQB2,ensembl_rest_lookup
ENSG00000229493,ENSG00000232629,HLA-DQB2,ensembl_rest_lookup
ENSG00000230675,ENSG00000232629,HLA-DQB2,ensembl_rest_lookup
ENSG00000228254,ENSG00000232629,HLA-DQB2,ensembl_rest_lookup
ENSG00000196610,ENSG00000232629,HLA-DQB2,ensembl_rest_lookup
ENSG00000224305,ENSG00000232629,HLA-DQB2,ensembl_rest_lookup
ENSG00000234794,ENSG00000204287,HLA-DRA,ensembl_rest_lookup
ENSG00000227993,ENSG00000204287,HLA-DRA,ensembl_rest_lookup
ENSG00000277263,ENSG00000204287,HLA-DRA,ensembl_rest_lookup
ENSG00000228987,ENSG00000204287,HLA-DRA,ensembl_rest_lookup
ENSG00000230726,ENSG00000204287,HLA-DRA,ensembl_rest_lookup
ENSG00000226260,ENSG00000204287,HLA-DRA,ensembl_rest_lookup
