Ensembl_Gene_ID,Symbol,cancer_types,num_cancer_types,max_FPKM,SM_category,TDL_category,DRUG
ENSG00000184408,KCND2,LGG,1,11.4104,Clinical_Precedence,Tclin,
ENSG00000169760,NLGN1,LGG,1,10.58,Discovery_Precedence,Tbio,
ENSG00000149403,GRIK4,LGG,1,8.86019,Clinical_Precedence,Tclin,
ENSG00000121594,CD80,DLBC,1,7.31979,Unknown,Tclin,
ENSG00000177839,PCDHB9,LGG,1,7.31016,Unknown,Tdark,
ENSG00000137571,SLCO5A1,THYM,1,7.13987,Unknown,Tdark,
ENSG00000072571,HMMR,LAML,1,6.59001,Unknown,Tbio,
ENSG00000179603,GRM8,READ,1,5.82013,Discovery_Precedence,Tchem,
ENSG00000165349,SLC7A3,THYM,1,5.53982,Unknown,Tbio,
ENSG00000169684,CHRNA5,BLCA,1,5.16018,Clinical_Precedence,Tbio,
ENSG00000242419,PCDHGC4,GBM,1,4.99994,,Tdark,
ENSG00000134207,SYT6,LGG,1,4.40998,Unknown,Tbio,
ENSG00000027644,INSRR,PCPG,1,3.89988,Discovery_Precedence,Tchem,
ENSG00000166736,HTR3A,DLBC,1,3.75996,Clinical_Precedence,Tclin,
ENSG00000197046,SIGLEC15,DLBC,1,3.54011,Unknown,Tbio,
ENSG00000112077,RHAG,LAML,1,3.31008,Unknown,Tbio,
ENSG00000116014,KISS1R,KIRC,1,3.25997,Discovery_Precedence,Tchem,
ENSG00000162723,SLAMF9,LUSC,1,1.48003,Unknown,Tdark,
ENSG00000177398,UMODL1,LAML,1,1.28003,Unknown,Tdark,
