cancer_code,matched_normal_tissue,symbol,ensembl_gene_id,fold_change_vs_matched_normal,tumor_tpm,matched_normal_ntpm,max_any_normal_ntpm
PAAD,pancreas,FOXL1,ENSG00000176678,31.9,6.28,0.1,4.1
PRAD,prostate,OTOP1,ENSG00000163982,70.2,6.92,0.0,0.2
PRAD,prostate,ANKRD34C,ENSG00000235711,58.8,5.78,0.0,2.8
PRAD,prostate,H4C8,ENSG00000158406,30.03,17.92,0.5,2.3
PRAD,prostate,CSKMT,ENSG00000214756,20.38,8.05,0.3,0.8
PRAD,prostate,LY6G5C,ENSG00000204428,18.7,7.38,0.3,2.5
PRAD,prostate,MTHFD2L,ENSG00000163738,13.44,14.68,1.0,5.0
READ,rectum,DAZ3,ENSG00000187191,179.8,17.88,0.0,1.4
READ,rectum,MAGEA2,ENSG00000268606,93.8,9.28,0.0,4.1
READ,rectum,GRIN2D,ENSG00000105464,83.0,8.2,0.0,4.5
READ,rectum,CSAG2,ENSG00000268902,77.8,7.68,0.0,1.0
READ,rectum,MAGEA2B,ENSG00000183305,72.8,7.18,0.0,1.9
STAD,stomach,CT45A9,ENSG00000270946,210.7,20.97,0.0,0.8
STAD,stomach,KRTAP1-4,ENSG00000204887,129.9,12.89,0.0,1.2
STAD,stomach,DAZ1,ENSG00000188120,50.77,15.13,0.2,2.0
STAD,stomach,GRIN2D,ENSG00000105464,32.9,9.77,0.2,4.5
STAD,stomach,DAZ3,ENSG00000187191,13.8,9.56,0.6,1.4
THCA,thyroid_gland,DCSTAMP,ENSG00000164935,1207.9,120.69,0.0,3.7
THCA,thyroid_gland,RTL4,ENSG00000187823,31.65,6.23,0.1,0.9
THCA,thyroid_gland,CSKMT,ENSG00000214756,18.83,5.55,0.2,0.8
THCA,thyroid_gland,HMGA2,ENSG00000149948,14.44,10.01,0.6,4.8
THCA,thyroid_gland,MTHFD2L,ENSG00000163738,11.28,10.05,0.8,5.0
