Ensembl_Gene_ID,Symbol,qc_group,qc_label,ensembl_releases,biotypes
ENSG00000256618,MTRNR2L1,rrna_like,rRNA-like,77;78;79;80;81;83;87;93;97;103;105,protein_coding
ENSG00000256045,MTRNR2L10,rrna_like,rRNA-like,77;78;79;80;81;83;87;93;97;103;105,protein_coding
ENSG00000270188,MTRNR2L11,rrna_like,rRNA-like,77;78;79;80;81;83;87;93;97;103;105,protein_coding
ENSG00000269028,MTRNR2L12,rrna_like,rRNA-like,77;78;79;80;81;83;87;93;97;103;105,protein_coding
ENSG00000270394,MTRNR2L13,rrna_like,rRNA-like,77;78;79;80;81;83;87;93;97;103;105,protein_coding
ENSG00000271043,MTRNR2L2,rrna_like,rRNA-like,77;78;79;80;81;83;87;93;97;103;105,processed_pseudogene
ENSG00000256222,MTRNR2L3,rrna_like,rRNA-like,77;78;79;80;81;83;87;93;97;103;105,protein_coding
ENSG00000232196,MTRNR2L4,rrna_like,rRNA-like,77;78;79;80;81;83;87;93;97;103;105,protein_coding
ENSG00000249860,MTRNR2L5,rrna_like,rRNA-like,77;78;79;80;81;83;87;93;97;103;105,protein_coding
ENSG00000270672,MTRNR2L6,rrna_like,rRNA-like,77;78;79;80;81;83;87;93;97;103;105,protein_coding
ENSG00000282017,MTRNR2L6,rrna_like,rRNA-like,81,protein_coding
ENSG00000256892,MTRNR2L7,rrna_like,rRNA-like,77;78;79;80;81;83;87;93;97;103;105,protein_coding
ENSG00000255823,MTRNR2L8,rrna_like,rRNA-like,77;78;79;80;81;83;87;93;97;103;105,protein_coding
ENSG00000255633,MTRNR2L9,rrna_like,rRNA-like,77;78;79;80;81;83;87;93;97;103;105,processed_pseudogene;protein_coding
ENSG00000226958,RNA28S5,rrna_like,28S rRNA-like,77;78,processed_pseudogene
ENSG00000225840,RNA45S5,rrna_like,45S pre-rRNA-like,77;78,processed_pseudogene
ENSG00000200434,RNA5-8SP2,rrna_like,5.8S rRNA pseudogene,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,rRNA;rRNA_pseudogene
ENSG00000201227,RNA5-8SP3,rrna_like,5.8S rRNA pseudogene,77;78;79;80;81;83,rRNA
ENSG00000201966,RNA5-8SP4,rrna_like,5.8S rRNA pseudogene,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,rRNA;rRNA_pseudogene
ENSG00000202174,RNA5-8SP5,rrna_like,5.8S rRNA pseudogene,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,rRNA;rRNA_pseudogene
ENSG00000251705,RNA5-8SP6,rrna_like,5.8S rRNA pseudogene,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,rRNA;rRNA_pseudogene
ENSG00000200313,RNA5-8SP7,rrna_like,5.8S rRNA pseudogene,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,rRNA;rRNA_pseudogene
ENSG00000199352,RNA5S1,rrna_like,5S rRNA-like,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,rRNA
ENSG00000199910,RNA5S10,rrna_like,5S rRNA-like,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,rRNA
ENSG00000199334,RNA5S11,rrna_like,5S rRNA-like,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,rRNA
ENSG00000199270,RNA5S12,rrna_like,5S rRNA-like,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,rRNA
ENSG00000202526,RNA5S13,rrna_like,5S rRNA-like,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,rRNA
ENSG00000201355,RNA5S14,rrna_like,5S rRNA-like,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,rRNA
ENSG00000201925,RNA5S15,rrna_like,5S rRNA-like,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,rRNA
ENSG00000202257,RNA5S16,rrna_like,5S rRNA-like,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,rRNA
ENSG00000200370,RNA5S17,rrna_like,5S rRNA-like,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,rRNA
ENSG00000201588,RNA5S2,rrna_like,5S rRNA-like,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,rRNA
ENSG00000199337,RNA5S3,rrna_like,5S rRNA-like,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,rRNA
ENSG00000200381,RNA5S4,rrna_like,5S rRNA-like,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,rRNA
ENSG00000199396,RNA5S5,rrna_like,5S rRNA-like,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,rRNA
ENSG00000200624,RNA5S6,rrna_like,5S rRNA-like,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,rRNA
ENSG00000202521,RNA5S7,rrna_like,5S rRNA-like,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,rRNA
ENSG00000200343,RNA5S8,rrna_like,5S rRNA-like,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,rRNA
ENSG00000201321,RNA5S9,rrna_like,5S rRNA-like,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,rRNA
