Symbol,Ensembl_Gene_ID,Category
HSPA1A,ENSG00000204389,HSP
HSPA1B,ENSG00000204388,HSP
HSP90AA1,ENSG00000080824,HSP
HSPA6,ENSG00000173110,HSP
HSPB1,ENSG00000106211,HSP
HSPA5,ENSG00000044574,HSP
LDHA,ENSG00000134333,glycolysis
HK2,ENSG00000159399,glycolysis
SLC2A1,ENSG00000117394,glycolysis
PKM,ENSG00000067225,glycolysis
ENO1,ENSG00000074800,glycolysis
TOP2A,ENSG00000131747,proliferation
MKI67,ENSG00000148773,proliferation
CDK1,ENSG00000170312,proliferation
CCNB1,ENSG00000134057,proliferation
AURKA,ENSG00000087586,proliferation
DDIT3,ENSG00000175197,ER_stress
ATF4,ENSG00000128272,ER_stress
XBP1,ENSG00000100219,ER_stress
TXNRD1,ENSG00000198431,oxidative_stress
NQO1,ENSG00000181019,oxidative_stress
GLS,ENSG00000115419,glutamine
SLC1A5,ENSG00000105281,glutamine
