Ensembl_Gene_ID,Symbol,qc_group,qc_label,ensembl_releases,biotypes
ENSG00000228025,MTCO3P1,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,77;78;79;80;81,unprocessed_pseudogene
ENSG00000228845,MTCO3P1,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,77;78;79;80;81,unprocessed_pseudogene
ENSG00000229710,MTCO3P1,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,77;78;79;80;81,unprocessed_pseudogene
ENSG00000233317,MTCO3P1,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,77;78;79;80;81,unprocessed_pseudogene
ENSG00000235040,MTCO3P1,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000236629,MTCO3P1,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,77;78;79;80;81,unprocessed_pseudogene
ENSG00000237145,MTCO3P1,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,77;78;79;80;81,unprocessed_pseudogene
ENSG00000231537,MTCO3P10,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000237711,MTCO3P11,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000198744,MTCO3P12,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000264316,MTCO3P13,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000254895,MTCO3P15,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000227736,MTCO3P16,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000237542,MTCO3P17,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000227661,MTCO3P18,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000224471,MTCO3P19,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000232102,MTCO3P2,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000225557,MTCO3P20,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000232752,MTCO3P21,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000270388,MTCO3P22,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000259651,MTCO3P23,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000262158,MTCO3P24,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000251430,MTCO3P27,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000248328,MTCO3P28,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000228069,MTCO3P29,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000229080,MTCO3P30,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000217044,MTCO3P31,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000242836,MTCO3P35,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000242456,MTCO3P38,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000268736,MTCO3P39,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000228851,MTCO3P4,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000228046,MTCO3P40,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000237466,MTCO3P41,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000268391,MTCO3P42,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000227788,MTCO3P43,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000248654,MTCO3P44,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000232128,MTCO3P45,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000235761,MTCO3P46,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000239568,MTCO3P47,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,110;111;112;114,processed_pseudogene
ENSG00000225476,MTCO3P5,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000249997,MTCO3P7,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000233385,MTCO3P8,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000249698,MTCO3P9,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000234179,MTCYBP1,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000233285,MTCYBP10,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000224288,MTCYBP11,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000226313,MTCYBP12,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000266529,MTCYBP13,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000238236,MTCYBP14,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000232154,MTCYBP15,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000251385,MTCYBP16,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000249247,MTCYBP17,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000244921,MTCYBP18,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000253504,MTCYBP19,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000217179,MTCYBP2,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000254118,MTCYBP20,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000224747,MTCYBP21,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene;transcribed_processed_pseudogene
ENSG00000270232,MTCYBP22,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000259671,MTCYBP23,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000236232,MTCYBP24,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,transcribed_unprocessed_pseudogene;unprocessed_pseudogene
ENSG00000259012,MTCYBP27,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000260161,MTCYBP28,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000224880,MTCYBP29,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000232373,MTCYBP3,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
