Symbol,reference_tpm
MT-ATP6,9633.8721
MT-ATP8,12554.3487
MT-CO1,12795.9531
MT-CO2,11042.6626
MT-CO3,11687.56
MT-CYB,5106.4316
MT-ND1,4664.4774
MT-ND2,5757.53
MT-ND3,6924.66
MT-ND4,8582.6025
MT-ND4L,5780.1809
MT-ND5,1726.6974
MT-ND6,2741.0236
MT-RNR1,1502.4478
MT-RNR2,5174.486
MT-TA,0.0
MT-TC,0.0
MT-TD,0.0
MT-TE,0.0
MT-TF,0.0
MT-TG,0.0
MT-TH,0.0
MT-TI,0.0
MT-TK,0.0
MT-TL1,0.0
MT-TL2,0.0
MT-TM,0.0
MT-TN,0.0
MT-TP,0.0
MT-TQ,0.0
MT-TR,0.0
MT-TS1,0.0
MT-TS2,0.0
MT-TT,0.0
MT-TV,0.0
MT-TW,0.0
MT-TY,0.0
MTATP6P1,1254.2412
MTATP6P2,0.0
MTATP6P3,0.0
MTATP6P4,0.0
MTATP6P7,0.0
MTATP6P9,0.0
MTATP8P1,0.8301
MTATP8P2,0.0
MTCO1P3,0.0
MTCO1P4,0.0
MTCO1P5,0.0
MTCO2P1,0.0
MTCO2P3,0.0
MTCO2P4,0.0
MTCO3P1,0.0
MTCO3P2,0.0
MTCYBP1,0.0
MTCYBP2,0.0
MTCYBP3,0.0
MTCYBP4,0.0
MTND1P1,0.0
MTND1P10,0.0
MTND1P11,0.0
MTND1P12,0.0
MTND1P14,0.0
MTND1P15,0.0
MTND1P16,0.0
MTND1P17,0.0
MTND1P18,0.0
MTND1P19,0.0
MTND1P2,0.0
MTND1P20,0.0
MTND1P21,0.0
MTND1P22,0.0
MTND1P23,6.5102
MTND1P24,0.0
MTND1P26,0.0
MTND1P27,0.0
MTND1P28,0.0
MTND1P29,0.0
MTND1P3,0.0
MTND1P30,0.0
MTND1P31,0.0
MTND1P32,0.0
MTND1P33,0.0
MTND1P34,0.0
MTND1P35,0.0
MTND1P36,0.0
MTND1P4,0.0
MTND1P5,0.0
MTND1P6,0.0
