Symbol,Ensembl_Gene_ID
MTRNR2L1,ENSG00000256618
MTRNR2L10,ENSG00000256045
MTRNR2L11,ENSG00000270188
MTRNR2L12,ENSG00000269028
MTRNR2L13,ENSG00000270394
MTRNR2L2,ENSG00000271043
MTRNR2L3,ENSG00000256222
MTRNR2L4,ENSG00000232196
MTRNR2L5,ENSG00000249860
MTRNR2L6,ENSG00000270672
MTRNR2L6,ENSG00000282017
MTRNR2L7,ENSG00000256892
MTRNR2L8,ENSG00000255823
MTRNR2L9,ENSG00000255633
RNA28S5,ENSG00000226958
RNA45S5,ENSG00000225840
RNA5-8SP2,ENSG00000200434
RNA5-8SP3,ENSG00000201227
RNA5-8SP4,ENSG00000201966
RNA5-8SP5,ENSG00000202174
RNA5-8SP6,ENSG00000251705
RNA5-8SP7,ENSG00000200313
RNA5S1,ENSG00000199352
RNA5S10,ENSG00000199910
RNA5S11,ENSG00000199334
RNA5S12,ENSG00000199270
RNA5S13,ENSG00000202526
RNA5S14,ENSG00000201355
RNA5S15,ENSG00000201925
RNA5S16,ENSG00000202257
RNA5S17,ENSG00000200370
RNA5S2,ENSG00000201588
RNA5S3,ENSG00000199337
RNA5S4,ENSG00000200381
RNA5S5,ENSG00000199396
RNA5S6,ENSG00000200624
RNA5S7,ENSG00000202521
RNA5S8,ENSG00000200343
RNA5S9,ENSG00000201321
RNA5SP100,ENSG00000222835
RNA5SP101,ENSG00000252845
RNA5SP102,ENSG00000252674
RNA5SP103,ENSG00000238379
RNA5SP104,ENSG00000222921
RNA5SP105,ENSG00000212425
RNA5SP106,ENSG00000253083
RNA5SP107,ENSG00000223290
RNA5SP108,ENSG00000271924
RNA5SP109,ENSG00000212312
RNA5SP110,ENSG00000199508
RNA5SP111,ENSG00000223318
RNA5SP112,ENSG00000251746
RNA5SP113,ENSG00000222418
RNA5SP114,ENSG00000200650
RNA5SP115,ENSG00000223092
RNA5SP116,ENSG00000251941
RNA5SP117,ENSG00000202164
RNA5SP118,ENSG00000222317
RNA5SP119,ENSG00000199585
RNA5SP120,ENSG00000222832
RNA5SP121,ENSG00000252346
RNA5SP122,ENSG00000207186
RNA5SP123,ENSG00000200114
RNA5SP124,ENSG00000199609
RNA5SP125,ENSG00000201713
RNA5SP126,ENSG00000201962
RNA5SP127,ENSG00000222983
RNA5SP128,ENSG00000202175
RNA5SP129,ENSG00000222208
RNA5SP130,ENSG00000201301
RNA5SP131,ENSG00000202322
RNA5SP132,ENSG00000201595
RNA5SP133,ENSG00000200238
RNA5SP134,ENSG00000252301
RNA5SP135,ENSG00000252828
RNA5SP136,ENSG00000222838
RNA5SP136,ENSG00000280775
RNA5SP137,ENSG00000252642
RNA5SP138,ENSG00000201968
