Ensembl_Gene_ID,Symbol,qc_group,qc_label,ensembl_releases,biotypes
ENSG00000198899,MT-ATP6,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000228253,MT-ATP8,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000198804,MT-CO1,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000198712,MT-CO2,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000198938,MT-CO3,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000198727,MT-CYB,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000198888,MT-ND1,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000198763,MT-ND2,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000198840,MT-ND3,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000198886,MT-ND4,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000212907,MT-ND4L,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000198786,MT-ND5,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000198695,MT-ND6,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000211459,MT-RNR1,mt_dna,mitochondrial rRNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,Mt_rRNA
ENSG00000210082,MT-RNR2,mt_dna,mitochondrial rRNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,Mt_rRNA
ENSG00000210127,MT-TA,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,Mt_tRNA
ENSG00000210140,MT-TC,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,Mt_tRNA
ENSG00000210154,MT-TD,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,Mt_tRNA
ENSG00000210194,MT-TE,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,Mt_tRNA
ENSG00000210049,MT-TF,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,Mt_tRNA
ENSG00000210164,MT-TG,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,Mt_tRNA
ENSG00000210176,MT-TH,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,Mt_tRNA
ENSG00000210100,MT-TI,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,Mt_tRNA
ENSG00000210156,MT-TK,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,Mt_tRNA
ENSG00000209082,MT-TL1,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,Mt_tRNA
ENSG00000210191,MT-TL2,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,Mt_tRNA
ENSG00000210112,MT-TM,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,Mt_tRNA
ENSG00000210135,MT-TN,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,Mt_tRNA
ENSG00000210196,MT-TP,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,Mt_tRNA
ENSG00000210107,MT-TQ,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,Mt_tRNA
ENSG00000210174,MT-TR,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,Mt_tRNA
ENSG00000210151,MT-TS1,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,Mt_tRNA
ENSG00000210184,MT-TS2,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,Mt_tRNA
ENSG00000210195,MT-TT,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,Mt_tRNA
ENSG00000210077,MT-TV,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,Mt_tRNA
ENSG00000210117,MT-TW,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,Mt_tRNA
ENSG00000210144,MT-TY,mt_dna,mitochondrial transcript,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,Mt_tRNA
