Ensembl_Gene_ID,Symbol,qc_group,qc_label,ensembl_releases,biotypes
ENSG00000189060,H1-0,histone,histone transcript,103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000124610,H1-1,histone,histone transcript,103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000184897,H1-10,histone,histone transcript,103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000206417,H1-10-AS1,histone,histone transcript,103;105;107;108;109;110;111;112;114,lncRNA
ENSG00000216331,H1-12P,histone,histone transcript,103;105;107;108;109;110;111;112;114,transcribed_unprocessed_pseudogene;unprocessed_pseudogene
ENSG00000187837,H1-2,histone,histone transcript,103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000124575,H1-3,histone,histone transcript,103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000168298,H1-4,histone,histone transcript,103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000184357,H1-5,histone,histone transcript,103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000187475,H1-6,histone,histone transcript,103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000187166,H1-7,histone,histone transcript,103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000178804,H1-8,histone,histone transcript,103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000240265,H1-8P1,histone,histone transcript,110;111;112;114,processed_pseudogene
ENSG00000258566,H1-8P2,histone,histone transcript,110;111;112;114,processed_pseudogene
ENSG00000188662,H1-9P,histone,histone transcript,103;105;107;108;109;110;111;112;114,transcribed_unitary_pseudogene
ENSG00000164508,H2AC1,histone,histone transcript,103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000218690,H2AC10P,histone,histone transcript,103;105;107;108;109;110;111;112;114,transcribed_unprocessed_pseudogene
ENSG00000196787,H2AC11,histone,histone transcript,103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000274997,H2AC12,histone,histone transcript,103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000196747,H2AC13,histone,histone transcript,103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000276368,H2AC14,histone,histone transcript,103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000275221,H2AC15,histone,histone transcript,103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000276903,H2AC16,histone,histone transcript,103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000278677,H2AC17,histone,histone transcript,103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000203812,H2AC18,histone,histone transcript,103,protein_coding
ENSG00000288825,H2AC18,histone,histone transcript,105;107;108;109;110;111;112;114,protein_coding
ENSG00000272196,H2AC19,histone,histone transcript,103,protein_coding
ENSG00000288859,H2AC19,histone,histone transcript,105;107;108;109;110;111;112;114,protein_coding
ENSG00000184260,H2AC20,histone,histone transcript,103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000184270,H2AC21,histone,histone transcript,103;105;107;108;109;110;111;112;114,protein_coding
