Ensembl_Gene_ID,Symbol,category
ENSG00000232687,RPL12P9,ribosomal_protein
ENSG00000167526,RPL13,ribosomal_protein
ENSG00000142541,RPL13A,ribosomal_protein
ENSG00000231301,RPL13AP,ribosomal_protein
ENSG00000206519,RPL13AP,ribosomal_protein
ENSG00000224053,RPL13AP,ribosomal_protein
ENSG00000224146,RPL13AP,ribosomal_protein
ENSG00000227961,RPL13AP,ribosomal_protein
ENSG00000230181,RPL13AP,ribosomal_protein
ENSG00000231190,RPL13AP,ribosomal_protein
ENSG00000270780,RPL13AP10,ribosomal_protein
ENSG00000229657,RPL13AP11,ribosomal_protein
ENSG00000236047,RPL13AP12,ribosomal_protein
ENSG00000213940,RPL13AP13,ribosomal_protein
ENSG00000242858,RPL13AP14,ribosomal_protein
ENSG00000216316,RPL13AP15,ribosomal_protein
ENSG00000226624,RPL13AP16,ribosomal_protein
ENSG00000231322,RPL13AP17,ribosomal_protein
ENSG00000293158,RPL13AP17,ribosomal_protein
ENSG00000241746,RPL13AP18,ribosomal_protein
ENSG00000228754,RPL13AP19,ribosomal_protein
ENSG00000244053,RPL13AP2,ribosomal_protein
ENSG00000234498,RPL13AP20,ribosomal_protein
ENSG00000239397,RPL13AP21,ribosomal_protein
ENSG00000243517,RPL13AP22,ribosomal_protein
ENSG00000242990,RPL13AP23,ribosomal_protein
ENSG00000234589,RPL13AP24,ribosomal_protein
ENSG00000136149,RPL13AP25,ribosomal_protein
ENSG00000250318,RPL13AP26,ribosomal_protein
ENSG00000226621,RPL13AP27,ribosomal_protein
ENSG00000177350,RPL13AP3,ribosomal_protein
ENSG00000293056,RPL13AP3,ribosomal_protein
ENSG00000236552,RPL13AP5,ribosomal_protein
ENSG00000234118,RPL13AP6,ribosomal_protein
ENSG00000213885,RPL13AP7,ribosomal_protein
ENSG00000226945,RPL13AP8,ribosomal_protein
ENSG00000213703,RPL13AP9,ribosomal_protein
ENSG00000213916,RPL13P,ribosomal_protein
ENSG00000224158,RPL13P,ribosomal_protein
ENSG00000226714,RPL13P,ribosomal_protein
ENSG00000231746,RPL13P,ribosomal_protein
ENSG00000234904,RPL13P,ribosomal_protein
ENSG00000272613,RPL13P,ribosomal_protein
ENSG00000273122,RPL13P,ribosomal_protein
ENSG00000273286,RPL13P,ribosomal_protein
ENSG00000215030,RPL13P12,ribosomal_protein
ENSG00000213820,RPL13P2,ribosomal_protein
ENSG00000241890,RPL13P4,ribosomal_protein
ENSG00000240370,RPL13P5,ribosomal_protein
ENSG00000213176,RPL13P6,ribosomal_protein
ENSG00000241634,RPL13P8,ribosomal_protein
ENSG00000188846,RPL14,ribosomal_protein
ENSG00000139239,RPL14P1,ribosomal_protein
ENSG00000225662,RPL14P2,ribosomal_protein
ENSG00000241923,RPL14P3,ribosomal_protein
ENSG00000225661,RPL14P5,ribosomal_protein
ENSG00000185631,RPL14P6,ribosomal_protein
ENSG00000174748,RPL15,ribosomal_protein
ENSG00000227343,RPL15P1,ribosomal_protein
ENSG00000223718,RPL15P11,ribosomal_protein
ENSG00000243402,RPL15P12,ribosomal_protein
ENSG00000226428,RPL15P13,ribosomal_protein
ENSG00000226701,RPL15P14,ribosomal_protein
ENSG00000244259,RPL15P15,ribosomal_protein
ENSG00000234751,RPL15P16,ribosomal_protein
ENSG00000243830,RPL15P17,ribosomal_protein
ENSG00000228501,RPL15P18,ribosomal_protein
ENSG00000259545,RPL15P19,ribosomal_protein
ENSG00000240914,RPL15P2,ribosomal_protein
ENSG00000215003,RPL15P20,ribosomal_protein
ENSG00000282445,RPL15P20,ribosomal_protein
ENSG00000244753,RPL15P21,ribosomal_protein
ENSG00000231369,RPL15P22,ribosomal_protein
ENSG00000212802,RPL15P3,ribosomal_protein
ENSG00000225499,RPL15P4,ribosomal_protein
ENSG00000229535,RPL15P4,ribosomal_protein
ENSG00000230211,RPL15P4,ribosomal_protein
ENSG00000231623,RPL15P4,ribosomal_protein
ENSG00000232572,RPL15P4,ribosomal_protein
ENSG00000233965,RPL15P4,ribosomal_protein
ENSG00000236273,RPL15P4,ribosomal_protein
ENSG00000236547,RPL15P4,ribosomal_protein
ENSG00000233045,RPL15P5,ribosomal_protein
ENSG00000241723,RPL15P6,ribosomal_protein
ENSG00000242262,RPL15P7,ribosomal_protein
ENSG00000241651,RPL15P8,ribosomal_protein
ENSG00000216917,RPL15P9,ribosomal_protein
ENSG00000265681,RPL17,ribosomal_protein
ENSG00000229500,RPL17P1,ribosomal_protein
ENSG00000224672,RPL17P10,ribosomal_protein
ENSG00000233445,RPL17P11,ribosomal_protein
ENSG00000230559,RPL17P12,ribosomal_protein
ENSG00000223604,RPL17P13,ribosomal_protein
ENSG00000226297,RPL17P14,ribosomal_protein
ENSG00000229326,RPL17P15,ribosomal_protein
ENSG00000236768,RPL17P16,ribosomal_protein
ENSG00000223409,RPL17P17,ribosomal_protein
ENSG00000234742,RPL17P18,ribosomal_protein
ENSG00000241261,RPL17P19,ribosomal_protein
ENSG00000242135,RPL17P2,ribosomal_protein
