Symbol,Ensembl_Gene_ID,Description,Category,CD,Source
SHISA7,ENSG00000187902,Protein shisa-7,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR2AG2,ENSG00000188124,Olfactory receptor 2AG2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LRRC37A2,ENSG00000238083,Leucine-rich repeat-containing protein 37A2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CLDN24,ENSG00000185758,Putative claudin-24,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR6C76,ENSG00000185821,Olfactory receptor 6C76,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SIGLEC16,,Sialic acid-binding Ig-like lectin 16,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR5K4,ENSG00000196098,Olfactory receptor 5K4,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LRRC37A,ENSG00000176681,Leucine-rich repeat-containing protein 37A,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR52A4,,Putative olfactory receptor 52A4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR4C45,,Olfactory receptor 4C45,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR2AT4,ENSG00000171561,Olfactory receptor 2AT4,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC38A8,ENSG00000166558,Putative sodium-coupled neutral amino acid transporter 8,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
DISP2,ENSG00000140323,Protein dispatched homolog 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GABRR3,ENSG00000183185,Gamma-aminobutyric acid receptor subunit rho-3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HIDE1,ENSG00000214212,Protein HIDE1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FAM171A2,ENSG00000161682,Protein FAM171A2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HEPACAM2,ENSG00000188175,HEPACAM family member 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
BTNL10,,Butyrophilin-like protein 10,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
KIAA1324L,ENSG00000164659,UPF0577 protein KIAA1324-like,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
VSTM5,ENSG00000214376,V-set and transmembrane domain-containing protein 5,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
UPK3BL,ENSG00000267368,Uroplakin-3b-like protein,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR11H12,ENSG00000257115,Olfactory receptor 11H12,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM114,ENSG00000232258,Transmembrane protein 114,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SHISA9,ENSG00000237515,Protein shisa-9,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TARM1,ENSG00000248385,"T-cell-interacting, activating receptor on myeloid cells protein 1",Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ERVV-1,ENSG00000269526,Endogenous retrovirus group V member 1 Env polyprotein,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ERVV-2,ENSG00000268964,Endogenous retrovirus group V member 2 Env polyprotein,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SHISA8,ENSG00000234965,Putative protein shisa-8,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
KLRF2,ENSG00000256797,Killer cell lectin-like receptor subfamily F member 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MUC22,ENSG00000261272,Mucin-22,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
C1orf233,ENSG00000228594,Fibronectin type-III domain-containing transmembrane protein C1orf233,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
C3orf80,ENSG00000180044,Uncharacterized membrane protein C3orf80,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLCO1B7,ENSG00000205754,Putative solute carrier organic anion transporter family member 1B7,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM178B,ENSG00000261115,Transmembrane protein 178B,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GFY,ENSG00000261949,Golgi-associated olfactory signaling regulator,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
