Symbol,Ensembl_Gene_ID,Description,Category,CD,Source
FCGR1A,ENSG00000150337,High affinity immunoglobulin gamma Fc receptor I,CSPA_validated,CD64,Bausch-Fluck et al. 2018 PNAS 115:E10988
FCGR2A,ENSG00000143226,Low affinity immunoglobulin gamma Fc region receptor II-a,Predicted,CD32,Bausch-Fluck et al. 2018 PNAS 115:E10988
FCER1A,ENSG00000179639,High affinity immunoglobulin epsilon receptor subunit alpha,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ACE,ENSG00000159640,Angiotensin-converting enzyme,CSPA_validated,CD143,Bausch-Fluck et al. 2018 PNAS 115:E10988
CDH1,ENSG00000039068,Cadherin-1,CSPA_validated,CD324,Bausch-Fluck et al. 2018 PNAS 115:E10988
GP1BB,ENSG00000203618,Platelet glycoprotein Ib beta chain,Predicted,CD42c,Bausch-Fluck et al. 2018 PNAS 115:E10988
TDGF1,ENSG00000241186,Teratocarcinoma-derived growth factor 1,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LAMP2,ENSG00000005893,Lysosome-associated membrane glycoprotein 2,CSPA_validated,CD107b,Bausch-Fluck et al. 2018 PNAS 115:E10988
NCAM1,ENSG00000149294,Neural cell adhesion molecule 1,CSPA_validated,CD56,Bausch-Fluck et al. 2018 PNAS 115:E10988
ICAM2,ENSG00000108622,Intercellular adhesion molecule 2,CSPA_validated,CD102,Bausch-Fluck et al. 2018 PNAS 115:E10988
ITGA4,ENSG00000115232,Integrin alpha-4,CSPA_validated,CD49d,Bausch-Fluck et al. 2018 PNAS 115:E10988
ATP1A3,ENSG00000105409,Sodium/potassium-transporting ATPase subunit alpha-3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CEACAM1,ENSG00000079385,Carcinoembryonic antigen-related cell adhesion molecule 1,CSPA_validated,CD66a,Bausch-Fluck et al. 2018 PNAS 115:E10988
F3,ENSG00000117525,Tissue factor,CSPA_validated,CD142,Bausch-Fluck et al. 2018 PNAS 115:E10988
HLA-E,ENSG00000206493,"HLA class I histocompatibility antigen, alpha chain E",CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HLA-DRB4,ENSG00000227357,"HLA class II histocompatibility antigen, DR beta 4 chain",CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HLA-DOB,ENSG00000243612,"HLA class II histocompatibility antigen, DO beta chain",Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC5A1,ENSG00000100170,Sodium/glucose cotransporter 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ADRB3,ENSG00000188778,Beta-3 adrenergic receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD59,ENSG00000085063,CD59 glycoprotein,CSPA_validated,CD59,Bausch-Fluck et al. 2018 PNAS 115:E10988
SELL,ENSG00000188404,L-selectin,CSPA_validated,CD62L,Bausch-Fluck et al. 2018 PNAS 115:E10988
FOLR2,ENSG00000165457,Folate receptor beta,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CPM,ENSG00000135678,Carboxypeptidase M,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ATP1B2,ENSG00000129244,Sodium/potassium-transporting ATPase subunit beta-2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
DRD2,ENSG00000149295,D(2) dopamine receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
INSRR,ENSG00000027644,Insulin receptor-related protein,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC2A4,ENSG00000181856,"Solute carrier family 2, facilitated glucose transporter member 4",CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TYR,ENSG00000077498,Tyrosinase,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
IL1R1,ENSG00000115594,Interleukin-1 receptor type 1,CSPA_validated,CD121a,Bausch-Fluck et al. 2018 PNAS 115:E10988
IL2RB,ENSG00000100385,Interleukin-2 receptor subunit beta,CSPA_validated,CD122,Bausch-Fluck et al. 2018 PNAS 115:E10988
GABRA1,ENSG00000022355,Gamma-aminobutyric acid receptor subunit alpha-1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ANPEP,ENSG00000166825,Aminopeptidase N,CSPA_validated,CD13,Bausch-Fluck et al. 2018 PNAS 115:E10988
PVR,ENSG00000073008,Poliovirus receptor,CSPA_validated,CD155,Bausch-Fluck et al. 2018 PNAS 115:E10988
IFNGR1,ENSG00000027697,Interferon gamma receptor 1,CSPA_validated,CD119,Bausch-Fluck et al. 2018 PNAS 115:E10988
FOLR1,ENSG00000110195,Folate receptor alpha,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD19,ENSG00000177455,B-lymphocyte antigen CD19,CSPA_validated,CD19,Bausch-Fluck et al. 2018 PNAS 115:E10988
CSF2RA,ENSG00000198223,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,CSPA_validated,CD116,Bausch-Fluck et al. 2018 PNAS 115:E10988
AREG,ENSG00000109321,Amphiregulin,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD46,ENSG00000117335,Membrane cofactor protein,CSPA_validated,CD46,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD1E,ENSG00000158488,"T-cell surface glycoprotein CD1e, membrane-associated",Predicted,CD1e,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD1D,ENSG00000158473,Antigen-presenting glycoprotein CD1d,CSPA_validated,CD1d,Bausch-Fluck et al. 2018 PNAS 115:E10988
MUC1,ENSG00000185499,Mucin-1,Predicted,CD227,Bausch-Fluck et al. 2018 PNAS 115:E10988
NPR1,ENSG00000169418,Atrial natriuretic peptide receptor 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD44,ENSG00000026508,CD44 antigen,CSPA_validated,CD44,Bausch-Fluck et al. 2018 PNAS 115:E10988
SELP,ENSG00000174175,P-selectin,CSPA_validated,CD62P,Bausch-Fluck et al. 2018 PNAS 115:E10988
ITGB4,ENSG00000132470,Integrin beta-4,CSPA_validated,CD104,Bausch-Fluck et al. 2018 PNAS 115:E10988
SPN,ENSG00000197471,Leukosialin,Predicted,CD43,Bausch-Fluck et al. 2018 PNAS 115:E10988
PDGFRA,ENSG00000134853,Platelet-derived growth factor receptor alpha,CSPA_validated,CD140a,Bausch-Fluck et al. 2018 PNAS 115:E10988
PECAM1,,Platelet endothelial cell adhesion molecule,CSPA_validated,CD31,Bausch-Fluck et al. 2018 PNAS 115:E10988
CTLA4,ENSG00000163599,Cytotoxic T-lymphocyte protein 4,Predicted,CD152,Bausch-Fluck et al. 2018 PNAS 115:E10988
EPCAM,ENSG00000119888,Epithelial cell adhesion molecule,CSPA_validated,CD326,Bausch-Fluck et al. 2018 PNAS 115:E10988
DPEP1,ENSG00000015413,Dipeptidase 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PRLR,ENSG00000113494,Prolactin receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TSHR,ENSG00000165409,Thyrotropin receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SELE,ENSG00000007908,E-selectin,Predicted,CD62E,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD36,ENSG00000135218,Platelet glycoprotein 4,Predicted,CD36,Bausch-Fluck et al. 2018 PNAS 115:E10988
IL7R,ENSG00000168685,Interleukin-7 receptor subunit alpha,CSPA_validated,CD127,Bausch-Fluck et al. 2018 PNAS 115:E10988
IFNAR1,ENSG00000142166,Interferon alpha/beta receptor 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ITGA2,ENSG00000164171,Integrin alpha-2,CSPA_validated,CD49b,Bausch-Fluck et al. 2018 PNAS 115:E10988
GJA1,ENSG00000152661,Gap junction alpha-1 protein,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NPR3,ENSG00000113389,Atrial natriuretic peptide receptor 3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TYRP1,ENSG00000107165,"5,6-dihydroxyindole-2-carboxylic acid oxidase",CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HLA-G,ENSG00000204632,"HLA class I histocompatibility antigen, alpha chain G",Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CHRNB2,ENSG00000160716,Neuronal acetylcholine receptor subunit beta-2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ENG,ENSG00000106991,Endoglin,CSPA_validated,CD105,Bausch-Fluck et al. 2018 PNAS 115:E10988
CR1,ENSG00000203710,Complement receptor type 1,CSPA_validated,CD35,Bausch-Fluck et al. 2018 PNAS 115:E10988
FLT1,ENSG00000102755,Vascular endothelial growth factor receptor 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ITGB5,ENSG00000082781,Integrin beta-5,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ADRA2B,,Alpha-2B adrenergic receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PTPRA,ENSG00000132670,Receptor-type tyrosine-protein phosphatase alpha,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GABRB1,ENSG00000163288,Gamma-aminobutyric acid receptor subunit beta-1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GABRG2,ENSG00000113327,Gamma-aminobutyric acid receptor subunit gamma-2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ITGB6,ENSG00000115221,Integrin beta-6,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LAG3,ENSG00000089692,Lymphocyte activation gene 3 protein,Predicted,CD223,Bausch-Fluck et al. 2018 PNAS 115:E10988
ADRA2C,ENSG00000184160,Alpha-2C adrenergic receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SDC1,ENSG00000115884,Syndecan-1,Predicted,CD138,Bausch-Fluck et al. 2018 PNAS 115:E10988
PAM,ENSG00000145730,Peptidyl-glycine alpha-amidating monooxygenase,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CDH2,ENSG00000170558,Cadherin-2,CSPA_validated,CD325,Bausch-Fluck et al. 2018 PNAS 115:E10988
TSPAN8,ENSG00000127324,Tetraspanin-8,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
EPOR,ENSG00000187266,Erythropoietin receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD58,ENSG00000116815,Lymphocyte function-associated antigen 3,CSPA_validated,CD58,Bausch-Fluck et al. 2018 PNAS 115:E10988
VCAM1,ENSG00000162692,Vascular cell adhesion protein 1,CSPA_validated,CD106,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD53,ENSG00000143119,Leukocyte surface antigen CD53,CSPA_validated,CD53,Bausch-Fluck et al. 2018 PNAS 115:E10988
TNFRSF1A,ENSG00000067182,Tumor necrosis factor receptor superfamily member 1A,CSPA_validated,CD120a,Bausch-Fluck et al. 2018 PNAS 115:E10988
GGT1,ENSG00000100031,Gamma-glutamyltranspeptidase 1,CSPA_validated,CD224,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC9A1,ENSG00000090020,Sodium/hydrogen exchanger 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CR2,ENSG00000117322,Complement receptor type 2,CSPA_validated,CD21,Bausch-Fluck et al. 2018 PNAS 115:E10988
HLA-DPA1,ENSG00000168384,"HLA class II histocompatibility antigen, DP alpha 1 chain",CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD33,ENSG00000105383,Myeloid cell surface antigen CD33,CSPA_validated,CD33,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD22,ENSG00000012124,B-cell receptor CD22,CSPA_validated,CD22,Bausch-Fluck et al. 2018 PNAS 115:E10988
CHRM3,ENSG00000133019,Muscarinic acetylcholine receptor M3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TNFRSF1B,ENSG00000028137,Tumor necrosis factor receptor superfamily member 1B,CSPA_validated,CD120b,Bausch-Fluck et al. 2018 PNAS 115:E10988
NPR2,ENSG00000159899,Atrial natriuretic peptide receptor 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
M6PR,ENSG00000003056,Cation-dependent mannose-6-phosphate receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ITGAL,ENSG00000005844,Integrin alpha-L,CSPA_validated,CD11a,Bausch-Fluck et al. 2018 PNAS 115:E10988
ITGAX,ENSG00000140678,Integrin alpha-X,CSPA_validated,CD11c,Bausch-Fluck et al. 2018 PNAS 115:E10988
EFNA1,ENSG00000169242,Ephrin-A1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MAG,ENSG00000105695,Myelin-associated glycoprotein,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ABCB4,ENSG00000005471,Multidrug resistance protein 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TACR2,ENSG00000075073,Substance-K receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
S1PR1,ENSG00000170989,Sphingosine 1-phosphate receptor 1,CSPA_validated,CD363,Bausch-Fluck et al. 2018 PNAS 115:E10988
FPR1,ENSG00000171051,fMet-Leu-Phe receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CNR1,ENSG00000118432,Cannabinoid receptor 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
KITLG,ENSG00000049130,Kit ligand,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NT5E,ENSG00000135318,5'-nucleotidase,CSPA_validated,CD73,Bausch-Fluck et al. 2018 PNAS 115:E10988
EPHA1,ENSG00000146904,Ephrin type-A receptor 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
DRD1,ENSG00000184845,D(1A) dopamine receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
C5AR1,ENSG00000197405,C5a anaphylatoxin chemotactic receptor 1,CSPA_validated,CD88,Bausch-Fluck et al. 2018 PNAS 115:E10988
TBXA2R,ENSG00000006638,Thromboxane A2 receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ZP3,ENSG00000188372,Zona pellucida sperm-binding protein 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MSR1,ENSG00000038945,Macrophage scavenger receptor types I and II,Predicted,CD204,Bausch-Fluck et al. 2018 PNAS 115:E10988
FGFR2,ENSG00000066468,Fibroblast growth factor receptor 2,CSPA_validated,CD332,Bausch-Fluck et al. 2018 PNAS 115:E10988
ERBB3,ENSG00000065361,Receptor tyrosine-protein kinase erbB-3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
DRD4,ENSG00000069696,D(4) dopamine receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
DRD5,ENSG00000169676,D(1B) dopamine receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD9,ENSG00000010278,CD9 antigen,CSPA_validated,CD9,Bausch-Fluck et al. 2018 PNAS 115:E10988
KCNA3,ENSG00000177272,Potassium voltage-gated channel subfamily A member 3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CDH3,ENSG00000062038,Cadherin-3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ACHE,ENSG00000087085,Acetylcholinesterase,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ENPP1,ENSG00000197594,Ectonucleotide pyrophosphatase/phosphodiesterase family member 1,CSPA_validated,CD203a,Bausch-Fluck et al. 2018 PNAS 115:E10988
FGFR4,ENSG00000160867,Fibroblast growth factor receptor 4,CSPA_validated,CD334,Bausch-Fluck et al. 2018 PNAS 115:E10988
FGFR3,ENSG00000068078,Fibroblast growth factor receptor 3,Predicted,CD333,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC2A5,ENSG00000142583,"Solute carrier family 2, facilitated glucose transporter member 5",Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CA4,ENSG00000167434,Carbonic anhydrase 4,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
EVI2A,ENSG00000126860,Protein EVI2A,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LHCGR,ENSG00000138039,Lutropin-choriogonadotropic hormone receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MRC1,ENSG00000260314,Macrophage mannose receptor 1,CSPA_validated,CD206,Bausch-Fluck et al. 2018 PNAS 115:E10988
ITGA6,ENSG00000091409,Integrin alpha-6,CSPA_validated,CD49f,Bausch-Fluck et al. 2018 PNAS 115:E10988
KEL,ENSG00000197993,Kell blood group glycoprotein,CSPA_validated,CD238,Bausch-Fluck et al. 2018 PNAS 115:E10988
GLRA1,ENSG00000145888,Glycine receptor subunit alpha-1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GLRA2,ENSG00000101958,Glycine receptor subunit alpha-2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PTPRB,ENSG00000127329,Receptor-type tyrosine-protein phosphatase beta,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PTPRD,ENSG00000153707,Receptor-type tyrosine-protein phosphatase delta,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PTPRG,ENSG00000144724,Receptor-type tyrosine-protein phosphatase gamma,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PTPRZ1,ENSG00000106278,Receptor-type tyrosine-protein phosphatase zeta,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TNFSF4,ENSG00000117586,Tumor necrosis factor ligand superfamily member 4,Predicted,CD252,Bausch-Fluck et al. 2018 PNAS 115:E10988
OMG,ENSG00000126861,Oligodendrocyte-myelin glycoprotein,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ATP2B4,ENSG00000058668,Plasma membrane calcium-transporting ATPase 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PRPH2,ENSG00000112619,Peripherin-2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FSHR,ENSG00000170820,Follicle-stimulating hormone receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC6A2,ENSG00000103546,Sodium-dependent noradrenaline transporter,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GABRR1,ENSG00000146276,Gamma-aminobutyric acid receptor subunit rho-1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FCAR,ENSG00000186431,Immunoglobulin alpha Fc receptor,CSPA_validated,CD89,Bausch-Fluck et al. 2018 PNAS 115:E10988
IL4R,ENSG00000077238,Interleukin-4 receptor subunit alpha,CSPA_validated,CD124,Bausch-Fluck et al. 2018 PNAS 115:E10988
EDNRB,ENSG00000136160,Endothelin B receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HRH2,ENSG00000113749,Histamine H2 receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CXCR1,ENSG00000163464,C-X-C chemokine receptor type 1,CSPA_validated,CD181,Bausch-Fluck et al. 2018 PNAS 115:E10988
CXCR2,ENSG00000180871,C-X-C chemokine receptor type 2,Predicted,CD182,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD24,,Signal transducer CD24,GPI_anchored,CD24,Bausch-Fluck et al. 2018 PNAS 115:E10988
FPR3,ENSG00000187474,N-formyl peptide receptor 3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FPR2,ENSG00000171049,N-formyl peptide receptor 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GUCY2C,ENSG00000070019,Heat-stable enterotoxin receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ADRA1D,ENSG00000171873,Alpha-1D adrenergic receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
EDNRA,ENSG00000151617,Endothelin-1 receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TACR1,ENSG00000115353,Substance-P receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PTAFR,ENSG00000169403,Platelet-activating factor receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ACKR3,ENSG00000144476,Atypical chemokine receptor 3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
F2R,ENSG00000181104,Proteinase-activated receptor 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MPZ,ENSG00000158887,Myelin protein P0,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FAS,ENSG00000026103,Tumor necrosis factor receptor superfamily member 6,CSPA_validated,CD95,Bausch-Fluck et al. 2018 PNAS 115:E10988
NPY1R,ENSG00000164128,Neuropeptide Y receptor type 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD40,ENSG00000101017,Tumor necrosis factor receptor superfamily member 5,CSPA_validated,CD40,Bausch-Fluck et al. 2018 PNAS 115:E10988
ITGA3,ENSG00000005884,Integrin alpha-3,CSPA_validated,CD49c,Bausch-Fluck et al. 2018 PNAS 115:E10988
ITGB7,ENSG00000139626,Integrin beta-7,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ITGB8,ENSG00000105855,Integrin beta-8,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
KLRC1,ENSG00000134545,NKG2-A/NKG2-B type II integral membrane protein,Predicted,CD159a,Bausch-Fluck et al. 2018 PNAS 115:E10988
KLRC2,ENSG00000205809,NKG2-C type II integral membrane protein,Predicted,CD159c,Bausch-Fluck et al. 2018 PNAS 115:E10988
KLRK1,ENSG00000213809,NKG2-D type II integral membrane protein,Predicted,CD314,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD27,ENSG00000139193,CD27 antigen,CSPA_validated,CD27,Bausch-Fluck et al. 2018 PNAS 115:E10988
IL3RA,ENSG00000185291,Interleukin-3 receptor subunit alpha,CSPA_validated,CD123,Bausch-Fluck et al. 2018 PNAS 115:E10988
CNTFR,ENSG00000122756,Ciliary neurotrophic factor receptor subunit alpha,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ACVR2A,ENSG00000121989,Activin receptor type-2A,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
DPP4,ENSG00000197635,Dipeptidyl peptidase 4,CSPA_validated,CD26,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD82,ENSG00000085117,CD82 antigen,Predicted,CD82,Bausch-Fluck et al. 2018 PNAS 115:E10988
IL1R2,ENSG00000115590,Interleukin-1 receptor type 2,CSPA_validated,CD121b,Bausch-Fluck et al. 2018 PNAS 115:E10988
HLA-DMA,ENSG00000204257,"HLA class II histocompatibility antigen, DM alpha chain",Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HLA-DMB,ENSG00000241674,"HLA class II histocompatibility antigen, DM beta chain",Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HTR1D,ENSG00000179546,5-hydroxytryptamine receptor 1D,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HTR1B,ENSG00000135312,5-hydroxytryptamine receptor 1B,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HTR2A,ENSG00000102468,5-hydroxytryptamine receptor 2A,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HTR2C,ENSG00000147246,5-hydroxytryptamine receptor 2C,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NMBR,ENSG00000135577,Neuromedin-B receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GABRB3,ENSG00000166206,Gamma-aminobutyric acid receptor subunit beta-3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GABRR2,ENSG00000111886,Gamma-aminobutyric acid receptor subunit rho-2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HTR1E,ENSG00000168830,5-hydroxytryptamine receptor 1E,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PTPRM,ENSG00000173482,Receptor-type tyrosine-protein phosphatase mu,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD34,ENSG00000174059,Hematopoietic progenitor cell antigen CD34,CSPA_validated,CD34,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD38,ENSG00000004468,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,Predicted,CD38,Bausch-Fluck et al. 2018 PNAS 115:E10988
TNFRSF8,ENSG00000120949,Tumor necrosis factor receptor superfamily member 8,CSPA_validated,CD30,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD1B,ENSG00000158485,T-cell surface glycoprotein CD1b,CSPA_validated,CD1b,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD1C,ENSG00000158481,T-cell surface glycoprotein CD1c,CSPA_validated,CD1c,Bausch-Fluck et al. 2018 PNAS 115:E10988
GJB2,ENSG00000165474,Gap junction beta-2 protein,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ADORA2A,ENSG00000128271,Adenosine receptor A2a,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ADORA2B,ENSG00000170425,Adenosine receptor A2b,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
EPHA2,ENSG00000142627,Ephrin type-A receptor 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
EPHA3,ENSG00000044524,Ephrin type-A receptor 3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
EPHA8,ENSG00000070886,Ephrin type-A receptor 8,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
EPHB2,ENSG00000133216,Ephrin type-B receptor 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TACR3,ENSG00000169836,Neuromedin-K receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LTK,ENSG00000062524,Leukocyte tyrosine kinase receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD40LG,ENSG00000102245,CD40 ligand,CSPA_validated,CD154,Bausch-Fluck et al. 2018 PNAS 115:E10988
AQP1,ENSG00000240583,Aquaporin-1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD6,ENSG00000013725,T-cell differentiation antigen CD6,CSPA_validated,CD6,Bausch-Fluck et al. 2018 PNAS 115:E10988
MIP,ENSG00000135517,Lens fiber major intrinsic protein,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TM4SF1,ENSG00000169908,Transmembrane 4 L6 family member 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
BDKRB2,ENSG00000168398,B2 bradykinin receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HLA-F,ENSG00000204642,"HLA class I histocompatibility antigen, alpha chain F",CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
AVPR2,ENSG00000126895,Vasopressin V2 receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
AXL,ENSG00000167601,Tyrosine-protein kinase receptor UFO,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
