Symbol,Ensembl_Gene_ID
MIR1-1,ENSG00000199017
MIR1-1HG,ENSG00000174407
MIR1-1HG-AS1,ENSG00000174403
MIR1-2,ENSG00000278753
MIR1-2,ENSG00000284453
MIR100,ENSG00000207994
MIR100HG,ENSG00000255090
MIR100HG,ENSG00000255248
MIR101-1,ENSG00000199135
MIR101-2,ENSG00000199065
MIR103A1,ENSG00000199035
MIR103A2,ENSG00000199024
MIR103B1,ENSG00000283612
MIR103B2,ENSG00000283320
MIR105-1,ENSG00000207957
MIR105-2,ENSG00000207818
MIR106A,ENSG00000207602
MIR106A,ENSG00000284157
MIR106AHG,ENSG00000283638
MIR106B,ENSG00000208036
MIR107,ENSG00000198997
MIR10A,ENSG00000257178
MIR10A,ENSG00000274592
MIR10A,ENSG00000284038
MIR10B,ENSG00000207744
MIR1178,ENSG00000221323
MIR1178,ENSG00000283768
MIR1179,ENSG00000221630
MIR1180,ENSG00000221540
MIR1181,ENSG00000221566
MIR1181,ENSG00000284268
MIR1182,ENSG00000221290
MIR1182,ENSG00000283799
MIR1183,ENSG00000221783
MIR1184-1,ENSG00000221190
MIR1184-1,ENSG00000221533
MIR1184-2,ENSG00000221190
MIR1184-2,ENSG00000221603
MIR1184-3,ENSG00000221190
MIR1184-3,ENSG00000221603
MIR1185-1,ENSG00000221525
MIR1185-2,ENSG00000221614
MIR1193,ENSG00000221036
MIR1197,ENSG00000221745
MIR1199,ENSG00000141854
MIR1199,ENSG00000277805
MIR1199,ENSG00000284081
MIR1200,ENSG00000221325
MIR1202,ENSG00000221456
MIR1203,ENSG00000221739
MIR1204,ENSG00000275264
MIR1204,ENSG00000283710
MIR1205,ENSG00000221771
MIR1206,ENSG00000283200
MIR1207,ENSG00000221176
MIR1208,ENSG00000221261
MIR122,ENSG00000207778
MIR122,ENSG00000267391
MIR122,ENSG00000284440
MIR1224,ENSG00000221120
MIR1225,ENSG00000221656
MIR1226,ENSG00000221585
MIR1227,ENSG00000221411
MIR1228,ENSG00000221365
MIR1229,ENSG00000221394
MIR122HG,ENSG00000267391
MIR1231,ENSG00000221028
MIR1233-1,ENSG00000221649
MIR1233-2,ENSG00000221065
MIR1234,ENSG00000266624
MIR1234,ENSG00000284139
MIR1236,ENSG00000221267
MIR1236,ENSG00000264258
MIR1236,ENSG00000264555
MIR1236,ENSG00000265895
MIR1236,ENSG00000266406
MIR1236,ENSG00000266612
MIR1236,ENSG00000284446
MIR1237,ENSG00000221273
MIR1238,ENSG00000221410
MIR124-1,ENSG00000275677
MIR124-1,ENSG00000284321
MIR124-1HG,ENSG00000253230
MIR124-2,ENSG00000207816
MIR124-2HG,ENSG00000254377
MIR124-3,ENSG00000207598
MIR1243,ENSG00000283193
MIR1244-1,ENSG00000284378
MIR1244-2,ENSG00000283498
MIR1244-3,ENSG00000283429
MIR1244-4,ENSG00000283475
MIR1245A,ENSG00000221502
MIR1245B,ENSG00000283238
MIR1246,ENSG00000283203
MIR1247,ENSG00000277601
MIR1247,ENSG00000283857
MIR1248,ENSG00000281017
MIR1248,ENSG00000283958
MIR1249,ENSG00000221598
MIR1250,ENSG00000221025
MIR1251,ENSG00000221479
MIR1252,ENSG00000221788
MIR1253,ENSG00000221200
MIR1253,ENSG00000272920
MIR1254-1,ENSG00000221184
MIR1254-2,ENSG00000264574
MIR1255A,ENSG00000221265
MIR1255B1,ENSG00000223770
MIR1255B1,ENSG00000283207
MIR1255B2,ENSG00000221545
MIR1256,ENSG00000221808
MIR1257,ENSG00000221417
MIR1257,ENSG00000276948
MIR1257,ENSG00000284193
MIR1258,ENSG00000221240
MIR125A,ENSG00000208008
MIR125B1,ENSG00000207971
MIR125B2,ENSG00000207863
MIR126,ENSG00000199161
MIR1260A,ENSG00000221754
MIR1260B,ENSG00000266192
MIR1261,ENSG00000221586
MIR1262,ENSG00000221203
MIR1263,ENSG00000221251
MIR1264,ENSG00000276158
MIR1265,ENSG00000221371
MIR1266,ENSG00000221052
MIR1267,ENSG00000221650
MIR1268A,ENSG00000221641
MIR1268B,ENSG00000265561
MIR1269A,ENSG00000221563
MIR1269B,ENSG00000265503
MIR127,ENSG00000207608
MIR1270,ENSG00000238517
MIR1271,ENSG00000221464
MIR1272,ENSG00000221033
MIR1273A,ENSG00000221753
MIR1273C,ENSG00000264814
MIR1273D,ENSG00000264881
MIR1273E,ENSG00000265031
MIR1273F,ENSG00000264834
MIR1273G,ENSG00000265815
MIR1273H,ENSG00000274466
MIR1275,ENSG00000221697
MIR1276,ENSG00000221634
MIR1277,ENSG00000221463
MIR1278,ENSG00000221680
MIR1279,ENSG00000283476
MIR128-1,ENSG00000207654
MIR128-2,ENSG00000207625
MIR1281,ENSG00000221160
MIR1281,ENSG00000284015
MIR1282,ENSG00000221792
MIR1283-1,ENSG00000221421
MIR1283-2,ENSG00000221548
MIR1284,ENSG00000221264
MIR1285-1,ENSG00000221520
MIR1285-2,ENSG00000221238
MIR1286,ENSG00000221039
MIR1287,ENSG00000221419
MIR1287,ENSG00000284415
MIR1288,ENSG00000221355
MIR1289-1,ENSG00000221763
MIR1289-2,ENSG00000221287
MIR129-1,ENSG00000207705
MIR129-2,ENSG00000199077
MIR1290,ENSG00000221662
MIR1291,ENSG00000281842
MIR1292,ENSG00000221062
MIR1292,ENSG00000284481
MIR1293,ENSG00000221604
MIR1294,ENSG00000221430
MIR1295A,ENSG00000221390
MIR1295B,ENSG00000283598
MIR1296,ENSG00000221063
MIR1297,ENSG00000283126
MIR1298,ENSG00000221710
MIR1299,ENSG00000275377
MIR1301,ENSG00000221445
MIR1302-1,ENSG00000221560
MIR1302-1,ENSG00000283507
MIR1302-10,ENSG00000243485
MIR1302-10,ENSG00000259553
MIR1302-10,ENSG00000267588
MIR1302-10,ENSG00000275604
MIR1302-10,ENSG00000275690
MIR1302-10,ENSG00000284557
MIR1302-11,ENSG00000243485
MIR1302-11,ENSG00000274890
MIR1302-11,ENSG00000275604
MIR1302-11,ENSG00000275690
MIR1302-11,ENSG00000278579
MIR1302-11,ENSG00000282807
MIR1302-11,ENSG00000283801
MIR1302-2,ENSG00000227518
MIR1302-2,ENSG00000243485
MIR1302-2,ENSG00000267588
MIR1302-2,ENSG00000274890
MIR1302-2,ENSG00000278579
MIR1302-2,ENSG00000284332
MIR1302-2HG,ENSG00000243485
MIR1302-3,ENSG00000221055
MIR1302-4,ENSG00000221628
MIR1302-5,ENSG00000221091
MIR1302-6,ENSG00000221393
MIR1302-7,ENSG00000221768
MIR1302-8,ENSG00000221269
MIR1302-9,ENSG00000227518
MIR1302-9,ENSG00000274890
MIR1302-9,ENSG00000275604
MIR1302-9,ENSG00000275690
MIR1302-9,ENSG00000278579
MIR1302-9,ENSG00000283921
MIR1302-9HG,ENSG00000227518
MIR1303,ENSG00000221552
MIR1304,ENSG00000221170
MIR1304,ENSG00000284458
MIR1305,ENSG00000221227
MIR1306,ENSG00000221366
MIR1306,ENSG00000284464
MIR1307,ENSG00000221767
MIR1307,ENSG00000283867
MIR130A,ENSG00000208009
MIR130AHG,ENSG00000254602
MIR130B,ENSG00000207751
MIR130B,ENSG00000283871
MIR132,ENSG00000267200
MIR1321,ENSG00000283435
MIR1322,ENSG00000283210
MIR1323,ENSG00000221017
MIR1324,ENSG00000221795
MIR1324,ENSG00000283894
MIR133A1,ENSG00000276792
MIR133A1,ENSG00000283927
MIR133A1HG,ENSG00000265142
MIR133A2,ENSG00000207764
MIR133A2,ENSG00000284508
MIR133B,ENSG00000199080
MIR134,ENSG00000207993
MIR1343,ENSG00000251862
MIR135A1,ENSG00000207926
MIR135A2,ENSG00000207586
MIR135A2,ENSG00000279798
MIR135B,ENSG00000199059
MIR136,ENSG00000207942
MIR137,ENSG00000277990
MIR137,ENSG00000284202
MIR137HG,ENSG00000225206
MIR138-1,ENSG00000207954
MIR138-2,ENSG00000207649
MIR139,ENSG00000272036
MIR140,ENSG00000208017
MIR141,ENSG00000207708
MIR142,ENSG00000265206
MIR142,ENSG00000273667
MIR142,ENSG00000284353
MIR142HG,ENSG00000265206
MIR143,ENSG00000208035
MIR143,ENSG00000284182
MIR143HG,ENSG00000249669
MIR144,ENSG00000277441
MIR144,ENSG00000283819
MIR145,ENSG00000269936
MIR145,ENSG00000276365
MIR1468,ENSG00000222532
MIR1469,ENSG00000222651
MIR1469,ENSG00000283888
MIR146A,ENSG00000253522
MIR146A,ENSG00000277727
MIR146A,ENSG00000283733
MIR146B,ENSG00000202569
MIR1470,ENSG00000269782
MIR1471,ENSG00000222246
MIR147A,ENSG00000207814
MIR147B,ENSG00000211519
MIR147B,ENSG00000284386
MIR148A,ENSG00000199085
MIR148B,ENSG00000199122
MIR149,ENSG00000207611
MIR150,ENSG00000207782
MIR151A,ENSG00000254324
MIR151B,ENSG00000265154
MIR152,ENSG00000207947
MIR153-1,ENSG00000207647
MIR153-2,ENSG00000207960
MIR1537,ENSG00000222831
MIR1538,ENSG00000223109
MIR1539,ENSG00000265496
MIR1539,ENSG00000278544
MIR1539,ENSG00000284239
MIR154,ENSG00000207978
MIR155,ENSG00000275402
MIR155,ENSG00000283904
MIR155HG,ENSG00000234883
MIR1587,ENSG00000263972
MIR15A,ENSG00000275952
MIR15A,ENSG00000283785
MIR15B,ENSG00000207779
MIR16-1,ENSG00000208006
MIR16-2,ENSG00000198987
MIR17,ENSG00000275042
MIR17,ENSG00000284536
MIR17HG,ENSG00000215417
MIR181A1,ENSG00000207759
MIR181A1HG,ENSG00000229989
MIR181A2,ENSG00000207595
MIR181A2HG,ENSG00000224020
MIR181B1,ENSG00000207975
MIR181B2,ENSG00000207737
MIR181C,ENSG00000207613
MIR181D,ENSG00000207585
MIR182,ENSG00000207990
MIR1825,ENSG00000221667
MIR1825,ENSG00000284125
MIR1827,ENSG00000221476
MIR183,ENSG00000207691
MIR184,ENSG00000207695
MIR185,ENSG00000208023
MIR186,ENSG00000207721
MIR187,ENSG00000207797
MIR188,ENSG00000207768
MIR18A,ENSG00000274160
MIR18A,ENSG00000283815
MIR18B,ENSG00000239594
MIR18B,ENSG00000283931
MIR1908,ENSG00000222326
MIR1908,ENSG00000284416
MIR1909,ENSG00000223244
MIR1909,ENSG00000284216
MIR190A,ENSG00000211137
MIR190B,ENSG00000215938
MIR191,ENSG00000207605
MIR1910,ENSG00000283416
MIR1911,ENSG00000222715
MIR1912,ENSG00000222321
MIR1913,ENSG00000222958
MIR1914,ENSG00000272045
MIR1914,ENSG00000284433
MIR1915,ENSG00000222071
MIR1915HG,ENSG00000204682
MIR192,ENSG00000207648
MIR192,ENSG00000283926
MIR193A,ENSG00000207614
MIR193B,ENSG00000207639
MIR193BHG,ENSG00000262454
MIR194-1,ENSG00000207624
MIR194-2,ENSG00000229719
MIR194-2,ENSG00000277225
MIR194-2,ENSG00000284155
MIR194-2HG,ENSG00000229719
MIR195,ENSG00000275739
MIR195,ENSG00000284112
MIR196A1,ENSG00000210741
MIR196A2,ENSG00000207924
MIR196B,ENSG00000207584
MIR196B,ENSG00000283745
MIR197,ENSG00000207709
MIR197,ENSG00000284443
MIR1972-1,ENSG00000238728
MIR1972-1,ENSG00000273852
MIR1972-1,ENSG00000275749
MIR1972-2,ENSG00000239118
MIR1972-2,ENSG00000273852
MIR1972-2,ENSG00000275749
MIR1973,ENSG00000284253
MIR1976,ENSG00000238705
MIR1976,ENSG00000280948
MIR198,ENSG00000284121
MIR199A1,ENSG00000207752
MIR199A2,ENSG00000208024
MIR199B,ENSG00000207581
MIR19A,ENSG00000277328
MIR19A,ENSG00000284204
MIR19B1,ENSG00000275802
MIR19B1,ENSG00000284375
MIR19B2,ENSG00000207812
MIR19B2,ENSG00000283638
MIR19B2,ENSG00000284107
MIR200A,ENSG00000207607
MIR200B,ENSG00000207730
MIR200C,ENSG00000207713
MIR200CHG,ENSG00000257084
MIR202,ENSG00000278352
MIR202,ENSG00000284219
MIR202HG,ENSG00000166917
MIR203A,ENSG00000207568
MIR203B,ENSG00000283165
MIR204,ENSG00000207935
MIR205,ENSG00000276335
MIR205,ENSG00000284485
MIR2052,ENSG00000283188
MIR2052HG,ENSG00000254349
MIR2053,ENSG00000238399
MIR2054,ENSG00000283550
MIR205HG,ENSG00000230937
MIR206,ENSG00000207604
MIR208A,ENSG00000199157
MIR208B,ENSG00000215991
MIR20A,ENSG00000275534
MIR20A,ENSG00000283762
MIR20B,ENSG00000207710
MIR20B,ENSG00000284043
MIR21,ENSG00000199004
MIR21,ENSG00000284190
MIR210,ENSG00000199038
MIR210,ENSG00000275712
MIR210HG,ENSG00000247095
MIR210HG,ENSG00000282810
MIR211,ENSG00000207702
MIR211,ENSG00000274595
MIR2110,ENSG00000238742
MIR2110,ENSG00000284442
MIR2113,ENSG00000238367
MIR2114,ENSG00000252454
MIR2115,ENSG00000252466
MIR2116,ENSG00000253030
MIR2117,ENSG00000267151
MIR2117,ENSG00000278547
MIR2117,ENSG00000284344
MIR2117HG,ENSG00000267151
MIR212,ENSG00000267195
MIR214,ENSG00000207949
MIR214,ENSG00000283844
MIR215,ENSG00000207590
MIR216A,ENSG00000207798
MIR216B,ENSG00000211520
MIR217,ENSG00000207548
MIR217HG,ENSG00000226702
MIR218-1,ENSG00000207732
MIR218-2,ENSG00000207739
MIR219A1,ENSG00000199036
MIR219A1,ENSG00000263552
MIR219A1,ENSG00000264836
MIR219A1,ENSG00000265459
MIR219A1,ENSG00000266130
MIR219A1,ENSG00000266574
MIR219A2,ENSG00000207955
MIR219A2,ENSG00000284185
MIR219A2HG,ENSG00000207955
MIR219B,ENSG00000273685
MIR219B,ENSG00000283335
MIR22,ENSG00000274119
