Symbol,Ensembl_Gene_ID
HBA1,ENSG00000206172
HBA2,ENSG00000188536
HBB,ENSG00000244734
HBBP1,ENSG00000229988
HBD,ENSG00000223609
HBE1,ENSG00000213931
HBG1,ENSG00000213934
HBG2,ENSG00000196565
HBM,ENSG00000206177
HBQ1,ENSG00000086506
HBZ,ENSG00000130656
HBZP1,ENSG00000206178
