Ensembl_Gene_ID,Symbol,qc_group,qc_label,ensembl_releases,biotypes
ENSG00000283710,MIR1204,small_ncrna,small noncoding RNA,93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221771,MIR1205,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000283200,MIR1206,small_ncrna,small noncoding RNA,87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221176,MIR1207,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221261,MIR1208,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000207778,MIR122,small_ncrna,small noncoding RNA,77;78;79;80;81;83,miRNA
ENSG00000267391,MIR122,small_ncrna,small noncoding RNA,87,lincRNA
ENSG00000284440,MIR122,small_ncrna,small noncoding RNA,93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221120,MIR1224,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221656,MIR1225,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221585,MIR1226,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221411,MIR1227,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221365,MIR1228,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221394,MIR1229,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000267391,MIR122HG,small_ncrna,small noncoding RNA,93;97;103;105;107;108;109;110;111;112;114,lincRNA;lncRNA
ENSG00000221028,MIR1231,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221649,MIR1233-1,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221065,MIR1233-2,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000266624,MIR1234,small_ncrna,small noncoding RNA,77;78;79;80;81;83,miRNA
ENSG00000284139,MIR1234,small_ncrna,small noncoding RNA,93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221267,MIR1236,small_ncrna,small noncoding RNA,77;78;79;80;81;83,miRNA
ENSG00000264258,MIR1236,small_ncrna,small noncoding RNA,79,miRNA
ENSG00000264555,MIR1236,small_ncrna,small noncoding RNA,79,miRNA
ENSG00000265895,MIR1236,small_ncrna,small noncoding RNA,79,miRNA
ENSG00000266406,MIR1236,small_ncrna,small noncoding RNA,79,miRNA
ENSG00000266612,MIR1236,small_ncrna,small noncoding RNA,79,miRNA
ENSG00000284446,MIR1236,small_ncrna,small noncoding RNA,93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221273,MIR1237,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221410,MIR1238,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000275677,MIR124-1,small_ncrna,small noncoding RNA,77;78;79;80;81;83,miRNA
ENSG00000284321,MIR124-1,small_ncrna,small noncoding RNA,93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000253230,MIR124-1HG,small_ncrna,small noncoding RNA,103;105;107;108;109;110;111;112;114,lncRNA
ENSG00000207816,MIR124-2,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000254377,MIR124-2HG,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,lincRNA;lncRNA
ENSG00000207598,MIR124-3,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000283193,MIR1243,small_ncrna,small noncoding RNA,87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000284378,MIR1244-1,small_ncrna,small noncoding RNA,93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000283498,MIR1244-2,small_ncrna,small noncoding RNA,87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000283429,MIR1244-3,small_ncrna,small noncoding RNA,87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000283475,MIR1244-4,small_ncrna,small noncoding RNA,87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221502,MIR1245A,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000283238,MIR1245B,small_ncrna,small noncoding RNA,87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000283203,MIR1246,small_ncrna,small noncoding RNA,87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000277601,MIR1247,small_ncrna,small noncoding RNA,77;78;79;80;81;83,miRNA
ENSG00000283857,MIR1247,small_ncrna,small noncoding RNA,93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000281017,MIR1248,small_ncrna,small noncoding RNA,79;80;81;83,miRNA
ENSG00000283958,MIR1248,small_ncrna,small noncoding RNA,93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221598,MIR1249,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221025,MIR1250,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221479,MIR1251,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221788,MIR1252,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221200,MIR1253,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000272920,MIR1253,small_ncrna,small noncoding RNA,79,lincRNA
ENSG00000221184,MIR1254-1,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93,miRNA
ENSG00000264574,MIR1254-2,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93,miRNA
ENSG00000221265,MIR1255A,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000223770,MIR1255B1,small_ncrna,small noncoding RNA,77;78,antisense
ENSG00000283207,MIR1255B1,small_ncrna,small noncoding RNA,87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221545,MIR1255B2,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221808,MIR1256,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221417,MIR1257,small_ncrna,small noncoding RNA,77;78;79;80;81;83,miRNA
ENSG00000276948,MIR1257,small_ncrna,small noncoding RNA,79;81,miRNA
ENSG00000284193,MIR1257,small_ncrna,small noncoding RNA,93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221240,MIR1258,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000208008,MIR125A,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
