node,tier,parent,display_name,module
EPITHELIAL,compartment,,Epithelial / carcinoma,
MESENCHYMAL,compartment,,Mesenchymal / sarcoma,
HEMATOLYMPHOID,compartment,,Hematolymphoid,
MELANOCYTIC,compartment,,Melanocytic / melanoma,
NEURAL_GLIAL,compartment,,Neural / glial (CNS),
GERM_CELL,compartment,,Germ cell / primitive,
NEUROENDOCRINE,compartment,,Neuroendocrine,cross_cutting
SQUAMOUS_PROGRAM,supertype,EPITHELIAL,Squamous program,
PAX8_LINEAGE,supertype,EPITHELIAL,PAX8 lineage (renal/Müllerian/thyroid),
TTF1_LINEAGE,supertype,EPITHELIAL,TTF-1 lineage (lung/thyroid),
LUMINAL_GATA3,supertype,EPITHELIAL,GATA3/FOXA1 luminal (breast/urothelial/prostate),
FOREGUT,supertype,EPITHELIAL,Foregut glandular (gastric/pancreatic),
BLCA,family,LUMINAL_GATA3,Urothelial,
BRCA,family,LUMINAL_GATA3,Breast,
CHOROID_PLEXUS,family,NEURAL_GLIAL,Choroid plexus,
CNS_EMBRYONAL,family,GERM_CELL,CNS embryonal,
CRC,family,EPITHELIAL,Colorectal,
EMBRYONAL,family,GERM_CELL,Embryonal,oncofetal
EPENDYMAL,family,NEURAL_GLIAL,Ependymoma,
ESCA_SQ,family,SQUAMOUS_PROGRAM,Esophageal squamous,
GASTRIC,family,FOREGUT,Gastric,
GERM_CELL,family,GERM_CELL,Germ cell,
GLIAL,family,NEURAL_GLIAL,Glioma,
HEME_BCELL,family,HEMATOLYMPHOID,B-cell lymphoid,
HEME_MYELOID,family,HEMATOLYMPHOID,Myeloid,
HEME_PLASMA,family,HEMATOLYMPHOID,Plasma cell,
HEME_TCELL,family,HEMATOLYMPHOID,T-cell lymphoid,
LIHC,family,EPITHELIAL,Hepatocellular,
LUAD,family,TTF1_LINEAGE,Lung adeno,
MELANOCYTIC,family,MELANOCYTIC,Melanocytic,
MENINGIOMA,family,NEURAL_GLIAL,Meningioma,
NERVE_SHEATH,family,NEURAL_GLIAL,Nerve sheath,
NEUROENDOCRINE,family,NEUROENDOCRINE,Neuroendocrine,cross_cutting
OV,family,PAX8_LINEAGE,Ovarian,
PAAD,family,FOREGUT,Pancreatic,
PROSTATE,family,LUMINAL_GATA3,Prostate,
RENAL,family,PAX8_LINEAGE,Renal,
SELLAR_EPITHELIAL,family,EPITHELIAL,Sellar epithelial,
SQUAMOUS,family,SQUAMOUS_PROGRAM,Squamous,
THCA,family,PAX8_LINEAGE;TTF1_LINEAGE,Thyroid,
UCEC,family,PAX8_LINEAGE,Endometrial,
