Ensembl_Gene_ID,Symbol,qc_group,qc_label,ensembl_releases,biotypes
ENSG00000244691,RPL10AP1,ribosomal_protein_pseudogene,ribosomal protein pseudogene,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000214259,RPL10AP12,ribosomal_protein_pseudogene,ribosomal protein pseudogene,114,processed_pseudogene
ENSG00000188873,RPL10AP2,ribosomal_protein_pseudogene,ribosomal protein pseudogene,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000215264,RPL10AP3,ribosomal_protein_pseudogene,ribosomal protein pseudogene,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000235467,RPL10AP5,ribosomal_protein_pseudogene,ribosomal protein pseudogene,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000226360,RPL10AP6,ribosomal_protein_pseudogene,ribosomal protein pseudogene,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000217026,RPL10P1,ribosomal_protein_pseudogene,ribosomal protein pseudogene,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000216347,RPL10P10,ribosomal_protein_pseudogene,ribosomal protein pseudogene,87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000230853,RPL10P11,ribosomal_protein_pseudogene,ribosomal protein pseudogene,87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000234040,RPL10P12,ribosomal_protein_pseudogene,ribosomal protein pseudogene,87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000258245,RPL10P13,ribosomal_protein_pseudogene,ribosomal protein pseudogene,87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene;transcribed_processed_pseudogene
ENSG00000260031,RPL10P14,ribosomal_protein_pseudogene,ribosomal protein pseudogene,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000267119,RPL10P15,ribosomal_protein_pseudogene,ribosomal protein pseudogene,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene;transcribed_processed_pseudogene
ENSG00000178464,RPL10P16,ribosomal_protein_pseudogene,ribosomal protein pseudogene,87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene;transcribed_processed_pseudogene
ENSG00000225196,RPL10P17,ribosomal_protein_pseudogene,ribosomal protein pseudogene,87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000253995,RPL10P18,ribosomal_protein_pseudogene,ribosomal protein pseudogene,87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000233609,RPL10P19,ribosomal_protein_pseudogene,ribosomal protein pseudogene,87;93;97;103;105;107;108;109;110;111;112;114,transcribed_processed_pseudogene
ENSG00000174572,RPL10P2,ribosomal_protein_pseudogene,ribosomal protein pseudogene,87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000230734,RPL10P3,ribosomal_protein_pseudogene,ribosomal protein pseudogene,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000238003,RPL10P4,ribosomal_protein_pseudogene,ribosomal protein pseudogene,87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000235644,RPL10P5,ribosomal_protein_pseudogene,ribosomal protein pseudogene,83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000230076,RPL10P6,ribosomal_protein_pseudogene,ribosomal protein pseudogene,87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene;transcribed_processed_pseudogene
ENSG00000242052,RPL10P7,ribosomal_protein_pseudogene,ribosomal protein pseudogene,87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000254012,RPL10P8,ribosomal_protein_pseudogene,ribosomal protein pseudogene,87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
