Ensembl_Gene_ID,Symbol,qc_group,qc_label,ensembl_releases,biotypes
ENSG00000112306,RPS12,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000110700,RPS13,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000164587,RPS14,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000115268,RPS15,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000134419,RPS15A,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000105193,RPS16,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000182774,RPS17,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000278229,RPS17,ribosomal_protein,ribosomal protein,80;81,protein_coding
ENSG00000278229,RPS17L,ribosomal_protein,ribosomal protein,77;78;79,protein_coding
ENSG00000096150,RPS18,ribosomal_protein,ribosomal protein,77;78;79;80;81,protein_coding
ENSG00000223367,RPS18,ribosomal_protein,ribosomal protein,77;78;79;80;81,protein_coding
ENSG00000226225,RPS18,ribosomal_protein,ribosomal protein,77;78;79;80;81,protein_coding
ENSG00000227794,RPS18,ribosomal_protein,ribosomal protein,77;78;79;80;81,protein_coding
ENSG00000231500,RPS18,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000235650,RPS18,ribosomal_protein,ribosomal protein,77;78;79;80;81,protein_coding
