gene,rho,p,n,med_log10tpm
CKMT2,-0.7484411955758257,1.9753689798502593e-06,30,0.26533989651825485
WNT11,-0.643717360529491,0.00012413870081076018,30,0.36552265893052593
ADAM32,-0.6368100437498391,0.00015456301317957533,30,0.15979702041720245
ARHGAP36,-0.621637184381473,0.00024566983818558903,30,0.0
REEP1,-0.6214356934983559,0.00024714642267415697,30,0.30568393621194406
SLC38A3,-0.6140827433780814,0.000306703517926643,30,0.09266015324506537
ZNF663P,-0.6071139371084,0.00047904145701273065,29,0.017199091231136023
GJC2,-0.6060613432468728,0.00038582890009637266,30,0.24637606035395226
ZNF252P-AS1,-0.6037512088875963,0.0005249410707653549,29,0.06662181580278027
CNTFR,-0.6011593765000232,0.0004425983124006586,30,0.10816899746485595
VIPR2,-0.5994435257703401,0.0004641407928262691,30,0.05604312944653168
GRID1,-0.5978171264453529,0.00048540735804008015,30,0.16495288067186709
CHKA,-0.594697693060994,0.0005286092048313665,30,1.342598277983237
LINC00940,-0.5931653429304791,0.0006956128495846485,29,0.004983490382051707
ZNF423,-0.5909098096657011,0.0005855891847138301,30,0.3383620605438339
COL9A1,-0.5877903762813421,0.0006364973523025656,30,0.10299433410382534
TMEM132C,-0.5871872455036602,0.0006467765704719633,30,0.011963093767288142
PTP4A3,-0.581997142853247,0.0007414301342138029,30,1.5287651982306856
KCNQ4,-0.5806602428313788,0.0007676962004442964,30,0.18455791911057118
CENPVL1,-0.5794013685188549,0.0009889271068412445,29,0.0
HSPB6,-0.5784320761282654,0.0008132880821040192,30,0.8639699148503481
NFIX,-0.5757582760845291,0.0008711154785208317,30,1.3547406328774394
ADAM33,-0.5666227926017638,0.0010967493684846052,30,0.24811511300131733
OR7E102P,-0.5643437240791319,0.0014282539148565998,29,0.03547001730685831
AAR2,-0.5635340257863792,0.001456052224927466,29,1.4315164642036056
CACNA1C-AS1,-0.562300369863029,0.0014993087390770792,29,0.05150676223442926
CACNG4,-0.5597154758221119,0.0012997212455773991,30,0.2696630404947622
MAP1LC3A,-0.5594926591518006,0.0013067801913828015,30,1.5683221769516345
CHRM1,-0.5578384458640281,0.001360239362079494,30,0.014586027903104141
TECTB,-0.5485223429581162,0.0016983381713690767,30,0.0
ZNF251,-0.5479061922956103,0.0017230701048106503,30,0.9666024082801301
NPY,-0.5450408435167196,0.001842237470288225,30,0.0
SLC24A3,-0.5447867589112515,0.001853141673872779,30,0.5473856647835023
TMEM187,-0.5427814088784494,0.0019411852621651284,30,0.9531718495005377
ARHGDIG,-0.5421129588675153,0.001971328079271703,30,0.12232898665871628
HSPB7,-0.5409988755159585,0.0020224680957386227,30,0.3112364337316952
GRK1,-0.534229805511872,0.002358600070443074,30,0.00478079321082629
CACNA1C-AS2,-0.533926283625974,0.002853026602850625,29,0.08282048188262443
DRD2,-0.5330367708708749,0.0024225943642310712,30,0.05288872253972374
C1QTNF9,-0.5312085332556256,0.0025235721176102345,30,0.022776731985648134
NDUFA4,-0.5304720470405935,0.0030739375707566578,29,2.055739662362373
ZNF285,-0.5303036753410137,0.0025748803890155644,30,0.34068772542307735
CTNND2,-0.5278526919675889,0.0027184081340176705,30,0.10173299136495928
MINDY4,-0.5213429932078018,0.0037298175543151553,29,0.7454352781926209
PDE3A,-0.5184943918145122,0.003331777317852672,30,0.3957268657641027
LRRN2,-0.5173803084629555,0.003412169067685275,30,0.3827539159949689
LRRTM1,-0.5171100405752279,0.0034319209337953876,30,0.010906344347936813
LGR6,-0.51648904178171,0.003477677854582314,30,0.2356498270641012
SMIM17,-0.5132008641136904,0.0044124977838456815,29,0.0374660801603594
LINC00552,-0.511895354126585,0.004531320997557774,29,0.002454631251406879
F7,-0.5115870750348602,0.0038576373910450775,30,0.038074577582713307
SAYSD1,-0.5115870750348602,0.0038576373910450775,30,1.1213014006572122
IGSF5,-0.5114211493096396,0.0038710981427966277,30,0.027637773107567314
LINC00323,-0.5112899852610238,0.004587339976293515,29,0.12481092665203777
THAP12P1,-0.5108814650607066,0.004625476283487186,29,0.0
FRRS1L,-0.5108646255544549,0.0046270540785490945,29,0.007084311134443066
ELN,-0.5104729916833036,0.003948793237240319,30,1.074618211034627
RASL10B,-0.5100273583426809,0.003985769437653242,30,0.22901964386184578
TMC2,-0.5092493966793423,0.0040510322126596,30,0.008642857412668185
SYBU,-0.5080220083098788,0.004155859669740428,30,0.8556980190478518
KCNA5,-0.5073535582989446,0.004213921357469139,30,0.059924837126341585
UBE2R2,-0.5057938416067652,0.0043521073404440905,30,1.4574988785784915
RBFOX3,-0.5051273757269188,0.00441232667407005,30,0.01981408366530267
AGBL5-IT1,-0.5048808524879312,0.005217602883918077,29,0.05678749978087638
RET,-0.5046797582552084,0.004453170866164786,30,0.15030722440514213
DNAJB12,-0.5042341249145856,0.004494155015014527,30,1.4010966981336241
