cancer_code,status,qc_used,n_samples_pg,n_samples_on,n_samples_match,n_genes_pg,n_genes_on,n_genes_shared,n_genes_pg_only,n_genes_on_only,n_scored,rel_median,rel_p95,rel_max,n_divergent,n_on_missing_value
SARC_EWS,ok,artifact,101,100,False,34337,32876,32651,1686,225,14018,0.004223569209796446,0.028252095952900947,0.9798064936246413,6,0
SARC_GIST,ok,artifact,19,19,True,34337,32876,32651,1686,225,13913,0.00046485343104352817,0.0014643781293516317,0.9415037057276271,4,0
SARC_IFS,ok,artifact,2,2,True,34337,32876,32651,1686,225,14340,0.04773007374790916,0.5044746197598329,0.988148077997344,735,0
SARC_IMT,ok,artifact,4,4,True,34337,32876,32651,1686,225,14445,0.002352660445669972,0.06600190370073107,1.0,86,0
SARC_KS,ok,artifact,10,10,True,57951,55756,55340,2611,416,15821,0.001309675291524947,0.021417415191550552,1.0,13,0
SARC_LGFMS,ok,artifact,2,2,True,18872,32876,18778,94,14098,12833,0.4926652501271511,1.801510404568046,50.65178638902399,6292,0
SARC_LMS,ok,artifact,151,151,True,34337,32876,32651,1686,225,13671,0.00045788981652774516,0.0013837074600037092,1.0,6,0
SARC_LPS_UNSPEC,ok,artifact,92,92,True,34337,32876,32651,1686,225,13514,0.0004708443728920138,0.0014921855159526086,1.0,7,0
SARC_MPNST,ok,artifact,13,13,True,34337,32876,32651,1686,225,14227,0.0004468468218709719,0.0013524713680907676,1.0,5,0
SARC_MYXFIB,ok,artifact,41,41,True,34337,32876,32651,1686,225,13432,0.00046161123650010553,0.0013972401487290411,1.0,6,0
SARC_MYXLPS,ok,artifact,28,28,True,13632,13545,13520,112,25,13520,0.000528361499159673,0.0016233669282634798,0.8000250358178124,12,0
SARC_OS,ok,artifact,262,262,True,34337,32876,32651,1686,225,13575,0.00046563685591426726,0.0013899810469025131,1.0,6,0
SARC_PEC,ok,artifact,60,60,True,21446,21351,21351,95,0,12850,0.0005007737538132544,0.0017982266076928834,0.08990603594873135,0,0
SARC_PLEOLPS,ok,artifact,4,4,True,18872,18825,18790,82,35,13206,0.0052138624898952525,0.12369845553600255,0.8144707855044727,42,0
SARC_RMS_ARMS,ok,artifact,73,71,False,34337,32876,32651,1686,225,14217,0.0014551483199770209,0.054406535171968085,0.9857718320103502,7,0
SARC_RMS_ERMS,ok,artifact,95,94,False,34337,32876,32651,1686,225,14158,0.0051680895284421085,0.029550025588102297,1.0,6,0
SARC_RMS_PRMS,ok,artifact,6,6,True,34337,32876,32651,1686,225,14165,0.0028570846406707874,0.06226278039860607,1.0,21,0
SARC_RMS_SSRMS,ok,artifact,8,7,False,34337,32876,32651,1686,225,13937,0.07325680612201305,0.3812849513234866,1.0,316,0
SARC_SYN,ok,artifact,50,49,False,34337,32876,32651,1686,225,14188,0.008914992918336744,0.05279204751196169,1.0,11,0
SARC_UPS,ok,artifact,110,110,True,34337,32876,32651,1686,225,13489,0.0004737991978323073,0.0014637865254142953,1.0,6,0
SARC_WDLPS,ok,artifact,5,5,True,34337,32876,32651,1686,225,13199,0.0004401139774406605,0.0013419478908017015,1.0,7,0
SCLC,ok,artifact,81,81,True,16887,16810,16805,82,5,12270,0.00047427637968053716,0.001514632740887472,0.0022673047709280674,0,0
SCLC_ASCL1,ok,artifact,61,61,True,16887,16810,16805,82,5,12314,0.00047588642357498695,0.0015622261737947996,0.0034358569073170324,0,0
SCLC_NEUROD1,ok,artifact,8,8,True,16887,16810,16805,82,5,12202,0.0017909584196063822,0.05184465551840957,0.6421384815415843,3,0
SCLC_POU2F3,ok,artifact,10,10,True,16887,16810,16805,82,5,12031,0.0012712445552000658,0.02125747587406042,0.4827956338534159,0,0
SCLC_YAP1,ok,artifact,2,2,True,16887,16810,16805,82,5,12637,0.054193722972216515,0.4447774119354844,0.9480900630013033,429,0
SKCM,ok,artifact,469,466,False,34337,32876,32651,1686,225,13105,0.002452806116400762,0.012879674181644197,1.0,7,0
STAD,ok,artifact,414,412,False,34337,32876,32651,1686,225,14126,0.0014678744850653664,0.00888754538415795,0.987506024307885,6,0
STAD_CIN,ok,artifact,221,221,True,34571,32876,32871,1700,5,14241,0.0004523018249254141,0.0013650256660182054,0.003263134730196188,0,0
STAD_EBV,ok,artifact,30,30,True,34571,32876,32871,1700,5,13636,0.0005708344878811113,0.002719803748532649,0.28665923659099946,0,0
STAD_GS,ok,artifact,50,50,True,34571,32876,32871,1700,5,14700,0.0005016820911082428,0.0017584249779309768,0.11981026589439595,0,0
STAD_MSI,ok,artifact,73,73,True,34571,32876,32871,1700,5,13725,0.0004530930616063218,0.00142575839356671,0.0037356189761654714,0,0
TGCT,ok,artifact,154,153,False,34337,32876,32651,1686,225,14466,0.0031994432548903473,0.018172483762545905,1.0,7,0
THCA,ok,artifact,512,508,False,34337,32876,32651,1686,225,13733,0.001667175233575083,0.0082788754028779,1.0,9,0
THYM,ok,artifact,119,119,True,34337,32876,32651,1686,225,13863,0.0004451078555617473,0.0014100075361632575,1.0,7,0
T_ALL,ok,artifact,264,176,False,59849,57659,57233,2616,426,19627,0.16417993020578076,0.44331575738629175,1.9973884998593514,480,0
UCEC,ok,artifact,181,179,False,34337,32876,32651,1686,225,13591,0.004141296908086575,0.028519615342907548,1.0,7,0
UCEC_CNH,ok,artifact,85,83,False,34571,32876,32871,1700,5,13689,0.00927488787811116,0.06067781205103405,0.4572680258142745,0,0
UCEC_CNL,ok,artifact,30,30,True,34571,32876,32871,1700,5,13915,0.000599225865836859,0.00364502338047366,0.31272640169551785,0,0
UCEC_MSI,ok,artifact,41,41,True,34571,32876,32871,1700,5,13439,0.0004392248124103164,0.0013809769185118823,0.003910689584325184,0,0
UCEC_POLE,ok,artifact,16,16,True,34571,32876,32871,1700,5,13333,0.000879488826529429,0.011806808662475238,0.35528747690465395,0,0
UCS,ok,artifact,57,57,True,34337,32876,32651,1686,225,14171,0.0004368055781913937,0.0013649126044317107,1.0,6,0
UVM,ok,artifact,79,78,False,34337,32876,32651,1686,225,12312,0.005815793967129933,0.033643441632013195,1.0,7,0
WILMS,ok,artifact,125,125,True,59849,57659,57233,2616,426,18435,0.0004097666513510526,0.0013664542770193485,2.775921762213661,22,0
