gene_id,cancer,source_samples,samples,sum_ptpm,max_ptpm,missing_samples,mean_ptpm,expressed_samples_ptpm_ge_0_1,prevalence_ptpm_ge_0_1,expressed_samples_ptpm_ge_1,prevalence_ptpm_ge_1,expressed_samples_ptpm_ge_2,prevalence_ptpm_ge_2,expressed_samples_ptpm_ge_5,prevalence_ptpm_ge_5,cancer_type,cancer_code,organ,nominal_samples,cohort,hpa_gene_name,symbol
ENSG00000169495,Breast Invasive Carcinoma (TCGA),1022,1022,973.6602,20.6208,0,0.952700782779,1016,0.994129158513,314,0.307240704501,69,0.0675146771037,5,0.00489236790607,Breast Invasive Carcinoma,BRCA,Breast & female reproductive system,1022,TCGA,HTRA4,HTRA4
ENSG00000169495,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA),283,283,217.1508,15.7783,0,0.767317314488,197,0.696113074205,55,0.194346289753,25,0.0883392226148,6,0.0212014134276,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,CESC,Breast & female reproductive system,283,TCGA,HTRA4,HTRA4
ENSG00000169495,Colon Adenocarcinoma (TCGA),254,254,163.7116,9.6777,0,0.644533858268,246,0.968503937008,30,0.11811023622,8,0.0314960629921,2,0.00787401574803,Colon Adenocarcinoma,COAD,Gastrointestinal tract,254,TCGA,HTRA4,HTRA4
ENSG00000169495,Glioblastoma Multiforme (TCGA),141,141,120.7869,10.0318,0,0.856644680851,141,1.0,27,0.191489361702,7,0.0496453900709,2,0.0141843971631,Glioblastoma Multiforme,GBM,Brain,141,TCGA,HTRA4,HTRA4
ENSG00000169495,Head and Neck Squamous Cell Carcinoma (TCGA),492,492,237.2416,7.6745,0,0.482198373984,453,0.920731707317,41,0.0833333333333,11,0.0223577235772,2,0.00406504065041,Head and Neck Squamous Cell Carcinoma,HNSC,Gastrointestinal tract,492,TCGA,HTRA4,HTRA4
ENSG00000169495,Kidney Chromophobe (TCGA),64,64,42.6802,4.5129,0,0.666878125,43,0.671875,14,0.21875,4,0.0625,0,0.0,Kidney Chromophobe,KICH,Kidney & Urinary bladder,64,TCGA,HTRA4,HTRA4
ENSG00000169495,Kidney Renal Clear Cell Carcinoma (TCGA),521,521,830.3896,14.0674,0,1.59383800384,519,0.996161228407,292,0.560460652591,120,0.230326295585,20,0.0383877159309,Kidney Renal Clear Cell Carcinoma,KIRC,Kidney & Urinary bladder,521,TCGA,HTRA4,HTRA4
ENSG00000169495,Kidney Renal Papillary Cell Carcinoma (TCGA),282,282,635.8994,45.1673,0,2.25496241135,231,0.81914893617,143,0.507092198582,89,0.315602836879,35,0.124113475177,Kidney Renal Papillary Cell Carcinoma,KIRP,Kidney & Urinary bladder,282,TCGA,HTRA4,HTRA4
ENSG00000169495,Liver Hepatocellular Carcinoma (TCGA),362,362,137.5113,5.4722,0,0.379865469613,323,0.89226519337,18,0.0497237569061,7,0.0193370165746,1,0.00276243093923,Liver Hepatocellular Carcinoma,LIHC,Liver & Gallbladder,362,TCGA,HTRA4,HTRA4
ENSG00000169495,Lung Adenocarcinoma (TCGA),497,497,952.6234,34.4656,0,1.9167472837,497,1.0,320,0.643863179074,150,0.301810865191,24,0.0482897384306,Lung Adenocarcinoma,LUAD,Respiratory system,497,TCGA,HTRA4,HTRA4
